Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Premiums & Annuity Revenue,"4,685","4,376","3,828","3,373","3,017","2,682","2,597","2,436","2,291","2,150","1,990"
Total Interest & Dividend Income,510.12,457.05,388.65,288.16,326.59,227.11,222.54,195.34,161.88,130.75,121.32
Gain (Loss) on Sale of Investments,4.46,-2.95,-3.55,-114.81,17.6,-4.22,14.42,-54.92,6.36,-4.94,13.17
Other Revenue,29.33,31.12,19.4,11.34,17.72,17.57,12.36,9.44,10.72,8.88,7.46
Total Revenue,"5,228","4,862","4,232","3,558","3,379","2,922","2,846","2,586","2,470","2,284","2,132"
Revenue Growth (YoY),10.87%,14.88%,18.94%,5.29%,15.63%,2.66%,10.07%,4.70%,8.13%,7.15%,5.18%
Policy Benefits,"3,126","3,132","2,484","2,112","1,814","1,636","1,552","1,498","1,345","1,235","1,149"
Policy Acquisition & Underwriting Costs,988.93,922.43,796.18,705.82,626.47,560.27,535.97,495.04,469.24,450.33,399.44
"Selling, General & Administrative",44.86,44.07,39.5,31.12,28.31,25.41,30.9,25.45,36.26,35.02,28.4
Other Operating Expenses,480.5,443.77,424.93,400.31,375.93,366.94,358.07,331.32,333.1,321.4,300.36
Total Operating Expenses,"4,640","4,542","3,744","3,249","2,845","2,588","2,477","2,350","2,184","2,041","1,877"
Operating Income,588.63,319.63,487.81,309.04,534.53,334.15,369.68,236.14,286.32,242.8,254.69
Interest Expense,-43.33,-28.88,-28.8,-28.85,-29.17,-30.84,-33.67,-24.42,-24.35,-22.77,-22.43
EBT Excluding Unusual Items,545.3,290.76,459.02,280.19,505.36,303.31,336.02,211.72,261.97,220.03,232.26
Legal Settlements,-32.72,-32.72,-0.6,-0.01,-0.05,-0.32,0.38,-,-,-0.08,0.43
Pretax Income,512.58,258.03,458.41,280.19,505.31,302.99,336.39,211.72,261.97,219.96,232.69
Income Tax Expense,105.87,51.02,93.17,55.3,101.47,56.63,64.77,32.78,93.14,61.46,66.83
Net Income,406.71,207.01,365.24,224.89,403.84,246.36,271.62,178.94,168.83,158.5,165.86
Preferred Dividends & Other Adjustments,9.2,9.2,9.2,9.2,9.35,-,-,-,-,-,-
Net Income to Common,397.51,197.81,356.04,215.69,394.48,246.36,271.62,178.94,168.83,158.5,165.86
Net Income Growth,72.10%,-43.32%,62.41%,-44.31%,63.92%,-9.30%,51.80%,5.99%,6.52%,-4.44%,16.95%
Shares Outstanding (Basic),61,61,61,60,60,60,59,59,58,58,57
Shares Outstanding (Diluted),61,61,61,61,61,60,60,60,59,59,58
Shares Change (YoY),0.04%,0.50%,0.15%,0.34%,0.62%,0.48%,0.49%,0.60%,1.04%,1.02%,1.40%
EPS (Basic),6.54,3.25,5.87,3.57,6.55,4.12,4.57,3.04,2.89,2.74,2.90
EPS (Diluted),6.49,3.23,5.84,3.54,6.50,4.09,4.53,3.00,2.84,2.70,2.85
EPS Growth,74.66%,-44.69%,64.97%,-45.54%,58.92%,-9.71%,51.00%,5.63%,5.18%,-5.26%,15.38%
Free Cash Flow,"1,153","1,069",736.28,776.39,749.26,531.98,446.51,438.83,365.47,311.36,365.35
Free Cash Flow Per Share,18.83,17.45,12.08,12.75,12.35,8.82,7.44,7.35,6.16,5.30,6.28
Dividend Per Share,1.520,1.430,1.250,1.140,1.030,0.940,0.830,0.740,0.660,0.610,0.570
Dividend Growth,8.57%,14.40%,9.65%,10.68%,9.57%,13.25%,12.16%,12.12%,8.20%,7.02%,7.55%
Operating Margin,11.26%,6.58%,11.53%,8.69%,15.82%,11.43%,12.99%,9.13%,11.59%,10.63%,11.95%
Profit Margin,7.60%,4.07%,8.41%,6.06%,11.67%,8.43%,9.54%,6.92%,6.83%,6.94%,7.78%
Free Cash Flow Margin,22.05%,21.99%,17.40%,21.82%,22.17%,18.20%,15.69%,16.97%,14.80%,13.63%,17.14%
EBITDA,619.91,354.43,517.85,351.38,589.64,393.5,424.89,281.01,338.42,304.47,314.38
EBITDA Margin,11.86%,7.29%,12.24%,9.88%,17.45%,13.46%,14.93%,10.87%,13.70%,13.33%,14.75%
D&A For EBITDA,31.28,34.8,30.04,42.34,55.11,59.35,55.21,44.87,52.1,61.67,59.69
EBIT,588.63,319.63,487.81,309.04,534.53,334.15,369.68,236.14,286.32,242.8,254.69
EBIT Margin,11.26%,6.58%,11.53%,8.69%,15.82%,11.43%,12.99%,9.13%,11.59%,10.63%,11.95%
Effective Tax Rate,20.65%,19.77%,20.32%,19.74%,20.08%,18.69%,19.25%,15.48%,35.55%,27.94%,28.72%
Revenue as Reported,"5,228","4,862","4,232","3,558","3,379","2,922","2,846","2,586","2,470","2,284","2,132"
