Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Investments in Debt Securities,"9,181","8,033","7,522","6,643","6,739","6,473",Upgrade
Investments in Equity & Preferred Securities,797.17,654.5,582.93,533.32,695.27,541.32,Upgrade
Other Investments,681.21,610.38,400.48,511.7,497.16,445.22,Upgrade
Total Investments,"10,933","9,532","8,694","7,837","8,027","7,506",Upgrade
Cash & Equivalents,0.43,0.09,0.18,0.03,0.46,0.39,Upgrade
Reinsurance Recoverable,947.43,"1,061",656.83,782.81,600.07,587.49,Upgrade
Other Receivables,"1,704","1,545","1,379","1,148",994.21,881.02,Upgrade
Deferred Policy Acquisition Cost,510.26,479.3,424.86,368.62,326.92,288.58,Upgrade
"Property, Plant & Equipment",102.42,138.38,124.53,126.71,117.7,117.91,Upgrade
Goodwill,7.85,7.85,7.85,7.85,7.85,7.85,Upgrade
Restricted Cash,23.73,62.93,13.09,25.18,44.61,14.84,Upgrade
Other Current Assets,274.43,235.38,203.32,172.37,183.01,170.53,Upgrade
Long-Term Deferred Tax Assets,113.01,146.79,140.24,172.73,-,-,Upgrade
Other Long-Term Assets,364.14,305.63,158.5,160.09,159.6,113.7,Upgrade
Total Assets,"14,980","13,514","11,803","10,802","10,461","9,688",Upgrade
Accrued Expenses,131.82,121.66,122,115.19,121.06,114.87,Upgrade
Unpaid Claims,"7,076","6,590","5,337","5,145","4,581","4,260",Upgrade
Unearned Premiums,"2,841","2,616","2,331","1,993","1,803","1,618",Upgrade
Current Portion of Long-Term Debt,-,-,-,-,-,25,Upgrade
Current Portion of Leases,-,12.63,-,-,-,8.7,Upgrade
Current Income Taxes Payable,-,19.71,6.25,-,-,14.02,Upgrade
Long-Term Debt,898.09,501.66,501.31,500.96,500.6,525.24,Upgrade
Long-Term Leases,4.23,41.38,46.31,48.22,42.75,33.48,Upgrade
Long-Term Deferred Tax Liabilities,-,-,-,-,13.41,27.1,Upgrade
Other Long-Term Liabilities,539.07,491.01,504.72,472.73,416.58,322,Upgrade
Total Liabilities,"11,490","10,394","8,848","8,275","7,479","6,949",Upgrade
"Preferred Stock, Redeemable",200,200,200,200,200,200,Upgrade
Common Stock,211.88,211.22,210.45,209.69,208.9,208.07,Upgrade
Additional Paid-In Capital,584.43,557.04,522.75,493.49,464.35,438.99,Upgrade
Retained Earnings,"3,374","3,139","3,029","2,750","2,603","2,272",Upgrade
Treasury Stock,-712.93,-650.83,-635.21,-627.28,-608.94,-599.89,Upgrade
Comprehensive Income & Other,-167.32,-336.85,-373,-498.04,115.1,220.19,Upgrade
Total Common Equity,"3,290","2,920","2,754","2,328","2,783","2,539",Upgrade
Shareholders' Equity,"3,490","3,120","2,954","2,528","2,983","2,739",Upgrade
Total Liabilities & Equity,"14,980","13,514","11,803","10,802","10,461","9,688",Upgrade
Filing Date Shares Outstanding,60.41,60.81,60.64,60.34,60.19,59.88,Upgrade
Total Common Shares Outstanding,60.41,60.85,60.64,60.34,60.18,59.91,Upgrade
Total Debt,902.32,555.67,547.62,549.18,543.35,592.42,Upgrade
Net Cash (Debt),-901.89,-555.58,-547.44,-549.16,-542.89,-592.02,Upgrade
Net Cash Per Share,-14.73,-9.07,-8.98,-9.02,-8.95,-9.82,Upgrade
Book Value Per Share,54.46,47.99,45.42,38.57,46.24,42.38,Upgrade
Tangible Book Value,"3,282","2,912","2,747","2,320","2,775","2,531",Upgrade
Tangible Book Value Per Share,54.33,47.86,45.30,38.44,46.11,42.25,Upgrade
