Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,988","3,929","3,371","2,842","2,686","2,369","2,808","2,276","2,623","2,691","1,706"
Market Cap Growth,4.66%,16.54%,18.60%,5.82%,13.38%,-15.63%,23.39%,-13.24%,-2.53%,57.77%,-3.49%
Last Close Price,63.42,61.86,51.94,42.58,38.38,32.94,36.40,28.29,32.07,32.38,19.95
PE Ratio,9.38,9.60,8.19,9.47,10.58,14.16,13.69,10.54,16.66,20.10,12.48
PS Ratio,4.80,4.90,4.22,4.35,4.59,4.80,4.93,3.98,5.09,5.54,3.53
PB Ratio,1.26,1.41,1.38,1.39,1.16,1.09,1.33,1.17,1.43,1.56,1.02
P/FCF Ratio,8.81,8.54,7.54,7.71,9.55,7.94,9.96,10.92,14.37,16.37,9.28
P/OCF Ratio,8.57,8.29,7.11,7.33,9.21,7.76,9.01,9.90,13.33,13.24,8.38
Debt / Equity Ratio,0.25,0.23,0.27,0.28,0.44,0.46,0.47,0.56,0.93,0.81,0.90
Debt / FCF Ratio,1.73,1.42,1.45,1.56,3.59,3.35,3.54,5.26,9.37,8.51,8.13
Return on Equity (ROE),14.31%,15.60%,18.33%,13.79%,11.32%,7.79%,10.11%,11.43%,8.84%,7.90%,8.42%
Return on Assets (ROA),2.59%,2.66%,2.69%,1.90%,1.69%,1.28%,1.71%,1.80%,1.31%,1.14%,1.14%
Earnings Yield,10.52%,10.42%,12.21%,10.56%,9.45%,7.06%,7.30%,9.49%,6.00%,4.98%,8.02%
FCF Yield,11.35%,11.70%,13.26%,12.97%,10.47%,12.60%,10.04%,9.16%,6.96%,6.11%,10.78%
Dividend Yield,2.21%,2.13%,2.43%,2.82%,3.00%,3.34%,2.88%,2.65%,2.06%,1.85%,2.91%
Payout Ratio,20.71%,20.06%,19.00%,25.11%,28.68%,41.79%,33.48%,22.97%,27.69%,29.54%,28.17%
Buyback Yield / Dilution,-0.01%,-0.12%,0.94%,1.06%,0.57%,2.79%,1.42%,0.22%,-0.70%,0.48%,0.63%
Total Shareholder Return,2.16%,2.01%,3.36%,3.88%,3.57%,6.13%,4.31%,2.87%,1.36%,2.34%,3.53%
