Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,589.32,352.65,651.06,"2,088","3,209","1,997",131.06,201.08,149.23,157.85,168.37
Investment Securities,525.42,519.27,514.51,576.25,350.92,314.83,420.3,532.98,557.23,802.44,777.35
Mortgage-Backed Securities,"4,846","4,835","4,660","4,209","4,169","3,030","3,286","3,223","3,891","3,894","3,893"
Total Investments,"5,371","5,354","5,175","4,785","4,520","3,345","3,706","3,756","4,448","4,697","4,671"
Gross Loans,"9,401","8,810","8,059","7,431","7,209","7,542","6,895","6,561","6,348","5,965","5,951"
Allowance for Loan Losses,-155.51,-156.54,-157.07,-125.97,-110.37,-109.06,-60.28,-61.38,-67.69,-64.66,-66.99
Net Loans,"9,245","8,653","7,902","7,305","7,099","7,433","6,835","6,500","6,280","5,900","5,884"
"Property, Plant & Equipment",425.6,428.22,437.09,431.61,447.08,479.88,506.6,506.9,514.45,527.58,516.72
Goodwill,282.53,282.53,282.53,282.53,282.53,282.53,282.53,282.53,282.53,282.53,282.53
Other Intangible Assets,-,-,-,-,-,-,-,-,-,0.03,0.15
Accrued Interest Receivable,77.46,72.18,65.3,45.79,30.59,37.88,36.62,36.8,34.46,32.17,31.57
Restricted Cash,-,-,-,-,-,-,125.76,115.72,116.13,111.35,104.68
Long-Term Deferred Tax Assets,-,61.56,55.56,98.62,-,-,-,-,-,-,-
Other Real Estate Owned & Foreclosed,4.82,28.55,26.96,34.78,40.13,66.27,78.24,63.8,30.82,42.2,55.85
Other Long-Term Assets,555.28,505.43,471.18,430.32,417.6,388.19,411.57,409.22,328.13,53.39,58.5
Total Assets,"16,551","15,739","15,066","15,501","16,046","14,029","12,113","11,872","12,185","11,804","11,773"
Interest Bearing Deposits,"7,877","5,233","4,927","5,269","5,118","4,386","3,817","3,843","3,856","3,866","3,738"
Institutional Deposits,-,"2,267","1,867","1,545","1,661","1,620","1,463","1,398","1,446","1,586","1,649"
Non-Interest Bearing Deposits,"4,579","4,612","5,031","5,846","5,839","4,716","3,546","3,455","3,243","3,158","3,150"
Total Deposits,"12,456","12,112","11,825","12,660","12,618","10,722","8,826","8,697","8,545","8,610","8,536"
Short-Term Borrowings,-,523.15,518.65,419.7,428.24,416.76,415.24,487.83,"1,188",774.29,606.45
Current Portion of Long-Term Debt,664.38,12.17,11.77,11.49,11.44,11.39,11.29,11.14,100,12.16,14.12
Long-Term Debt,-,-,-,-,-,-,-,-,10.98,301.91,562.95
"Federal Home Loan Bank Debt, Long-Term",10.38,10.54,10.75,10.94,436.14,436.33,436.51,436.69,250,150,150
Trust Preferred Securities,108.87,108.87,108.87,134.64,134.64,134.64,134.64,160.42,160.42,160.42,161.42
Long-Term Deferred Tax Liabilities,-,-,-,-,12.4,23.57,23.76,4.76,5.19,1.63,10.29
Other Long-Term Liabilities,184.29,175.57,143.83,219.93,97.03,106.92,147.36,134.99,86.19,68.88,65.89
Total Liabilities,"13,424","12,942","12,618","13,457","13,738","11,851","9,995","9,932","10,346","10,079","10,107"
Common Stock,96.65,96.62,96.47,96.42,96.35,96.24,96.22,96.1,96.02,95.91,95.87
Additional Paid-In Capital,160.63,159.33,155.51,154.06,152.14,149.33,148.08,145.28,171.82,169.57,167.98
Retained Earnings,"3,575","3,356","3,029","2,696","2,471","2,290","2,201","2,064","1,892","1,778","1,684"
Treasury Stock,-440.91,-436.37,-435.4,-430.79,-378.74,-378.03,-329.15,-311.31,-292.26,-292.08,-284.11
Comprehensive Income & Other,-263.09,-379.05,-397.89,-470.5,-31.98,20.83,2.35,-54.63,-28.4,-26.7,2.17
Shareholders' Equity,"3,128","2,797","2,448","2,045","2,308","2,178","2,118","1,940","1,839","1,725","1,666"
Total Liabilities & Equity,"16,551","15,739","15,066","15,501","16,046","14,029","12,113","11,872","12,185","11,804","11,773"
Total Debt,783.63,654.73,650.03,576.78,"1,010",999.12,997.69,"1,096","1,709","1,399","1,495"
Net Cash (Debt),-194.31,-302.08,1.03,"1,511","2,199",998.12,-866.63,-894.99,"-1,560","-1,241","-1,327"
Net Cash Growth,-,-,-99.93%,-31.28%,120.29%,-,-,-,-,-,-
Net Cash Per Share,-3.12,-4.85,0.02,24.06,34.63,15.63,-13.19,-13.43,-23.36,-18.71,-19.91
Filing Date Shares Outstanding,62.16,62.22,62.17,62.14,63.38,63.3,65.21,65.62,66.1,65.99,65.93
Total Common Shares Outstanding,62.16,62.21,62.08,62.14,63.37,63.28,65.2,65.61,66.08,65.98,66.28
Book Value Per Share,50.32,44.96,39.43,32.90,36.43,34.42,32.49,29.56,27.83,26.14,25.13
Tangible Book Value,"2,845","2,514","2,165","1,762","2,026","1,895","1,836","1,657","1,556","1,442","1,383"
Tangible Book Value Per Share,45.77,40.41,34.88,28.36,31.97,29.95,28.15,25.26,23.55,21.86,20.86
