Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,692.25,681.28,620.05,402.18,359.22,377.58,413.61,375.17,322.51,297.82,297.28
Interest Income on Investments,185.7,184.7,180.11,123.6,38.89,49.43,78.79,90.65,92.63,90.09,99.47
Total Interest Income,877.95,865.98,800.16,525.78,398.1,427.01,492.4,465.82,415.14,387.91,396.75
Interest Paid on Deposits,187.15,178.88,113.5,23.84,15.77,25.59,37.35,25.86,15.94,14.53,14.83
Interest Paid on Borrowings,28.91,30.38,23.17,14.31,11.07,13.53,21.28,26.81,22.99,28.6,29.49
Total Interest Expense,216.06,209.26,136.66,38.16,26.83,39.12,58.63,52.67,38.93,43.13,44.32
Net Interest Income,661.89,656.72,663.5,487.63,371.27,387.89,433.77,413.15,376.21,344.79,352.44
Net Interest Income Growth (YoY),0.24%,-1.02%,36.07%,31.34%,-4.28%,-10.58%,4.99%,9.82%,9.11%,-2.17%,1.55%
Gain (Loss) on Sale of Investments,7.02,13.13,9.6,17.54,68.79,4.92,5.97,19.76,14.14,20.85,12.33
Other Non-Interest Income,90.23,90.08,86.41,96.82,87.33,83.68,76.35,72.85,63.39,66.92,63.62
Total Non-Interest Income,170.84,176.92,169.94,187.13,222.33,150.58,154.83,165.04,150.41,161.35,154.78
Non-Interest Income Growth (YoY),-2.99%,4.11%,-9.19%,-15.83%,47.65%,-2.74%,-6.19%,9.73%,-6.78%,4.24%,-11.92%
Revenues Before Loan Losses,832.72,833.64,833.44,674.76,593.6,538.47,588.6,578.2,526.61,506.13,507.22
Provision for Loan Losses,11.01,31.8,34.58,21.65,7.96,45.38,18.84,6.11,11.22,19.86,24.41
Revenue,821.72,801.84,798.87,653.11,585.64,493.09,569.76,572.08,515.39,486.27,482.81
Revenue Growth (YoY),2.80%,0.37%,22.32%,11.52%,18.77%,-13.46%,-0.41%,11.00%,5.99%,0.72%,-5.03%
Salaries and Employee Benefits,151.25,145.73,134.11,127.27,122.97,129.3,144.95,137.5,131.85,127.58,123.96
Occupancy Expenses,22.38,22.52,21.94,21.82,25.03,28.32,28.27,25.87,25.28,24.74,25.01
Federal Deposit Insurance,7.07,6.87,6.29,6.99,4.39,1.87,1.42,3.74,3.29,5.78,5.94
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,-,-,0.03,0.13,0.64
"Selling, General & Administrative",73.57,70.33,65.22,57.25,56.4,61.72,74.87,67.94,70.04,64.24,60.28
Other Non-Interest Expense,47.48,46.37,51.78,57.01,49.45,50.32,53.92,60.03,56.54,54.08,50.93
Total Non-Interest Expense,304.49,293.12,275.35,270.47,263.32,281.33,309.8,299.5,287.98,282.23,272.46
EBT Excluding Unusual Items,517.22,508.72,523.51,382.64,322.33,211.76,259.95,272.58,227.41,204.05,210.35
Other Unusual Items,-,-,-,-,-,-,-,-,-5.77,-7.04,-3.51
Pretax Income,517.22,508.72,523.51,382.64,322.33,211.76,259.95,272.58,221.64,197,206.84
Income Tax Expense,96.73,99.55,111.74,82.41,68.41,44.44,54.85,56.65,64.21,63.07,70.12
Net Income,420.49,409.17,411.77,300.23,253.92,167.32,205.1,215.93,157.44,133.93,136.73
Net Income to Common,420.49,409.17,411.77,300.23,253.92,167.32,205.1,215.93,157.44,133.93,136.73
Net Income Growth,5.00%,-0.63%,37.15%,18.24%,51.76%,-18.42%,-5.01%,37.16%,17.55%,-2.04%,-10.72%
Basic Shares Outstanding,62,62,62,63,63,64,65,66,66,66,66
Diluted Shares Outstanding,62,62,62,63,63,64,66,67,67,66,67
Shares Change (YoY),0.01%,0.12%,-0.94%,-1.06%,-0.57%,-2.79%,-1.42%,-0.22%,0.70%,-0.48%,-0.63%
EPS (Basic),6.76,6.58,6.63,4.79,4.01,2.63,3.13,3.27,2.38,2.03,2.06
EPS (Diluted),6.76,6.57,6.62,4.78,4.00,2.62,3.12,3.24,2.36,2.02,2.05
EPS Growth,5.13%,-0.76%,38.49%,19.50%,52.67%,-16.03%,-3.70%,37.29%,16.83%,-1.46%,-10.09%
Dividend Per Share,1.400,1.320,1.260,1.200,1.150,1.100,1.050,0.750,0.660,0.600,0.580
Dividend Growth,6.06%,4.76%,5.00%,4.35%,4.54%,4.76%,40.00%,13.64%,10.00%,3.45%,11.54%
Effective Tax Rate,18.70%,19.57%,21.34%,21.54%,21.22%,20.99%,21.10%,20.78%,28.97%,32.02%,33.90%
