Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,801","14,442","12,222","9,193","14,738","9,919","6,478","4,686","4,124","3,167","3,555"
Market Cap Growth,-38.59%,18.16%,32.95%,-37.62%,48.59%,53.13%,38.24%,13.62%,30.20%,-10.91%,23.24%
Enterprise Value,"9,329","14,883","13,099","10,144","14,778","10,206","6,836","4,409","4,005","2,963","3,293"
Last Close Price,213.98,334.59,282.85,212.51,333.67,225.10,145.66,104.84,91.69,68.74,74.33
PE Ratio,24.33,39.04,86.62,130.40,76.25,44.36,42.62,25.61,30.13,19.67,26.81
Forward PE,21.01,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,24.44,24.29
PS Ratio,3.80,6.35,6.00,4.92,8.67,7.14,5.49,4.59,4.52,3.97,4.51
PB Ratio,5.87,8.92,9.21,7.62,10.41,7.80,5.98,5.01,5.12,4.55,5.55
P/TBV Ratio,-,-,-,-,-,-,-,15.41,28.52,168.48,17.61
P/FCF Ratio,22.33,32.17,61.95,54.63,42.34,32.25,25.46,19.63,22.48,20.99,19.30
P/OCF Ratio,16.33,24.41,38.63,30.87,32.76,25.81,19.37,14.89,16.49,14.82,14.72
PEG Ratio,-,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.04,1.52
EV/Sales Ratio,3.89,6.54,6.43,5.42,8.70,7.35,5.80,4.32,4.39,3.71,4.17
EV/EBITDA Ratio,16.44,28.83,39.18,34.27,42.49,33.93,27.77,16.35,17.38,12.80,13.61
EV/EBIT Ratio,19.80,35.37,56.80,52.37,57.50,47.43,36.06,20.43,23.59,16.39,17.28
EV/FCF Ratio,23.67,33.15,66.39,60.27,42.45,33.18,26.87,18.47,21.83,19.63,17.88
Debt / Equity Ratio,0.69,0.56,0.87,1.10,0.38,0.49,0.64,0.08,0.22,0.36,0.06
Debt / EBITDA Ratio,1.66,1.57,2.90,3.92,1.36,1.83,2.45,0.26,0.78,1.08,0.14
Debt / FCF Ratio,2.65,2.01,5.88,7.87,1.53,2.04,2.70,0.29,0.98,1.66,0.19
Asset Turnover,0.67,0.65,0.59,0.59,0.61,0.55,0.62,0.71,0.66,0.67,0.77
Quick Ratio,0.94,0.95,0.83,0.82,1.05,1.07,1.13,1.57,1.55,1.53,1.27
Current Ratio,1.04,1.05,0.93,0.92,1.13,1.17,1.22,1.66,1.64,1.60,1.35
Return on Equity (ROE),24.42%,25.11%,11.13%,5.38%,14.39%,18.99%,15.06%,21.04%,18.23%,24.08%,20.51%
Return on Assets (ROA),8.27%,7.57%,4.19%,3.82%,5.78%,5.31%,6.20%,9.43%,7.70%,9.50%,11.68%
Return on Capital (ROIC),11.40%,10.50%,5.74%,5.41%,8.35%,7.33%,8.54%,13.56%,10.99%,13.93%,17.52%
Return on Capital Employed (ROCE),18.00%,16.30%,9.10%,7.50%,12.40%,10.40%,10.10%,19.80%,15.70%,17.10%,26.30%
Earnings Yield,4.27%,2.56%,1.15%,0.77%,1.31%,2.25%,2.35%,3.91%,3.32%,5.08%,3.73%
FCF Yield,4.48%,3.11%,1.61%,1.83%,2.36%,3.10%,3.93%,5.09%,4.45%,4.76%,5.18%
Dividend Yield,0.85%,0.50%,0.54%,0.69%,0.39%,0.54%,0.78%,0.98%,1.03%,1.29%,1.06%
Payout Ratio,20.69%,18.73%,45.29%,87.23%,28.04%,22.99%,31.45%,23.28%,28.71%,23.54%,25.41%
Buyback Yield / Dilution,0.93%,-0.47%,-,1.15%,-0.46%,-0.47%,-0.46%,0.23%,0.69%,2.26%,1.34%
Total Shareholder Return,1.78%,0.03%,0.54%,1.84%,-0.07%,0.07%,0.32%,1.22%,1.72%,3.55%,2.40%
