Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Revenue,"22,495","22,201","23,757","26,537","24,311","19,535","17,634","19,519","19,037","17,440","16,741"
Revenue Growth (YoY),-2.30%,-6.55%,-10.47%,9.16%,24.45%,10.78%,-9.65%,2.53%,9.16%,4.18%,-5.18%
Cost of Revenue,"20,103","19,816","20,991","23,355","21,345","17,294","15,571","17,032","16,510","15,071","14,663"
Gross Profit,"2,392","2,385","2,766","3,182","2,965","2,241","2,063","2,486","2,527","2,369","2,078"
"Selling, General & Admin","1,777","1,751","1,854","1,985","1,978","1,862","1,831","1,855","1,973","1,771","1,460"
Other Operating Expenses,0.36,0.31,-0.05,-,-,-,-,-,92.23,0.02,7.86
Operating Expenses,"1,778","1,751","1,854","1,985","1,978","1,862","1,831","1,855","2,066","1,771","1,468"
Operating Income,614.72,634.02,912.1,"1,197",987.55,378.67,232.69,630.94,461.68,598.8,609.81
Interest Expense,-241.57,-246.4,-282.87,-250.87,-100.38,-89.47,-122.74,-134.87,-92.75,-99.58,-91.94
Currency Exchange Gain (Loss),-15.99,15.54,-31.67,40.45,-37.34,-21.61,12.74,0.08,2.74,-8.62,0.27
Other Non Operating Income (Expenses),-14.64,-44.59,0.8,-12.85,15.03,4.93,-26.31,-14.01,7.75,-42.8,-3.24
EBT Excluding Unusual Items,342.53,358.58,598.36,973.88,864.87,272.52,96.38,482.14,379.42,447.8,514.91
Merger & Restructuring Charges,-61.4,-64.61,-52.6,-28.04,-5.27,-84.39,-81.87,-108.14,-,-76.5,-36.9
Impairment of Goodwill,-,-,-,-,-,-,-,-137.4,-181.44,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-15.2,-,-,-,-,-
Asset Writedown,14.9,-,-,-,-,-,-144.09,-,-52.9,-16,-
Legal Settlements,-,-,86.5,37.04,-,-,-,-,-,-,-
Other Unusual Items,-43.4,-43.4,-,-,-26.26,-,-,-,-,-44.9,-
Pretax Income,252.64,250.57,632.26,982.88,833.33,172.93,-129.59,236.6,145.08,310.4,478.01
Income Tax Expense,19.63,10.35,133.56,212.05,140.96,-20.19,-98.5,60.26,287.97,47.05,87.1
Earnings From Continuing Operations,233.01,240.22,498.7,770.83,692.38,193.11,-31.08,176.34,-142.89,263.35,390.91
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-13.54,261.93,115.62
Net Income,233.01,240.22,498.7,770.83,692.38,193.11,-31.08,176.34,-156.42,525.28,506.53
Net Income to Common,233.01,240.22,498.7,770.83,692.38,193.11,-31.08,176.34,-156.42,525.28,506.53
Net Income Growth,-33.12%,-51.83%,-35.30%,11.33%,258.53%,-,-,-,-,3.70%,-11.43%
Shares Outstanding (Basic),85,86,91,92,99,99,100,110,120,127,131
Shares Outstanding (Diluted),86,87,92,93,100,100,100,111,120,129,133
Shares Change (YoY),-5.18%,-4.82%,-1.64%,-6.46%,-0.35%,-0.30%,-9.32%,-7.60%,-6.79%,-3.40%,-4.05%
EPS (Basic),2.74,2.78,5.51,8.37,7.02,1.95,-0.31,1.61,-1.30,4.14,3.87
EPS (Diluted),2.70,2.75,5.43,8.26,6.94,1.93,-0.31,1.59,-1.30,4.09,3.80
EPS Growth,-29.42%,-49.35%,-34.26%,19.02%,259.58%,-,-,-,-,7.58%,-7.89%
Free Cash Flow,333.31,577.03,463.51,-908.38,-268.21,22.21,605.16,412.08,97.61,-489.09,86.94
Free Cash Flow Per Share,3.87,6.60,5.05,-9.73,-2.69,0.22,6.02,3.72,0.81,-3.80,0.65
Dividend Per Share,1.340,1.320,1.240,1.160,1.000,0.850,0.840,0.800,0.740,0.700,0.680
Dividend Growth,6.35%,6.45%,6.90%,16.00%,17.65%,1.19%,5.00%,8.11%,5.71%,2.94%,6.25%
Gross Margin,10.63%,10.74%,11.64%,11.99%,12.20%,11.47%,11.70%,12.74%,13.28%,13.59%,12.41%
Operating Margin,2.73%,2.86%,3.84%,4.51%,4.06%,1.94%,1.32%,3.23%,2.43%,3.43%,3.64%
Profit Margin,1.04%,1.08%,2.10%,2.90%,2.85%,0.99%,-0.18%,0.90%,-0.82%,3.01%,3.03%
Free Cash Flow Margin,1.48%,2.60%,1.95%,-3.42%,-1.10%,0.11%,3.43%,2.11%,0.51%,-2.80%,0.52%
EBITDA,683.29,705.64,998.81,"1,286","1,090",510.59,414.93,811.78,643.65,738.16,689.4
EBITDA Margin,3.04%,3.18%,4.20%,4.84%,4.48%,2.61%,2.35%,4.16%,3.38%,4.23%,4.12%
D&A For EBITDA,68.57,71.62,86.71,88.61,102.33,131.92,182.24,180.84,181.97,139.36,79.59
EBIT,614.72,634.02,912.1,"1,197",987.55,378.67,232.69,630.94,461.68,598.8,609.81
EBIT Margin,2.73%,2.86%,3.84%,4.51%,4.06%,1.94%,1.32%,3.23%,2.43%,3.43%,3.64%
Effective Tax Rate,7.77%,4.13%,21.13%,21.57%,16.91%,-,-,25.47%,198.49%,15.16%,18.22%
