Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Market Capitalization,"3,679","4,416","4,654","4,611","4,129","3,983","2,571","4,812","5,060","4,860","5,176"
Market Cap Growth,-22.99%,-5.11%,0.92%,11.68%,3.66%,54.90%,-46.56%,-4.91%,4.13%,-6.10%,-9.47%
Enterprise Value,"6,683","7,059","7,629","7,779","5,549","5,164","4,066","6,161","6,146","5,226","6,456"
Last Close Price,44.99,52.32,49.84,47.62,38.85,35.92,22.79,38.68,35.98,32.02,32.62
PE Ratio,16.82,18.38,9.33,5.98,5.96,20.63,-,27.29,-,9.25,10.22
Forward PE,9.21,11.92,11.67,8.70,5.68,11.55,27.00,10.63,10.82,12.65,9.46
PS Ratio,0.17,0.20,0.20,0.17,0.17,0.20,0.15,0.25,0.27,0.28,0.31
PB Ratio,0.75,0.88,0.95,0.97,0.99,0.98,0.69,1.16,1.08,0.94,1.10
P/TBV Ratio,0.91,1.06,1.12,1.16,1.20,1.24,0.89,1.54,1.45,1.29,1.28
P/FCF Ratio,10.98,7.65,10.04,-,-,179.38,4.25,11.68,51.84,-,59.53
P/OCF Ratio,7.73,6.10,6.75,-,-,43.80,3.52,9.00,19.96,-,23.07
PEG Ratio,0.38,1.35,-,-,0.27,0.78,-,0.82,1.09,-,2.15
EV/Sales Ratio,0.30,0.32,0.32,0.29,0.23,0.26,0.23,0.32,0.32,0.30,0.39
EV/EBITDA Ratio,9.78,10.00,7.64,6.05,5.09,10.11,9.80,7.59,9.55,7.08,9.37
EV/EBIT Ratio,10.87,11.13,8.36,6.50,5.62,13.64,17.47,9.77,13.31,8.73,10.59
EV/FCF Ratio,20.05,12.23,16.46,-,-,232.54,6.72,14.95,62.96,-,74.26
Debt / Equity Ratio,0.66,0.57,0.64,0.70,0.45,0.37,0.47,0.42,0.35,0.34,0.53
Debt / EBITDA Ratio,4.09,3.58,2.86,2.40,1.58,2.50,3.39,2.12,2.57,2.41,3.61
Debt / FCF Ratio,9.60,4.99,6.75,-,-,68.12,2.86,4.18,16.95,-,28.66
Asset Turnover,1.80,1.83,1.93,2.32,2.52,2.29,2.12,2.15,1.97,1.67,1.52
Inventory Turnover,3.64,3.70,3.84,4.81,5.71,5.80,5.43,5.54,5.53,5.60,5.82
Quick Ratio,1.07,1.10,1.05,1.19,1.05,1.24,1.49,1.44,1.44,1.82,0.77
Current Ratio,2.36,2.43,2.32,2.53,2.09,2.35,2.78,2.67,2.56,3.07,1.82
Return on Equity (ROE),4.71%,4.83%,10.31%,17.24%,16.73%,4.95%,-0.79%,4.00%,-2.90%,5.33%,8.34%
Return on Assets (ROA),3.07%,3.26%,4.62%,6.54%,6.39%,2.78%,1.75%,4.34%,2.99%,3.57%,3.46%
Return on Capital (ROIC),4.72%,4.97%,7.08%,10.61%,10.59%,4.28%,2.57%,6.46%,4.34%,5.29%,5.50%
Return on Capital Employed (ROCE),7.60%,7.90%,11.80%,14.60%,16.10%,6.50%,4.00%,10.50%,7.00%,8.30%,9.70%
Earnings Yield,6.37%,5.44%,10.72%,16.72%,16.77%,4.85%,-1.21%,3.67%,-3.09%,10.81%,9.79%
FCF Yield,9.11%,13.07%,9.96%,-19.70%,-6.50%,0.56%,23.53%,8.56%,1.93%,-10.06%,1.68%
Dividend Yield,3.08%,2.52%,2.49%,2.44%,2.57%,2.37%,3.69%,2.07%,2.06%,2.19%,2.08%
Payout Ratio,49.58%,47.17%,22.45%,13.79%,14.22%,43.66%,-,49.43%,-,16.88%,17.49%
Buyback Yield / Dilution,5.18%,4.82%,1.64%,6.46%,0.35%,0.30%,9.32%,7.60%,6.79%,3.40%,4.05%
Total Shareholder Return,8.29%,7.34%,4.13%,8.90%,2.92%,2.67%,13.00%,9.67%,8.85%,5.58%,6.13%
