Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Cash & Equivalents,175.47,192.43,310.94,288.23,153.69,199.69,477.04,546.11,621.13,836.38,"1,031"
Short-Term Investments,-,-,-,-,-,-,-,-,-,281.33,-
Cash & Short-Term Investments,175.47,192.43,310.94,288.23,153.69,199.69,477.04,546.11,621.13,"1,118","1,031"
Cash Growth,-34.41%,-38.11%,7.88%,87.54%,-23.04%,-58.14%,-12.65%,-12.08%,-44.43%,8.36%,10.61%
Receivables,"4,503","4,327","4,391","4,764","4,301","3,576","2,928","3,168","3,641","3,338","2,770"
Inventory,"5,421","5,235","5,469","5,465","4,244","3,237","2,732","3,008","3,142","2,825","2,560"
Prepaid Expenses,218.9,219.62,187.58,164.7,152.88,135.04,172.41,147.93,204.25,246.47,64.11
Other Current Assets,8.27,43.75,12.12,69.1,24.91,15.72,18.99,5.51,2.26,7.3,"2,579"
Total Current Assets,"10,327","10,019","10,371","10,751","8,877","7,163","6,329","6,876","7,611","7,534","9,004"
"Property, Plant & Equipment",866.6,869.14,777.14,663.26,542.34,634.44,680.52,452.17,522.91,519.58,453.21
Long-Term Investments,-,23.5,-,-,-,-,-,-,-,-,-
Goodwill,818.11,837.03,780.98,780.63,758.83,838.11,773.73,876.73,980.87,"1,148",621.85
Other Intangible Assets,-,-,-,-,-,28.54,65.44,143.52,219.91,277.29,22.57
Long-Term Deferred Tax Assets,-,324.01,203.21,187.27,156.53,109.45,121.24,90.71,200.78,204.75,195.15
Other Long-Term Assets,402.66,46.13,77.26,95.15,54.21,151.47,135.46,125.09,61.78,15.82,943.05
Total Assets,"12,414","12,119","12,209","12,477","10,389","8,925","8,105","8,565","9,597","9,700","11,240"
Accounts Payable,"3,689","3,487","3,346","3,374","3,432","2,401","1,754","1,864","2,269","1,862","1,591"
Accrued Expenses,434.19,314.64,297.79,411.74,304.18,322.16,275.08,247.73,267.71,456.98,333.61
Short-Term Debt,98.53,87.28,77.61,70.64,174.42,23.08,0.05,0.54,60.38,50.11,122.6
Current Portion of Long-Term Debt,90.79,-,415.1,-,-,-,-,300,105,-,"1,030"
Current Portion of Leases,54.83,56.25,53.99,51.79,54.53,58.35,53.31,-,-,-,-
Current Income Taxes Payable,-,12.41,46.14,93.52,24.83,-,34.59,12.31,108.39,61.55,32.98
Other Current Liabilities,6.72,170.1,229.12,247.87,262.01,250.3,163.26,153.65,158.51,23.49,"1,833"
Total Current Liabilities,"4,374","4,128","4,465","4,249","4,252","3,055","2,280","2,579","2,969","2,454","4,942"
Long-Term Debt,"2,796","2,575","2,407","2,988","1,437","1,191","1,425","1,420","1,489","1,729","1,339"
Long-Term Leases,158.99,159.45,173.89,190.62,199.42,239.84,253.72,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,84.25,152.1,99.15
Other Long-Term Liabilities,237.4,244.78,237.86,297.46,307.3,354.83,419.92,425.59,368.83,182.44,167.67
Total Liabilities,"7,566","7,107","7,284","7,725","6,196","4,841","4,379","4,424","4,912","4,518","6,549"
Common Stock,81.35,83.85,89.05,91.5,95.7,99.6,98.79,104.04,115.83,123.08,127.38
Additional Paid-In Capital,"1,766","1,755","1,721","1,691","1,657","1,622","1,594","1,573","1,529","1,503","1,452"
Retained Earnings,"3,316","3,430","3,602","3,378","2,921","2,516","2,422","2,767","3,236","3,799","3,632"
Comprehensive Income & Other,-315.54,-257.69,-486.72,-409.38,-481.25,-153.75,-388.38,-304.04,-195.35,-243.87,-520.78
Shareholders' Equity,"4,848","5,011","4,926","4,752","4,193","4,084","3,726","4,140","4,685","5,182","4,691"
Total Liabilities & Equity,"12,414","12,119","12,209","12,477","10,389","8,925","8,105","8,565","9,597","9,700","11,240"
Total Debt,"3,199","2,878","3,127","3,301","1,866","1,513","1,732","1,720","1,655","1,779","2,492"
Net Cash (Debt),"-3,024","-2,685","-2,816","-3,013","-1,712","-1,313","-1,255","-1,174","-1,033",-661.62,"-1,460"
Net Cash Per Share,-35.08,-30.72,-30.67,-32.27,-17.15,-13.11,-12.49,-10.60,-8.62,-5.14,-10.97
Filing Date Shares Outstanding,81.33,83.46,88.11,91.49,94.67,99.5,98.78,103.62,115.76,123.06,127.37
Total Common Shares Outstanding,81.35,83.85,89.05,91.5,95.7,99.6,98.79,104.04,115.83,123.08,127.38
Working Capital,"5,953","5,891","5,905","6,501","4,625","4,108","4,048","4,298","4,641","5,080","4,061"
Book Value Per Share,59.60,59.76,55.31,51.93,43.81,41.01,37.72,39.80,40.45,42.10,36.83
Tangible Book Value,"4,030","4,174","4,145","3,971","3,434","3,218","2,887","3,120","3,484","3,756","4,047"
Tangible Book Value Per Share,49.54,49.78,46.54,43.40,35.88,32.30,29.23,29.99,30.08,30.52,31.77
Land,-,31.9,29.37,22.04,21.41,22.78,23.62,23.87,41.98,41.63,37.49
Buildings,-,258.65,137.46,108.24,114.62,121.66,124.01,121.85,132.51,136.85,70.88
Machinery,-,"1,199","1,179","1,144","1,092","1,096","1,052","1,024",877.41,845.51,826.17
Construction In Progress,-,217.17,227.62,138.98,5.78,4.37,26.42,60.69,122.8,64.09,54.56
Leasehold Improvements,-,151.75,138.76,137.75,119.92,123.81,117.04,107.66,106.24,99.21,129.16
