Period Ending,"Nov '25Nov 18, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019"
Market Capitalization,"3,221","2,929","2,724","1,668",-,-,-
Market Cap Growth,14.82%,7.52%,63.37%,-,-,-,-
Enterprise Value,"3,118","2,719","2,633","1,203",-,-,-
Last Close Price,17.23,22.71,22.99,14.59,-,-,-
PE Ratio,-,128.96,-,-,-,-,-
Forward PE,-,30.42,-,-,-,-,-
PS Ratio,0.91,1.09,1.23,1.39,-,-,-
PB Ratio,5.53,4.83,4.90,2.65,-,-,-
P/TBV Ratio,9.94,7.62,8.50,4.64,-,-,-
P/FCF Ratio,-,40.93,-,-,-,-,-
P/OCF Ratio,-,36.76,-,-,-,-,-
EV/Sales Ratio,1.27,1.01,1.19,1.00,-,-,-
EV/EBITDA Ratio,-,71.17,-,-,-,-,-
EV/EBIT Ratio,-,102.14,-,-,-,-,-
EV/FCF Ratio,-,37.99,-,-,-,-,-
Debt / Equity Ratio,0.79,0.06,0.10,0.00,-0.58,-,-
Debt / EBITDA Ratio,-,0.86,-,-,-,-,-
Debt / FCF Ratio,-,0.54,-,-,-,-,-
Asset Turnover,1.30,1.66,1.43,0.97,1.26,2.03,-
Inventory Turnover,3.80,11.57,4.73,2.42,3.51,23.06,-
Quick Ratio,0.82,0.98,0.97,0.74,0.32,0.74,0.68
Current Ratio,1.64,1.34,1.60,1.44,0.86,0.87,0.92
Return on Equity (ROE),-4.59%,5.22%,-17.68%,-126.89%,-,-1128.26%,-
Return on Assets (ROA),-0.88%,1.02%,-4.51%,-14.39%,-18.31%,-9.23%,-
Return on Capital (ROIC),-2.17%,2.65%,-11.24%,-63.45%,-,-616.08%,-
Return on Capital Employed (ROCE),-2.80%,4.10%,-18.40%,-44.60%,294.50%,287.10%,-176.60%
Earnings Yield,-0.59%,0.78%,-2.56%,-6.26%,-,-,-
FCF Yield,-13.17%,2.44%,-4.22%,-17.41%,-,-,-
Buyback Yield / Dilution,-5.40%,-58.04%,-67.04%,40.50%,-,-,-
