Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019"
Cash & Equivalents,436.32,448.69,345.9,357.3,36.83,93.82,84.11
Short-Term Investments,-,-,-,110.36,-,-,-
Cash & Short-Term Investments,436.32,448.69,345.9,467.65,36.83,93.82,84.11
Cash Growth,12.38%,29.72%,-26.04%,1169.79%,-60.74%,11.53%,-
Accounts Receivable,462.29,751.1,353.98,337.32,192.76,184.59,23.32
Other Receivables,26.33,28.98,20.45,14.38,13.29,2.17,1.47
Receivables,488.62,810.99,398.76,351.7,206.05,186.75,24.79
Inventory,654.3,182.6,224.9,652.74,389.79,37.31,10.68
Prepaid Expenses,27.45,12.44,4.14,3.64,2.48,1.26,0.77
Restricted Cash,23.57,46.09,106.84,62.43,1.24,1.24,2.91
Other Current Assets,219.43,179.64,114.43,63.38,25.13,7.1,25.03
Total Current Assets,"1,850","1,680","1,195","1,602",661.52,327.47,148.3
"Property, Plant & Equipment",59.24,23.54,15.63,16.16,8.21,5.17,3.95
Goodwill,28.67,27.48,26.02,24.85,9.18,4.73,4.7
Other Intangible Assets,62.27,60,55.75,51.7,36.06,26.3,28.75
Long-Term Deferred Tax Assets,2.53,8.88,0.09,3.03,1.18,-,1.62
Long-Term Deferred Charges,-,-,-,-,0.22,-,0.56
Other Long-Term Assets,72.75,101.85,28.78,24.06,1.32,0.35,0.93
Total Assets,"2,075","1,902","1,352","1,746",717.68,364.03,188.8
Accounts Payable,255.65,436.74,65.38,307.45,162.88,87.59,16.47
Accrued Expenses,214.16,363.15,204.82,177.38,202.3,147.81,23.99
Short-Term Debt,-,-,-,-,100,-,-
Current Portion of Long-Term Debt,-,30.36,22.54,-,-,-,-
Current Portion of Leases,12.47,3.06,1.57,1.73,-,-,-
Current Income Taxes Payable,7.02,57.93,29.47,11.11,12.89,5.94,5.18
Current Unearned Revenue,593.01,312.66,383.44,573.77,291.49,135.27,113.95
Other Current Liabilities,42.53,54.93,38.46,38.02,1.94,1.64,1.14
Total Current Liabilities,"1,125","1,259",745.66,"1,109",771.49,378.24,160.72
Long-Term Debt,390.36,-,28.02,-,-,-,-
Long-Term Leases,6.69,5.49,1.33,1.01,-,-,-
Long-Term Deferred Tax Liabilities,7.51,7.11,4.79,4.88,-,0.16,-
Other Long-Term Liabilities,24.92,23.61,16,1.1,119.62,2.85,2.58
Total Liabilities,"1,554","1,295",795.82,"1,116",891.11,381.25,163.3
Common Stock,0,0,0,0,106.15,99.87,97.37
Additional Paid-In Capital,623.23,634.85,581.1,542.6,-,-,-
Retained Earnings,-217.71,-151.45,-174.16,-104.54,-279.3,-117.3,-70.59
Treasury Stock,-9.95,-9.46,-7.8,-5.01,-,-,-
Comprehensive Income & Other,11.81,-1.84,3.2,2.78,-0.29,0.2,-1.28
Total Common Equity,407.38,472.1,402.35,435.83,-173.43,-17.23,25.51
Minority Interest,113.46,135.04,153.98,193.38,-,-,-
Shareholders' Equity,520.84,607.14,556.33,629.21,-173.43,-17.23,25.51
Total Liabilities & Equity,"2,075","1,902","1,352","1,746",717.68,364.03,188.8
Total Debt,409.52,38.92,53.47,2.74,100,-,-
Net Cash (Debt),26.81,409.77,292.43,464.91,-63.17,93.82,84.11
Net Cash Growth,-91.81%,40.13%,-37.10%,-,-,11.53%,-
Net Cash Per Share,0.21,2.23,2.51,6.67,-0.54,0.80,0.72
Filing Date Shares Outstanding,131.01,129.62,119.31,115.87,54.14,117.14,117.17
Total Common Shares Outstanding,130.86,129.42,118.9,115.42,135.67,117.14,117.17
Working Capital,724.86,421.61,449.3,492.07,-109.98,-50.77,-12.42
Book Value Per Share,3.11,3.65,3.38,3.78,-1.28,-0.15,0.22
Tangible Book Value,316.45,384.62,320.57,359.28,-218.67,-48.25,-7.95
Tangible Book Value Per Share,2.42,2.97,2.70,3.11,-1.61,-0.41,-0.07
Machinery,-,21.68,15.59,7.79,7.18,2.81,2.29
Construction In Progress,-,3.43,2.09,6.81,0.86,2.69,1.45
Leasehold Improvements,-,1.65,1.51,1.48,1.27,0.73,0.73
Order Backlog,-,"4,500",-,-,-,-,-
