Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,046","3,481","2,080","2,786","2,816","4,164","2,960","1,732",692,374,"1,110"
Market Cap Growth,93.30%,67.40%,-25.35%,-1.06%,-32.38%,40.68%,70.95%,150.22%,84.84%,-66.28%,-36.17%
Enterprise Value,"6,830","4,940","3,253","3,671","3,207","4,102","2,579","1,633",666,223,832
Last Close Price,75.30,45.14,27.56,38.17,39.83,61.03,48.03,34.32,16.68,10.91,32.40
PS Ratio,3.31,4.32,2.22,3.99,5.23,10.94,9.64,6.54,3.56,4.53,30.20
PB Ratio,-,-3.17,-2.54,-8.03,1958.20,8.64,4.98,4.94,4.42,3.13,4.91
P/TBV Ratio,-,-,-,-,-,-,-,-,29.52,3.13,4.91
EV/Sales Ratio,3.84,6.12,3.47,5.25,5.95,10.77,8.40,6.17,3.43,2.69,22.63
Debt / Equity Ratio,-16.00,-2.25,-2.72,-4.21,882.73,2.28,0.55,0.44,0.93,0.82,0.41
Asset Turnover,0.79,0.45,0.52,0.38,0.26,0.20,0.22,0.35,0.59,0.26,0.11
Inventory Turnover,11.39,22.02,27.95,36.97,33.17,23.33,15.23,13.74,-,-,-
Quick Ratio,2.21,2.26,1.90,1.39,1.74,4.23,3.15,1.77,2.82,5.17,7.71
Current Ratio,2.32,2.35,2.02,1.71,1.87,4.44,3.30,1.92,3.04,5.27,7.84
Return on Equity (ROE),-,-,-,-,-216.75%,-81.42%,-53.24%,-50.51%,-57.24%,-82.24%,-65.00%
Return on Assets (ROA),25.70%,-5.09%,-12.13%,-15.09%,-11.30%,-11.21%,-8.79%,-7.83%,-12.16%,-26.01%,-29.91%
Return on Capital (ROIC),30.63%,-6.59%,-17.30%,-23.05%,-16.43%,-17.15%,-16.90%,-14.69%,-15.48%,-30.82%,-33.90%
Return on Capital Employed (ROCE),51.90%,-13.10%,-27.00%,-33.90%,-26.20%,-17.80%,-13.90%,-9.90%,-20.80%,-60.10%,-52.20%
Earnings Yield,12.43%,-10.44%,-30.13%,-20.06%,-18.61%,-10.52%,-8.50%,-7.40%,-11.42%,-37.96%,-15.35%
FCF Yield,11.66%,-3.28%,-8.98%,-13.95%,-9.93%,-5.09%,-3.80%,-2.01%,-1.90%,-28.13%,-11.44%
Buyback Yield / Dilution,-10.56%,-2.68%,-4.33%,-1.79%,-6.72%,-12.17%,-26.38%,-18.87%,-15.09%,-1.24%,-6.53%
