Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,806.12,676.07,702.92,687.67,688.42,684.58,625.06,578.55,593.85,700.53,842.06
Other Revenue,4.76,5.19,7.08,7.54,4.62,2.74,2.65,2.75,2.59,3.87,5.21
Revenue,810.89,681.26,710,695.21,693.03,687.31,627.7,581.3,596.44,704.39,847.27
Revenue Growth (YoY),24.23%,-4.05%,2.13%,0.31%,0.83%,9.50%,7.98%,-2.54%,-15.33%,-16.86%,-7.30%
Cost of Revenue,161.42,112.22,120.02,99.41,91.43,90.66,78.55,84.11,95.82,100.27,164.85
Gross Profit,649.46,569.05,589.98,595.8,601.61,596.66,549.16,497.18,500.62,604.12,682.42
"Selling, General & Admin",418.74,375.7,408.39,443.43,435.83,438.32,453.55,416.49,452.49,548.2,668.58
Operating Expenses,456.22,390.34,425.27,463.17,452.59,453.11,462.7,425.88,466.48,570.95,693.52
Operating Income,193.25,178.71,164.71,132.63,149.02,143.55,86.46,71.3,34.14,33.17,-11.1
Interest Expense,-4.97,-0.61,-0.4,-0.4,-0.92,-0.17,-0.17,-0.68,-0.45,-0.58,-0.84
Interest & Investment Income,26.9,28.99,19.98,6.87,0.93,3.85,6.39,3.54,1.9,1.26,0.79
Earnings From Equity Investments,-0.1,-0.1,-,-0.6,0.2,0.2,0.1,-0.4,-0.3,-0.9,-0.3
Other Non Operating Income (Expenses),-0.01,0.01,0.01,-0.03,-0.16,-0.08,0.24,0.6,0.97,1.2,-0.14
EBT Excluding Unusual Items,215.06,206.99,184.3,138.46,149.07,147.35,93.02,74.35,36.25,34.15,-11.58
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-32.35,-20.55
Gain (Loss) on Sale of Investments,-1.1,-1.1,-,-1.2,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,22.09,-,-,-,-,-,-,-,-1.79
Asset Writedown,-1.99,-4.45,-14.26,-2.99,-,-0.61,-,-,-,-1.16,-60.52
Legal Settlements,-,-,-,-,-,-,-,-,-,-32,-
Pretax Income,211.98,201.44,192.12,134.27,149.07,146.74,93.02,74.35,36.25,-31.37,-94.44
Income Tax Expense,55.95,53.85,44.47,38.4,39.43,22.48,22.43,18.56,67.13,-16.55,-147.45
Earnings From Continuing Operations,156.03,147.59,147.65,95.87,109.64,124.26,70.59,55.79,-30.88,-14.82,53.02
Earnings From Discontinued Operations,-,-,-,-,-,-,-0.61,-0.61,-1.02,-3.9,-1.13
Net Income,156.03,147.59,147.65,95.87,109.64,124.26,69.98,55.18,-31.9,-18.71,51.89
Net Income to Common,156.03,147.59,147.65,95.87,109.64,124.26,69.98,55.18,-31.9,-18.71,51.89
Net Income Growth,17.04%,-0.04%,54.02%,-12.56%,-11.77%,77.57%,26.82%,-,-,-,-
Shares Outstanding (Basic),65,66,66,68,70,69,70,70,69,68,68
Shares Outstanding (Diluted),67,67,68,69,71,71,72,71,69,68,68
Shares Change (YoY),-0.47%,-0.86%,-1.75%,-2.61%,-0.54%,-1.14%,0.84%,3.67%,0.84%,0.07%,1.72%
EPS (Basic),2.39,2.25,2.22,1.41,1.57,1.79,1.00,0.79,-0.46,-0.27,0.76
EPS (Diluted),2.33,2.19,2.18,1.39,1.55,1.74,0.97,0.77,-0.46,-0.28,0.76
EPS Growth,17.26%,0.46%,56.84%,-10.32%,-10.92%,79.10%,25.93%,-,-,-,-
Free Cash Flow,194.76,156.97,105.61,135.57,180.66,170.19,67.91,50.26,-28.12,2.35,-32.94
Free Cash Flow Per Share,2.92,2.33,1.56,1.96,2.55,2.39,0.94,0.70,-0.41,0.03,-0.48
Dividend Per Share,0.560,0.500,0.330,-,-,-,-,-,-,-,-
Dividend Growth,16.67%,51.52%,-,-,-,-,-,-,-,-,-
Gross Margin,80.09%,83.53%,83.09%,85.70%,86.81%,86.81%,87.49%,85.53%,83.94%,85.76%,80.54%
Operating Margin,23.83%,26.23%,23.20%,19.08%,21.50%,20.89%,13.77%,12.26%,5.72%,4.71%,-1.31%
Profit Margin,19.24%,21.66%,20.80%,13.79%,15.82%,18.08%,11.15%,9.49%,-5.35%,-2.66%,6.12%
Free Cash Flow Margin,24.02%,23.04%,14.88%,19.50%,26.07%,24.76%,10.82%,8.64%,-4.71%,0.33%,-3.89%
EBITDA,230.72,193.35,181.6,152.37,165.78,158.33,95.61,80.69,48.13,55.92,13.84
EBITDA Margin,28.45%,28.38%,25.58%,21.92%,23.92%,23.04%,15.23%,13.88%,8.07%,7.94%,1.63%
D&A For EBITDA,37.48,14.65,16.89,19.73,16.77,14.79,9.15,9.39,13.99,22.75,24.94
EBIT,193.25,178.71,164.71,132.63,149.02,143.55,86.46,71.3,34.14,33.17,-11.1
EBIT Margin,23.83%,26.23%,23.20%,19.08%,21.50%,20.89%,13.77%,12.26%,5.72%,4.71%,-1.31%
Effective Tax Rate,26.39%,26.73%,23.15%,28.60%,26.45%,15.32%,24.11%,24.96%,185.17%,-,-
Revenue as Reported,810.89,681.26,710,695.21,693.03,687.31,627.7,581.3,596.44,704.39,847.27
Advertising Expenses,-,-,-,-,-,-,-,-,136.11,154.95,220.52
