Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,905","1,740","1,153",934,824,875,"1,294",797,835,691,247
Market Cap Growth,29.80%,50.81%,23.54%,13.25%,-5.79%,-32.39%,62.46%,-4.55%,20.78%,179.98%,-47.29%
Enterprise Value,"1,390","1,040",587,447,396,569,"1,079",608,667,484,61
Last Close Price,30.13,26.11,16.95,13.24,11.20,12.03,17.52,10.88,11.51,9.61,3.46
PE Ratio,12.85,11.79,7.81,9.74,7.52,7.04,18.49,14.44,-,-,4.76
Forward PE,10.99,11.32,8.40,9.50,6.94,7.78,13.51,10.83,18.88,100.90,-
PS Ratio,2.43,2.55,1.63,1.34,1.19,1.27,2.06,1.37,1.40,0.98,0.29
PB Ratio,1.94,1.81,1.37,1.29,1.27,1.57,3.00,2.24,2.82,2.15,0.73
P/TBV Ratio,2.91,2.87,2.05,2.18,1.81,2.07,3.85,3.07,4.15,3.06,1.02
P/FCF Ratio,9.84,11.08,10.92,6.89,4.56,5.14,19.06,15.85,-,294.57,-
P/OCF Ratio,9.45,10.77,10.30,6.30,4.31,4.86,17.71,13.98,-,106.73,-
PEG Ratio,0.74,0.76,0.56,0.64,0.46,0.82,1.35,-,-,-,-
EV/Sales Ratio,1.71,1.53,0.83,0.64,0.57,0.83,1.72,1.05,1.12,0.69,0.07
EV/EBITDA Ratio,6.02,5.38,3.23,2.93,2.39,3.59,11.29,7.54,13.85,8.66,4.42
EV/EBIT Ratio,7.19,5.82,3.56,3.37,2.66,3.96,12.48,8.53,19.53,14.60,-
EV/FCF Ratio,7.14,6.63,5.56,3.30,2.19,3.34,15.90,12.10,-,206.42,-
Debt / Equity Ratio,0.12,0.14,0.03,0.05,0.07,0.10,0.15,-,-,-,0.11
Debt / EBITDA Ratio,0.48,0.65,0.14,0.20,0.25,0.30,0.56,-,-,-,2.75
Debt / FCF Ratio,0.62,0.84,0.26,0.25,0.25,0.31,0.95,-,-,-,-
Asset Turnover,0.67,0.61,0.72,0.77,0.88,1.04,1.16,1.25,1.19,1.20,1.43
Inventory Turnover,40.94,26.74,34.75,70.81,121.90,154.71,117.32,89.72,64.31,38.41,39.37
Quick Ratio,4.22,4.52,5.74,3.40,3.84,4.37,3.38,2.68,1.72,1.31,1.13
Current Ratio,4.47,4.84,5.90,3.52,3.95,4.50,3.47,2.78,1.87,1.47,1.50
Return on Equity (ROE),16.14%,16.39%,18.84%,13.94%,18.18%,25.17%,17.95%,17.13%,-10.00%,-4.50%,17.11%
Return on Assets (ROA),10.00%,9.95%,10.48%,9.19%,11.87%,13.59%,9.99%,9.59%,4.24%,3.54%,-1.17%
Return on Capital (ROIC),11.63%,11.40%,12.65%,11.40%,14.28%,16.24%,12.71%,13.68%,6.91%,5.95%,-2.08%
Return on Capital Employed (ROCE),17.00%,16.20%,18.40%,16.70%,21.10%,23.20%,17.50%,18.50%,10.20%,8.50%,-2.70%
Earnings Yield,8.15%,8.48%,12.80%,10.27%,13.30%,14.20%,5.41%,6.93%,-3.82%,-2.71%,21.02%
FCF Yield,10.17%,9.02%,9.16%,14.52%,21.91%,19.45%,5.25%,6.31%,-3.37%,0.34%,-13.35%
Dividend Yield,2.00%,1.92%,1.95%,-,-,-,-,-,-,-,-
Payout Ratio,24.05%,21.48%,9.76%,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,0.47%,0.86%,1.75%,2.61%,0.54%,1.14%,-0.84%,-3.67%,-0.84%,-0.07%,-1.72%
Total Shareholder Return,2.47%,2.78%,3.69%,2.61%,0.54%,1.14%,-0.84%,-3.67%,-0.84%,-0.07%,-1.72%
