Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,159.47,109.13,118.01,109.41,319.98,105.68,108.69,32.39,18.11,49.51,66.92
Short-Term Investments,487.84,459.8,485.14,399.32,174.21,300.68,185.49,196.43,156.18,147.68,114.9
Cash & Short-Term Investments,647.31,568.93,603.14,508.72,494.2,406.36,294.18,228.82,174.29,197.19,181.82
Cash Growth,-10.32%,-5.67%,18.56%,2.94%,21.62%,38.14%,28.56%,31.29%,-11.61%,8.45%,-16.09%
Accounts Receivable,41.3,22.81,29.4,42.55,43.03,44.68,55.02,28.75,18.88,22.83,31.62
Other Receivables,6.15,5.33,4.54,3.46,1.69,2.87,1.38,2.57,1.16,0.93,5.19
Receivables,47.45,28.14,33.94,46.01,44.73,47.56,56.4,31.32,20.04,23.75,36.81
Inventory,4.02,3.39,5,1.9,0.9,0.6,0.58,0.76,1.11,1.87,3.35
Prepaid Expenses,15.88,16.91,11.71,8.41,6.92,8.21,7.3,7.77,7.72,14.45,14.38
Restricted Cash,21.31,22.62,1.01,9.48,5.2,4,-,0.34,0.79,1.38,49.82
Other Current Assets,0.19,0.17,0.16,0.6,2.51,0.34,1.94,0.44,6.77,9.56,2.78
Total Current Assets,736.15,640.15,654.96,575.12,554.45,467.06,360.39,269.45,210.72,248.19,288.96
"Property, Plant & Equipment",141.78,160.98,40.47,52.19,65.02,72.53,76.37,30.05,33.23,40.51,58.25
Goodwill,258.19,258.01,241.16,243.54,162.58,118.31,87.36,87.36,87.36,87.36,87.36
Other Intangible Assets,82.12,95.01,36.22,53.56,32.21,15.52,7.9,7.9,7.9,8.5,9.3
Long-Term Accounts Receivable,4.87,6.2,3.86,1.85,1.37,1.3,1.24,0.94,2.55,3.06,3.96
Long-Term Deferred Tax Assets,68.77,68.77,23.8,24.61,25.11,40.35,60.17,81.63,98.08,158.27,137.72
Other Long-Term Assets,7.5,7.91,6.84,6.49,6.69,6.43,5.72,5.17,7.26,13.71,25.37
Total Assets,"1,299","1,237","1,007",957.37,847.43,721.52,599.15,482.49,447.1,559.6,610.92
Accounts Payable,20.22,12.81,10.77,13.52,10.84,13.26,11.53,9.2,8.52,10.1,25.91
Accrued Expenses,62.87,64.43,53.38,63.9,49.18,44.83,54.47,53.5,73.39,120.7,74.66
Short-Term Debt,-,-,-,-,-,-,-,-,-,-,38
Current Portion of Leases,11.08,13.26,5.7,6.56,9.4,9.79,11.78,-,-,-,-
Current Income Taxes Payable,10.67,4.93,3.97,7.81,0.21,1.4,1.38,1.47,2.19,1.83,1.06
Current Unearned Revenue,59.8,36.74,37.22,71.59,70.61,34.53,24.65,32.35,22.9,28.36,40.11
Other Current Liabilities,-,-,-,-,-,-,-,0.54,5.7,8.22,13.07
Total Current Liabilities,164.64,132.16,111.04,163.38,140.24,103.82,103.81,97.05,112.69,169.21,192.81
Long-Term Debt,-,56.5,-,-,-,-,-,-,-,-,-
Long-Term Leases,110.41,61.78,21.35,27.29,35.55,43.41,52.39,-,-,-,-
Other Long-Term Liabilities,26.48,27.06,33.51,40.86,21.53,18.39,11.65,30.24,38.21,68.89,80.5
Total Liabilities,301.53,277.5,165.9,231.52,197.32,165.61,167.85,127.29,150.89,238.1,273.31
Common Stock,0.92,0.91,0.9,0.89,0.89,0.87,0.86,0.85,0.84,0.84,0.83
Additional Paid-In Capital,717.39,707.21,694.8,684.18,674.24,658.42,639.34,628.3,621.01,613.33,610.78
