Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"2,953","2,221","2,293",874,910,407,151,-,-
Market Cap Growth,24.16%,-3.15%,162.34%,-3.92%,123.69%,168.50%,-,-,-
Enterprise Value,"1,838","1,040","1,784",484,530,125,49,-,-
Last Close Price,33.34,25.70,35.58,18.17,23.64,14.00,7.50,-,-
PS Ratio,13.69,317.33,98.07,17.17,32.57,20.82,-,-,-
PB Ratio,2.68,2.10,3.69,2.50,3.02,2.05,1.51,-,-
P/TBV Ratio,2.70,2.10,3.69,2.50,3.02,2.05,1.51,-,-
P/FCF Ratio,-,-,-,-,-,7.40,-,-,-
P/OCF Ratio,-,-,-,-,-,7.33,-,-,-
EV/Sales Ratio,8.55,148.56,76.31,9.51,18.96,6.40,-,-,-
EV/FCF Ratio,-,-,-,-,-,2.27,-,-,-
Debt / Equity Ratio,0.03,0.02,0.01,0.01,0.02,0.03,0.07,-,0.31
Debt / FCF Ratio,-,-,-,-,-,0.12,-,-,-
Asset Turnover,0.18,0.01,0.05,0.13,0.08,0.10,-,-,-
Quick Ratio,12.20,14.68,19.38,11.51,5.49,7.39,14.26,16.62,5.41
Current Ratio,12.44,14.97,19.65,11.68,5.56,7.47,14.65,16.75,5.58
Return on Equity (ROE),-14.15%,-32.67%,-23.28%,-18.02%,-19.91%,-23.10%,-44.22%,-68.84%,-
Return on Assets (ROA),-10.77%,-23.05%,-16.20%,-10.15%,-9.25%,-10.74%,-26.41%,-39.92%,-
Return on Capital (ROIC),-11.26%,-24.01%,-17.20%,-11.84%,-12.28%,-14.15%,-28.15%,-44.20%,-
Return on Capital Employed (ROCE),-18.60%,-30.30%,-21.60%,-17.50%,-15.00%,-13.60%,-41.70%,-40.00%,-96.00%
Earnings Yield,-5.45%,-12.36%,-4.92%,-6.71%,-5.47%,-8.48%,-27.71%,-,-
FCF Yield,-3.58%,-11.32%,-5.13%,-10.37%,-6.42%,13.51%,-26.84%,-,-
Buyback Yield / Dilution,-15.78%,-42.00%,-38.79%,-17.57%,-42.60%,-97.82%,-1206.87%,-37.52%,-
