Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Revenue,214.83,7,23.39,50.93,27.94,19.54,-,-,-
Revenue Growth (YoY),5377.66%,-70.07%,-54.09%,82.28%,43.01%,-,-,-,-
Cost of Revenue,368.29,294.67,129.51,89.54,58.16,39.7,34.32,31.75,-
Gross Profit,-153.45,-287.67,-106.12,-38.61,-30.22,-20.16,-34.32,-31.75,-
"Selling, General & Admin",55.43,39.3,28.31,23.9,20.05,15.18,9.95,4.67,2.05
Research & Development,-,-,-,-,-,-,-,-,12.38
Operating Expenses,55.43,39.3,28.31,23.9,20.05,15.18,9.95,4.67,14.44
Operating Income,-208.88,-326.98,-134.43,-62.5,-50.27,-35.34,-44.27,-36.42,-14.44
Interest & Investment Income,24.91,29.27,9.92,3.15,2.34,0.83,2.29,2.06,0.15
EBT Excluding Unusual Items,-183.97,-297.71,-124.51,-59.35,-47.93,-34.51,-41.98,-34.36,-14.29
Gain (Loss) on Sale of Investments,23.23,23.23,11.55,0.7,-1.83,0.02,0.01,0.01,-
Other Unusual Items,-,-,-,-,-,-,-,-,2.43
Pretax Income,-160.74,-274.48,-112.96,-58.66,-49.76,-34.5,-41.98,-34.35,-11.86
Net Income,-160.74,-274.48,-112.96,-58.66,-49.76,-34.5,-41.98,-34.35,-11.86
Net Income to Common,-160.74,-274.48,-112.96,-58.66,-49.76,-34.5,-41.98,-34.35,-11.86
Shares Outstanding (Basic),88,82,58,41,35,25,12,1,1
Shares Outstanding (Diluted),88,82,58,41,35,25,12,1,1
Shares Change (YoY),15.78%,42.00%,38.79%,17.57%,42.60%,97.82%,1206.87%,37.52%,-
EPS (Basic),-1.82,-3.36,-1.96,-1.42,-1.41,-1.40,-3.36,-35.92,-17.06
EPS (Diluted),-1.82,-3.36,-1.96,-1.42,-1.41,-1.40,-3.36,-35.92,-17.06
Free Cash Flow,-105.39,-251.44,-117.59,-90.62,-58.42,54.97,-40.67,-29.33,-13.98
Free Cash Flow Per Share,-1.20,-3.08,-2.04,-2.19,-1.66,2.22,-3.25,-30.67,-20.11
Gross Margin,-71.43%,-,-,-75.80%,-108.15%,-103.18%,-,-,-
Operating Margin,-97.23%,-4671.07%,-574.85%,-122.72%,-179.91%,-180.90%,-,-,-
Profit Margin,-74.82%,-3921.10%,-483.05%,-115.17%,-178.10%,-176.55%,-,-,-
Free Cash Flow Margin,-49.06%,-3592.01%,-502.85%,-177.92%,-209.09%,281.35%,-,-,-
EBITDA,-206.33,-324.59,-131.95,-60.4,-48.54,-33.96,-43.03,-35.53,-14.05
EBITDA Margin,-96.04%,-,-,-118.59%,-173.73%,-173.83%,-,-,-
D&A For EBITDA,2.55,2.39,2.48,2.1,1.73,1.38,1.25,0.89,0.39
EBIT,-208.88,-326.98,-134.43,-62.5,-50.27,-35.34,-44.27,-36.42,-14.44
EBIT Margin,-97.23%,-,-,-122.72%,-179.91%,-180.90%,-,-,-
Revenue as Reported,214.83,7,23.39,50.93,27.94,19.54,-,-,-
