Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"1,918","3,580","1,885","1,916","2,492","1,000",-,-
Market Cap Growth,-36.18%,89.94%,-1.59%,-23.12%,149.25%,-,-,-
Enterprise Value,"1,514","3,083","1,322","1,432","2,058",-,-,-
Last Close Price,5.45,10.04,5.21,5.47,7.35,10.30,-,-
PE Ratio,29.48,29.55,20.20,-,-,-,-,-
Forward PE,19.77,34.42,20.45,-,-,-,-,-
PS Ratio,1.94,3.66,2.27,3.05,5.26,2.89,-,-
PB Ratio,2.61,4.94,2.84,3.51,5.12,5.27,-,-
P/TBV Ratio,4.15,6.57,3.32,3.99,5.82,-,-,-
P/FCF Ratio,9.30,21.22,12.79,26.08,189.86,220.48,-,-
P/OCF Ratio,8.64,20.24,11.82,22.82,124.49,104.94,-,-
EV/Sales Ratio,1.46,3.15,1.59,2.28,4.35,-,-,-
EV/EBITDA Ratio,9.59,18.24,11.02,-,-,-,-,-
EV/EBIT Ratio,11.19,19.23,11.82,-,-,-,-,-
EV/FCF Ratio,7.26,18.27,8.97,19.50,156.81,-,-,-
Debt / Equity Ratio,0.07,0.03,0.07,0.06,0.06,0.21,0.40,-
Debt / EBITDA Ratio,0.32,0.12,0.33,-,-,-,6.17,-
Debt / FCF Ratio,0.26,0.13,0.29,0.42,2.06,8.83,-,-
Asset Turnover,0.14,0.13,0.12,0.11,0.11,0.12,-,-
Quick Ratio,1.00,0.98,1.07,1.07,1.09,1.03,1.04,-
Current Ratio,1.01,1.00,1.09,1.08,1.10,1.04,1.09,-
Return on Equity (ROE),9.79%,17.45%,15.43%,-2.32%,-10.04%,-14.00%,-,-
Return on Assets (ROA),1.11%,1.32%,1.01%,-0.26%,-0.43%,-0.37%,-,-
Return on Capital (ROIC),10.78%,13.78%,10.89%,-2.74%,-5.06%,-4.75%,-,-
Return on Capital Employed (ROCE),15.10%,20.10%,15.10%,-3.90%,-5.20%,-7.30%,1.70%,-
Earnings Yield,3.73%,3.38%,4.95%,-0.63%,-1.36%,-2.38%,-,-
FCF Yield,10.75%,4.71%,7.82%,3.84%,0.53%,0.45%,-,-
Buyback Yield / Dilution,-2.23%,1.64%,-12.82%,-71.55%,-331.59%,-30.16%,-111.86%,-
