Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,225","3,797","3,826","4,021","6,073","7,637","2,869","2,238","1,734","1,417",-
Market Cap Growth,-6.33%,-0.76%,-4.86%,-33.79%,-20.47%,166.20%,28.20%,29.06%,22.40%,-,-
Enterprise Value,"3,338","3,898","4,101","4,400","6,024","7,533","2,672","2,113","1,625","1,463",-
Last Close Price,52.49,60.76,62.44,67.27,103.54,133.38,51.56,40.95,32.80,27.63,-
PE Ratio,45.91,23.56,72.41,-,-,-,-,-,-,-,-
Forward PE,23.62,27.96,30.37,119.42,169.16,284.21,106.49,-,-,-,-
PS Ratio,4.75,5.81,6.48,7.69,14.27,21.71,9.93,9.82,9.87,11.06,-
PB Ratio,9.58,7.86,13.15,29.62,17.17,17.57,7.11,6.91,5.46,4.86,-
P/TBV Ratio,-,-,-,-,-,112.93,15.53,22.99,20.51,29.78,-
P/FCF Ratio,18.05,20.12,31.71,89.28,85.10,158.37,114.33,227.04,715.87,-,-
P/OCF Ratio,17.26,19.90,30.22,71.79,75.83,139.52,96.51,138.64,269.90,-,-
PEG Ratio,4.65,6.56,0.60,7.01,8.50,11.37,2.13,4.43,-,-,-
EV/Sales Ratio,4.86,5.97,6.95,8.41,14.15,21.42,9.25,9.27,9.25,11.43,-
EV/EBITDA Ratio,57.82,80.94,176.48,-,-,-,-,-,-,-,-
EV/EBIT Ratio,99.40,190.99,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,18.70,20.65,33.99,97.69,84.42,156.21,106.49,214.35,670.73,-,-
Debt / Equity Ratio,2.51,1.90,4.85,10.32,3.21,0.96,0.99,-,0.00,0.00,0.17
Debt / EBITDA Ratio,13.54,15.93,44.75,-,-,293.09,-,-,-,-,-
Debt / FCF Ratio,5.16,4.86,11.69,31.11,15.89,8.68,15.94,-,0.18,-,-
Asset Turnover,0.40,0.33,0.29,0.28,0.29,0.33,0.38,0.48,0.40,0.36,0.29
Quick Ratio,1.48,2.52,2.14,3.33,4.10,2.70,3.43,1.31,1.30,1.36,0.53
Current Ratio,1.52,2.59,2.19,3.40,4.18,2.78,3.50,1.39,1.40,1.51,0.65
Return on Equity (ROE),22.18%,43.34%,27.68%,-13.85%,-25.62%,-9.40%,-8.84%,-8.98%,-10.98%,-11.51%,-14.13%
Return on Assets (ROA),1.23%,0.65%,-0.24%,-2.91%,-1.76%,-1.17%,-2.31%,-3.85%,-4.22%,-3.75%,-7.59%
Return on Capital (ROIC),1.61%,0.82%,-0.30%,-3.62%,-2.21%,-1.50%,-3.09%,-5.73%,-6.10%,-5.45%,-10.74%
Return on Capital Employed (ROCE),3.20%,1.50%,-0.50%,-5.60%,-2.80%,-2.30%,-3.40%,-8.80%,-9.10%,-6.80%,-16.40%
Earnings Yield,2.36%,4.25%,1.38%,-0.73%,-1.90%,-0.61%,-1.13%,-1.28%,-1.93%,-1.86%,-
FCF Yield,5.54%,4.97%,3.15%,1.12%,1.18%,0.63%,0.88%,0.44%,0.14%,-0.46%,-
Buyback Yield / Dilution,8.64%,-2.02%,-21.00%,-2.04%,-2.67%,-2.73%,-2.61%,-3.36%,-22.74%,-4.73%,-1.22%
