Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,686.71,653.34,590,522.94,425.71,351.74,288.98,227.79,175.6,128.03,83.61
Revenue Growth (YoY),7.36%,10.74%,12.82%,22.84%,21.03%,21.72%,26.86%,29.72%,37.15%,53.14%,61.79%
Cost of Revenue,169.32,161.81,146.32,129.39,97.87,68.97,58.98,50.87,41.39,30.21,22.73
Gross Profit,517.39,491.52,443.68,393.55,327.84,282.77,230,176.91,134.22,97.82,60.88
"Selling, General & Admin",378.2,370.14,348.23,372.15,291.89,246.16,214.85,175.55,140.13,97.93,77.43
Research & Development,105.61,100.97,103.21,108.89,77.32,56.46,43.01,30.75,23.87,21.13,18.22
Operating Expenses,483.81,471.12,451.44,481.04,369.21,302.63,257.85,206.3,164,119.05,95.65
Operating Income,33.58,20.41,-7.76,-87.49,-41.37,-19.86,-27.85,-29.39,-29.78,-21.23,-34.77
Interest Expense,-10.12,-8.76,-5.9,-5.85,-62.95,-23.31,-8.65,-0,-0.01,-5.94,-3.22
Interest & Investment Income,35.05,49.81,52.06,14.64,0.7,4.5,6.13,2.14,1.07,0,-
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-3.49,-5.88,-0.42
EBT Excluding Unusual Items,58.5,61.46,38.4,-78.7,-103.62,-38.67,-30.38,-27.25,-32.22,-33.04,-38.41
Merger & Restructuring Charges,-8.64,-1.87,-11.44,-3.84,-,-,-,-,-,-1.58,-
Other Unusual Items,-,65.11,33.55,35.13,2.76,-0.03,-0.05,-0.45,-0.63,-0.37,-0.04
Pretax Income,49.87,124.7,60.51,-47.41,-100.86,-38.7,-30.42,-27.7,-32.84,-35,-38.45
Income Tax Expense,-34.87,-43.07,1.45,-13.52,0.14,0.7,1.73,1.07,0.57,-8.66,-13.71
Earnings From Continuing Operations,84.74,167.77,59.06,-33.89,-100.99,-39.4,-32.15,-28.78,-33.41,-26.34,-24.73
Minority Interest in Earnings,-8.69,-6.59,-6.23,4.5,-14.17,-7.51,-0.39,0.06,-,-,-
Net Income,76.05,161.17,52.83,-29.39,-115.16,-46.91,-32.54,-28.71,-33.41,-26.34,-24.73
Net Income to Common,76.05,161.17,52.83,-29.39,-115.16,-46.91,-32.54,-28.71,-33.41,-26.34,-24.73
Net Income Growth,-40.04%,205.06%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),62,62,61,60,58,57,55,54,52,42,41
Shares Outstanding (Diluted),67,74,72,60,58,57,55,54,52,42,41
Shares Change (YoY),-8.64%,2.02%,21.00%,2.04%,2.67%,2.73%,2.61%,3.36%,22.74%,4.73%,1.22%
EPS (Basic),1.22,2.59,0.87,-0.49,-1.97,-0.83,-0.59,-0.53,-0.64,-0.62,-0.61
EPS (Diluted),1.18,1.45,0.81,-0.49,-1.97,-0.83,-0.59,-0.53,-0.64,-0.62,-0.61
EPS Growth,20.46%,78.84%,-,-,-,-,-,-,-,-,-
Free Cash Flow,178.47,188.71,120.66,45.04,71.36,48.22,25.09,9.86,2.42,-6.53,-9.09
Free Cash Flow Per Share,2.68,2.57,1.68,0.76,1.22,0.85,0.45,0.18,0.05,-0.15,-0.22
Gross Margin,75.34%,75.23%,75.20%,75.26%,77.01%,80.39%,79.59%,77.67%,76.43%,76.40%,72.81%
Operating Margin,4.89%,3.12%,-1.31%,-16.73%,-9.72%,-5.65%,-9.64%,-12.90%,-16.96%,-16.58%,-41.59%
Profit Margin,11.07%,24.67%,8.96%,-5.62%,-27.05%,-13.34%,-11.26%,-12.61%,-19.02%,-20.57%,-29.58%
Free Cash Flow Margin,25.99%,28.88%,20.45%,8.61%,16.76%,13.71%,8.68%,4.33%,1.38%,-5.10%,-10.87%
EBITDA,57.72,48.15,23.24,-58.27,-23.24,-5.37,-11.28,-10.95,-12.51,-5.61,-20.93
EBITDA Margin,8.41%,7.37%,3.94%,-11.14%,-5.46%,-1.53%,-3.90%,-4.81%,-7.12%,-4.38%,-25.04%
D&A For EBITDA,24.14,27.75,31,29.22,18.13,14.49,16.57,18.44,17.27,15.62,13.84
EBIT,33.58,20.41,-7.76,-87.49,-41.37,-19.86,-27.85,-29.39,-29.78,-21.23,-34.77
EBIT Margin,4.89%,3.12%,-1.31%,-16.73%,-9.72%,-5.65%,-9.64%,-12.90%,-16.96%,-16.58%,-41.59%
Effective Tax Rate,-,-,2.40%,-,-,-,-,-,-,-,-
Revenue as Reported,686.71,653.34,590,522.94,425.71,351.74,288.98,227.79,175.6,128.03,83.61
Advertising Expenses,-,11.6,11.8,9.5,9,6.8,10.9,8,7.7,4.2,3
