Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,196","3,221","4,507","3,651","1,818",986,"2,041","2,245","5,118","3,987","2,219"
Market Cap Growth,-26.59%,-28.53%,23.43%,100.87%,84.31%,-51.69%,-9.07%,-56.14%,28.37%,79.64%,-7.67%
Enterprise Value,"3,307","4,430","5,796","4,488","2,550","1,678","2,876","3,150","5,823","4,564","3,008"
Last Close Price,5.79,7.95,10.06,15.29,7.58,4.67,9.12,8.85,19.51,22.74,12.63
PE Ratio,-,-,18.30,23.61,-,-,-,-,891.70,-,-
Forward PE,-,-,9.13,9.62,-,-,-,-,-,-,-
PS Ratio,0.46,0.60,1.09,1.38,1.34,0.88,0.83,0.68,2.17,4.35,1.17
PB Ratio,0.68,0.93,0.94,2.19,1.13,0.49,0.72,0.64,1.29,1.77,0.87
P/TBV Ratio,1.15,1.57,1.89,2.20,1.14,0.50,0.85,0.74,1.55,1.85,0.90
P/FCF Ratio,7.63,6.48,11.55,28.22,-,7.39,5.86,25.17,-,21.53,8.68
P/OCF Ratio,2.51,2.74,4.48,6.45,19.03,3.54,2.93,3.07,17.02,13.07,2.22
EV/Sales Ratio,0.68,0.82,1.40,1.70,1.88,1.49,1.16,0.95,2.47,4.98,1.59
EV/EBITDA Ratio,3.54,3.69,4.93,6.44,14.01,8.03,5.27,4.04,10.94,23.06,5.15
EV/EBIT Ratio,-,31.08,13.03,21.06,-,-,-,-,-,-,-
EV/FCF Ratio,11.46,8.91,14.85,34.68,-,12.58,8.25,35.31,-,24.64,11.77
Debt / Equity Ratio,0.40,0.37,0.28,0.51,0.55,0.46,0.35,0.32,0.22,0.27,0.33
Debt / EBITDA Ratio,1.35,1.07,1.13,1.22,4.69,4.30,1.80,1.44,1.63,3.02,1.46
Debt / FCF Ratio,4.46,2.61,3.45,6.61,-,6.96,2.88,12.55,-,3.23,3.33
Asset Turnover,0.84,0.81,0.79,0.87,0.43,0.29,0.50,0.59,0.50,0.22,0.38
Inventory Turnover,22.18,22.54,22.84,34.28,28.68,23.10,34.80,35.66,38.44,37.17,52.48
Quick Ratio,1.35,1.26,1.16,1.36,1.09,1.42,1.30,1.54,1.14,0.70,1.19
Current Ratio,1.64,1.54,1.41,1.51,1.34,1.75,1.58,1.81,1.37,0.93,1.58
Return on Equity (ROE),-3.96%,-23.30%,7.58%,9.45%,-36.25%,-33.14%,-13.43%,-8.58%,0.19%,-13.25%,-10.77%
Return on Assets (ROA),-0.43%,1.34%,5.26%,4.37%,-8.01%,-7.33%,-3.23%,-0.80%,-2.91%,-7.08%,-1.61%
Return on Capital (ROIC),-0.53%,1.63%,6.40%,5.32%,-9.23%,-8.36%,-3.78%,-0.94%,-3.61%,-9.40%,-2.19%
Return on Capital Employed (ROCE),-0.80%,2.90%,7.00%,8.20%,-15.90%,-15.00%,-6.30%,-1.40%,-4.30%,-13.40%,-3.00%
Earnings Yield,-6.18%,-30.05%,5.46%,4.24%,-36.01%,-81.49%,-20.85%,-14.32%,0.11%,-7.99%,-13.27%
FCF Yield,13.10%,15.43%,8.66%,3.54%,-3.90%,13.52%,17.08%,3.97%,-5.20%,4.65%,11.52%
Dividend Yield,5.53%,4.03%,3.18%,1.31%,1.06%,2.14%,1.75%,1.58%,0.41%,0.70%,3.17%
Payout Ratio,-,-,40.62%,27.87%,-,-,-,-,276.06%,-,-
Buyback Yield / Dilution,4.48%,-41.83%,-27.59%,-12.55%,-3.73%,7.40%,7.14%,-9.39%,-36.74%,-0.52%,-0.03%
Total Shareholder Return,10.08%,-37.80%,-24.41%,-11.24%,-2.67%,9.54%,8.89%,-7.80%,-36.33%,0.18%,3.14%
