Period Ending,"Sep '25Sep 26, 2025","Jun '25Jun 27, 2025","Jun '24Jun 28, 2024","Jun '23Jun 30, 2023","Jul '22Jul 1, 2022","Jul '21Jul 2, 2021","Jul '20Jul 3, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,932.8,912.02,835.28,973.88,988.2,924,796.61,654.74,493.18,408.59,270.15
Revenue Growth (YoY),8.63%,9.19%,-14.23%,-1.45%,6.95%,15.99%,21.67%,32.76%,20.70%,51.24%,15.03%
Cost of Revenue,667.2,657.53,639.37,657.15,593.24,538.81,439.77,367.88,265.33,213.37,141.15
Gross Profit,265.6,254.49,195.9,316.73,394.96,385.19,356.84,286.87,227.85,195.22,129
"Selling, General & Admin",161.97,154.41,166.79,160.64,157.04,134.34,132.25,110.72,88.37,76.49,52.95
Research & Development,62.45,67.65,101.33,108.8,107.17,113.48,98.49,68.93,58.81,54.09,36.39
Amortization of Goodwill & Intangibles,41.87,42.85,47.66,53.55,60.27,41.17,30.56,27.91,26,19.68,8.84
Operating Expenses,266.29,264.91,315.78,322.99,324.48,288.99,261.3,207.56,173.18,150.26,98.18
Operating Income,-0.68,-10.41,-119.87,-6.26,70.48,96.2,95.55,79.31,54.67,44.97,30.82
Interest Expense,-35.93,-36.95,-35.02,-25.16,-5.81,-1.22,-1.01,-9.11,-2.85,-7.57,-1.17
Interest & Investment Income,5.09,3.61,1.2,1.05,0.14,0.18,2.15,0.93,0.03,0.46,0.13
Currency Exchange Gain (Loss),-0.6,1.7,-0.4,-,-,-,-,-,-,-,-0.2
Other Non Operating Income (Expenses),-1.29,-2.85,-2.38,-2.26,-5.64,-2.16,1.73,-8.88,-1.59,0.77,-0.57
EBT Excluding Unusual Items,-33.42,-44.91,-156.47,-32.62,59.17,92.99,98.42,62.26,50.26,38.63,29.01
Merger & Restructuring Charges,-8.92,-9.21,-27.88,-15.43,-38.87,-15.2,-4.48,-2.73,-7.69,-7.56,-6.62
Gain (Loss) on Sale of Assets,6,6,-,-,-,-,-,-,-,-,1.2
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-0.23
Legal Settlements,-7.5,-2.3,-4.93,-0.5,-1.91,-0.62,-,-,-,-,1.93
Pretax Income,-43.84,-50.42,-189.28,-48.54,18.4,77.17,93.93,59.53,42.57,31.07,25.29
Income Tax Expense,-10.95,-12.52,-51.64,-20.21,7.12,15.13,8.22,12.75,1.69,6.19,5.54
Earnings From Continuing Operations,-32.89,-37.9,-137.64,-28.34,11.28,62.04,85.71,46.78,40.88,24.88,19.74
Net Income,-32.89,-37.9,-137.64,-28.34,11.28,62.04,85.71,46.78,40.88,24.88,19.74
Net Income to Common,-32.89,-37.9,-137.64,-28.34,11.28,62.04,85.71,46.78,40.88,24.88,19.74
Net Income Growth,-,-,-,-,-81.83%,-27.61%,83.24%,14.41%,64.35%,26.00%,90.39%
Shares Outstanding (Basic),59,59,58,57,56,55,55,48,47,42,34
Shares Outstanding (Diluted),59,59,58,57,56,55,55,49,47,43,35
Shares Change (YoY),1.64%,1.75%,2.09%,1.17%,0.77%,0.65%,13.64%,2.17%,10.35%,22.57%,6.55%
EPS (Basic),-0.56,-0.65,-2.38,-0.50,0.20,1.13,1.57,0.98,0.88,0.59,0.58
EPS (Diluted),-0.56,-0.65,-2.38,-0.50,0.20,1.12,1.56,0.96,0.86,0.58,0.56
EPS Growth,-,-,-,-,-82.14%,-28.21%,62.50%,11.63%,48.28%,3.57%,76.80%
Free Cash Flow,135.58,119.05,26.09,-60.05,-46.53,51.65,71.89,70.83,28.22,26.3,29.06
Free Cash Flow Per Share,2.30,2.03,0.45,-1.06,-0.83,0.93,1.30,1.46,0.59,0.61,0.83
Gross Margin,28.47%,27.90%,23.45%,32.52%,39.97%,41.69%,44.80%,43.81%,46.20%,47.78%,47.75%
Operating Margin,-0.07%,-1.14%,-14.35%,-0.64%,7.13%,10.41%,11.99%,12.11%,11.09%,11.00%,11.41%
Profit Margin,-3.53%,-4.16%,-16.48%,-2.91%,1.14%,6.71%,10.76%,7.14%,8.29%,6.09%,7.31%
Free Cash Flow Margin,14.54%,13.05%,3.12%,-6.17%,-4.71%,5.59%,9.02%,10.82%,5.72%,6.44%,10.76%
EBITDA,79.04,71.61,-31.84,91.07,163.89,163.28,144.88,125.71,96.95,77.23,46.56
EBITDA Margin,8.47%,7.85%,-3.81%,9.35%,16.59%,17.67%,18.19%,19.20%,19.66%,18.90%,17.24%
D&A For EBITDA,79.72,82.03,88.03,97.33,93.42,67.08,49.33,46.39,42.28,32.27,15.74
EBIT,-0.68,-10.41,-119.87,-6.26,70.48,96.2,95.55,79.31,54.67,44.97,30.82
EBIT Margin,-0.07%,-1.14%,-14.35%,-0.64%,7.13%,10.41%,11.99%,12.11%,11.09%,11.00%,11.41%
Effective Tax Rate,-,-,-,-,38.71%,19.60%,8.75%,21.42%,3.97%,19.93%,21.93%
