Period Ending,"Sep '25Sep 26, 2025","Jun '25Jun 27, 2025","Jun '24Jun 28, 2024","Jun '23Jun 30, 2023","Jul '22Jul 1, 2022","Jul '21Jul 2, 2021","Jul '20Jul 3, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,304.72,309.1,180.52,71.56,65.65,113.84,226.84,257.93,66.52,41.64,81.69
Short-Term Investments,-,-,-,-,-,-,2.01,-,-,-,-
Cash & Short-Term Investments,304.72,309.1,180.52,71.56,65.65,113.84,228.85,257.93,66.52,41.64,81.69
Cash Growth,92.71%,71.23%,152.25%,9.00%,-42.33%,-50.26%,-11.28%,287.75%,59.76%,-49.03%,5.29%
Receivables,367.48,388.06,415.47,507.29,447.85,291.73,210.73,176.22,143.81,113.67,95.89
Inventory,340.25,332.92,335.3,337.22,270.34,221.64,178.09,137.11,108.59,81.07,58.28
Prepaid Expenses,70.79,27.64,22.49,20.95,23.91,15.11,14.61,10.82,9.06,8.38,6.12
Other Current Assets,1.39,0.46,-,-,7.5,0.78,2.5,0.09,3.76,1.43,3.4
Total Current Assets,"1,085","1,058",953.78,937.02,815.25,643.1,634.77,582.17,331.74,246.2,245.39
"Property, Plant & Equipment",156.5,153.7,171.21,182.57,193.56,194.9,148.35,60,50.98,51.64,28.34
Long-Term Investments,-,-,-,3.52,-,-,-,-,-,-,-
Goodwill,938.09,938.09,938.09,938.09,937.88,804.91,614.08,562.15,497.44,380.85,344.03
Other Intangible Assets,200.41,210.61,250.51,298.05,351.54,307.56,208.75,206.12,177.9,129.04,116.67
Long-Term Deferred Tax Assets,72.86,69.02,58.61,27.1,-,-,-,-,-,-,-
Other Long-Term Assets,5.11,5.16,6.69,5.01,6.19,4.68,4.78,6.53,6.41,8.02,2.07
Total Assets,"2,458","2,435","2,379","2,391","2,304","1,955","1,611","1,417","1,064",815.75,736.5
Accounts Payable,97.81,79.12,81.07,103.99,98.67,47.95,41.88,39.03,21.32,27.49,26.72
Accrued Expenses,94.56,74,53.23,45.6,61.94,50.39,53.68,45.84,34.62,35.94,20.18
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,10
Current Portion of Leases,-,11.81,11.61,10.43,11.25,10.02,6.95,-,-,-,-
Current Income Taxes Payable,-,-,0.11,13.87,-,-,-,-,-,-,-
Current Unearned Revenue,125.5,126.8,73.92,56.56,15.49,38.18,18.97,11.29,12.6,6.36,8.29
Other Current Liabilities,4.31,8.65,14.48,2.81,6.58,4.29,4.43,1.87,3.14,3.06,2.45
Total Current Liabilities,322.18,300.38,234.42,233.26,193.93,150.82,125.92,98.03,71.68,72.85,67.64
Long-Term Debt,596.28,596.89,593.94,511.5,451.5,200,-,-,195,-,182.28
Long-Term Leases,53.63,52.74,62.58,66.8,69.89,71.51,66.98,-,-,-,-
Long-Term Unearned Revenue,0.37,0.81,0.45,0.58,-,-,0.92,1.07,0.83,-,-
Pension & Post-Retirement Benefits,5.34,5.28,5.01,4.15,4.66,9.81,11.88,9.19,6.1,6.6,-
Long-Term Deferred Tax Liabilities,-,-,-,-,32.4,28.81,13.89,17.81,13.64,4.86,11.84
Other Long-Term Liabilities,4.78,5.21,9.74,8.39,14.86,10.04,6.36,6.14,5.35,6.03,1.69
Total Liabilities,982.58,961.3,906.13,824.68,767.23,470.99,225.94,132.24,292.59,90.33,263.45
Common Stock,0.59,0.59,0.58,0.57,0.56,0.55,0.55,0.54,0.47,0.46,0.39
Additional Paid-In Capital,"1,301","1,287","1,242","1,197","1,145","1,109","1,075","1,059",590.16,584.8,357.5
Retained Earnings,169.38,181.9,219.8,357.44,385.77,374.5,312.46,226.74,179.97,139.09,114.21
Comprehensive Income & Other,3.64,3.5,9.99,11.83,5.53,-0.34,-2.89,-1.29,1.29,1.07,0.95
Shareholders' Equity,"1,475","1,473","1,473","1,567","1,537","1,484","1,385","1,285",771.89,725.42,473.04
Total Liabilities & Equity,"2,458","2,435","2,379","2,391","2,304","1,955","1,611","1,417","1,064",815.75,736.5
Total Debt,649.91,661.44,668.13,588.73,532.63,281.53,73.93,-,195,-,192.28
Net Cash (Debt),-345.19,-352.34,-487.61,-517.17,-466.98,-167.69,154.91,257.93,-128.48,41.64,-110.58
Net Cash Growth,-,-,-,-,-,-,-39.94%,-,-,-,-
Net Cash Per Share,-5.85,-6.00,-8.45,-9.14,-8.35,-3.02,2.81,5.32,-2.71,0.97,-3.15
Filing Date Shares Outstanding,60.1,59.92,59.41,58.19,57.68,56.23,55.64,55.43,48.22,48.11,40.36
Total Common Shares Outstanding,59.43,59,58.09,56.96,55.68,55.24,54.7,54.25,46.92,46.3,38.68
Working Capital,762.44,757.8,719.37,703.75,621.33,492.28,508.85,484.14,260.06,173.35,177.75
Book Value Per Share,24.82,24.97,25.35,27.50,27.61,26.87,25.31,23.68,16.45,15.67,12.23
Tangible Book Value,336.51,324.76,284.17,330.54,247.77,371.68,561.96,516.47,96.55,215.53,12.34
Tangible Book Value Per Share,5.66,5.50,4.89,5.80,4.45,6.73,10.27,9.52,2.06,4.65,0.32
Machinery,352.59,340.93,311.05,282.53,250.96,222.53,182.67,147.32,124.15,111.38,100.03
Leasehold Improvements,72.58,74.28,72.42,70.31,66.12,63.32,36.87,25.65,21.55,19.09,8.52
Order Backlog,-,"1,400","1,300",-,-,-,-,-,-,-,-
