Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 27, 2025","Jun '24Jun 28, 2024","Jun '23Jun 30, 2023","Jul '22Jul 1, 2022","Jul '21Jul 2, 2021","Jul '20Jul 3, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"4,079","3,192","1,602","2,013","3,691","3,707","4,463","3,894","1,834","2,020",995
Market Cap Growth,112.25%,99.25%,-20.42%,-45.47%,-0.42%,-16.95%,14.62%,112.30%,-9.20%,102.99%,98.76%
Enterprise Value,"4,402","3,574","2,160","2,531","4,123","3,828","4,330","4,061","1,985","1,936",911
Last Close Price,68.35,53.41,26.99,34.59,64.00,66.00,80.27,70.35,38.06,42.09,24.86
PE Ratio,-,-,-,-,327.37,59.74,52.07,83.25,44.86,81.21,50.41
Forward PE,68.81,69.87,214.55,19.33,22.92,26.49,35.10,36.63,23.49,35.22,26.62
PS Ratio,4.32,3.50,1.92,2.07,3.74,4.01,5.60,5.95,3.72,4.94,3.68
PB Ratio,2.75,2.17,1.09,1.29,2.40,2.50,3.22,3.03,2.38,2.79,2.10
P/TBV Ratio,12.06,9.83,5.64,6.09,14.90,9.97,7.94,7.54,19.00,9.37,80.61
P/FCF Ratio,29.92,26.81,61.39,-,-,71.77,62.08,54.98,65.01,76.80,34.25
P/OCF Ratio,26.06,22.99,26.53,-,-,38.12,38.75,39.93,42.34,34.15,26.94
PEG Ratio,-,5.30,16.27,11.29,8.04,3.45,2.01,2.59,1.43,2.65,2.66
EV/Sales Ratio,4.72,3.92,2.59,2.60,4.17,4.14,5.44,6.20,4.03,4.74,3.37
EV/EBITDA Ratio,55.69,49.91,-,27.79,25.16,23.44,29.89,32.30,20.47,25.07,19.56
EV/EBIT Ratio,-,-,-,-,58.51,39.79,45.31,51.20,36.30,43.05,29.55
EV/FCF Ratio,32.47,30.02,82.77,-,-,74.11,60.23,57.33,70.35,73.60,31.35
Debt / Equity Ratio,0.44,0.45,0.45,0.38,0.35,0.19,0.05,-,0.25,-,0.41
Debt / EBITDA Ratio,6.93,7.67,-,5.62,2.99,1.61,0.48,-,2.01,-,4.13
Debt / FCF Ratio,4.79,5.56,25.61,-,-,5.45,1.03,-,6.91,-,6.62
Asset Turnover,0.39,0.38,0.35,0.42,0.46,0.52,0.53,0.53,0.53,0.53,0.48
Inventory Turnover,1.93,1.97,1.90,2.16,2.41,2.70,2.79,3.00,2.80,3.06,3.13
Quick Ratio,2.09,2.32,2.54,2.48,2.65,2.69,3.49,4.43,2.93,2.13,2.63
Current Ratio,3.37,3.52,4.07,4.02,4.20,4.26,5.04,5.94,4.63,3.38,3.63
Return on Equity (ROE),-2.24%,-2.57%,-9.06%,-1.83%,0.75%,4.32%,6.42%,4.55%,5.46%,4.15%,4.80%
Return on Assets (ROA),-0.02%,-0.27%,-3.14%,-0.17%,2.07%,3.37%,3.94%,4.00%,3.64%,3.62%,3.43%
Return on Capital (ROIC),-0.02%,-0.30%,-3.49%,-0.18%,2.30%,3.73%,4.35%,4.40%,4.04%,4.04%,3.79%
Return on Capital Employed (ROCE),0.00%,-0.50%,-5.60%,-0.30%,3.30%,5.30%,6.40%,6.00%,5.50%,6.10%,4.60%
Earnings Yield,-0.81%,-1.19%,-8.59%,-1.41%,0.30%,1.67%,1.92%,1.20%,2.23%,1.23%,1.98%
FCF Yield,3.34%,3.73%,1.63%,-2.98%,-1.26%,1.39%,1.61%,1.82%,1.54%,1.30%,2.92%
Buyback Yield / Dilution,-1.64%,-1.75%,-2.09%,-1.17%,-0.77%,-0.65%,-13.64%,-2.17%,-10.35%,-22.57%,-6.55%
