Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,332.17,290.48,178.32,201.26,206.58,395.64,221.84,358.26,282.22,248.14,265.28
Short-Term Investments,290.66,319.95,286.74,181.38,239.42,174.7,211.45,279.23,165.13,111.07,61.06
Cash & Short-Term Investments,622.84,610.43,465.07,382.64,446,570.33,433.29,637.49,447.35,359.21,326.34
Cash Growth,10.93%,31.26%,21.54%,-14.21%,-21.80%,31.63%,-32.03%,42.51%,24.54%,10.07%,26.09%
Receivables,86.92,74.01,67.01,70.34,63.76,89.95,88.29,80.46,76.96,54.51,75.72
Inventory,696.2,621.15,550.24,587.51,569.7,389.62,409.53,370.51,351.4,338.59,330.22
Prepaid Expenses,213.36,184.95,198.8,195.49,204.99,173.02,120.9,111.83,100.56,127.01,98.35
Other Current Assets,-,2.25,1.38,1.74,1.31,0.41,1.38,2.47,2.49,2.09,3.72
Total Current Assets,"1,619","1,493","1,283","1,238","1,286","1,223","1,053","1,203",978.76,881.4,834.36
"Property, Plant & Equipment","2,389","2,274","2,207","2,147","2,145","2,082","2,061",796.03,813.77,867.79,863.14
Long-Term Investments,386.16,441.09,365.3,90.87,211.74,112.87,88.67,50.54,52.45,39.62,32.24
Long-Term Deferred Tax Assets,-,-,-,70.94,69.93,66.48,51.1,52.88,46.2,52.66,54.25
Other Long-Term Assets,316.67,311.85,256.47,136.22,78.59,61.48,61.91,58.31,61.6,61.18,49.32
Total Assets,"4,711","4,519","4,111","3,683","3,791","3,546","3,316","2,161","1,953","1,903","1,833"
Accounts Payable,335.99,295.77,253.34,257.62,304.25,237.39,167.87,144.41,128.25,119.54,118.04
Accrued Expenses,418.41,204.26,186.12,142.53,154.34,100.64,78.5,84.86,71.74,100.41,69.03
Current Portion of Leases,227.11,227.15,226.65,232.67,236.32,254.7,221.59,-,-,-,-
Current Income Taxes Payable,-,18.36,9.82,6.88,3.87,3.31,8.13,11.19,16.4,4.97,-
Current Unearned Revenue,98.71,75.4,69.19,65.7,58.15,48.17,44.91,42.48,56.21,55.14,51.55
Other Current Liabilities,15.94,254.74,249.09,184.97,224.56,261.92,117.77,103.7,87.62,72.87,90.62
Total Current Liabilities,"1,096","1,076",994.21,890.37,981.47,906.13,638.77,386.64,360.21,352.93,329.23
Long-Term Debt,-,-,-,-,-,-,-,-,-,-,150
Long-Term Leases,953.03,871.21,851.85,884.7,951.08,"1,074","1,137",-,-,-,-
Other Long-Term Liabilities,81.23,101.09,152.61,115.16,113.05,88.85,84.01,284.77,291.66,236.63,216.84
Total Liabilities,"2,130","2,048","1,999","1,890","2,046","2,069","1,860",671.42,651.88,589.55,696.07
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Additional Paid-In Capital,7.28,15.07,37.94,15.25,-,19.36,9.48,-,0.68,-,-
Retained Earnings,"2,605","2,503","2,114","1,826","1,771","1,475","1,474","1,516","1,311","1,347","1,161"
Comprehensive Income & Other,-31.64,-46.64,-39.15,-48.64,-24.83,-17.12,-28,-27.1,-10.65,-34.07,-23.45
Shareholders' Equity,"2,580","2,472","2,113","1,793","1,746","1,477","1,455","1,489","1,301","1,313","1,137"
Total Liabilities & Equity,"4,711","4,519","4,111","3,683","3,791","3,546","3,316","2,161","1,953","1,903","1,833"
Total Debt,"1,180","1,098","1,078","1,117","1,187","1,329","1,359",-,-,-,150
Net Cash (Debt),-211.34,-95.62,-314.35,-643.86,-529.66,-645.51,-837.13,688.03,499.8,398.82,208.57
Net Cash Growth,-,-,-,-,-,-,-,37.66%,25.32%,91.21%,-41.98%
Net Cash Per Share,-2.27,-1.01,-3.33,-6.84,-5.34,-6.55,-8.32,6.27,4.45,3.40,1.66
Filing Date Shares Outstanding,89.7,92.66,93.29,92.59,95.66,98.22,97.78,103.56,108.53,116.29,117.4
Total Common Shares Outstanding,89.7,92.28,92.79,92.18,96.43,97.82,97.98,105.64,108.25,116.23,117.32
Working Capital,523.16,417.12,288.3,347.35,304.27,317.2,414.63,816.11,618.54,528.47,505.13
Book Value Per Share,28.77,26.78,22.77,19.45,18.10,15.10,14.85,14.10,12.02,11.30,9.69
Tangible Book Value,"2,580","2,472","2,113","1,793","1,746","1,477","1,455","1,489","1,301","1,313","1,137"
Tangible Book Value Per Share,28.77,26.78,22.77,19.45,18.10,15.10,14.85,14.10,12.02,11.30,9.69
Land,-,55.3,55.54,55.23,56.17,56.4,38.28,27.08,21.31,21.31,15.2
Buildings,-,651.1,633.85,467.7,469.19,413,411.08,347.47,305.88,300.13,294.67
Machinery,-,"1,164","1,105",880.24,876.31,785.21,790.34,761.46,740.03,717.85,674.65
Construction In Progress,-,78.35,96.16,358.79,269.6,195.66,77.5,22.16,34.91,43.35,44.76
Leasehold Improvements,-,946.87,874.64,846.15,856.41,860.96,923.71,922.88,921.63,896.28,860.58
