Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '17Dec 31, 2017"
Revenue,-,-,-,-,-,7.87,22.5,8.36
Revenue Growth (YoY),-,-,-,-,-,-65.02%,169.13%,-
Cost of Revenue,-,-,-,-,-,25.74,43.71,-
Gross Profit,-,-,-,-,-,-17.87,-21.21,-
"Selling, General & Admin",51.34,43.28,34.38,26.21,19.64,17.42,10.97,-
Research & Development,256.27,232.66,173.76,121.63,55.91,-,-,-
Operating Expenses,307.6,275.94,208.13,147.84,75.55,17.42,10.97,-
Operating Income,-307.6,-275.94,-208.13,-147.84,-75.55,-35.29,-32.18,-
Interest & Investment Income,13.07,18.09,13.08,3.99,0.47,0.14,0.27,-
Other Non Operating Income (Expenses),6.04,1.99,2.64,3.61,2.81,-0.25,-,-
EBT Excluding Unusual Items,-290.26,-255.86,-192.41,-140.24,-72.27,-35.39,-31.91,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,7.49,0.08,-
Pretax Income,-294.37,-255.86,-192.41,-140.24,-72.27,-74.81,-31.83,-
Earnings From Continuing Operations,-,-255.86,-192.41,-140.24,-72.27,-74.81,-31.83,-
Net Income,-294.37,-255.86,-192.41,-140.24,-72.27,-74.81,-31.83,-25.49
Preferred Dividends & Other Adjustments,-,-,-,-,-,104.4,-,-
Net Income to Common,-294.37,-255.86,-192.41,-140.24,-72.27,-179.21,-31.83,-
Shares Outstanding (Basic),119,104,80,59,39,11,8,-
Shares Outstanding (Diluted),119,104,80,59,39,11,8,-
Shares Change (YoY),21.79%,30.36%,35.54%,51.89%,249.52%,45.42%,-,-
EPS (Basic),-2.47,-2.46,-2.41,-2.38,-1.87,-16.17,-4.18,-
EPS (Diluted),-2.47,-2.46,-2.41,-2.38,-1.87,-16.17,-4.18,-
Free Cash Flow,-246.73,-208.36,-156.42,-125.5,-60.48,-35.85,-41.55,-
Free Cash Flow Per Share,-2.07,-2.00,-1.96,-2.13,-1.56,-3.23,-5.45,-
Gross Margin,-,-,-,-,-,-227.00%,-94.27%,-
Operating Margin,-,-,-,-,-,-448.34%,-143.02%,-
Profit Margin,-,-,-,-,-,-2276.81%,-141.49%,-
Free Cash Flow Margin,-,-,-,-,-,-455.47%,-184.66%,-
EBITDA,-305.04,-273.49,-205.86,-147,-75.4,-34.57,-30.89,-
EBITDA Margin,-,-,-,-,-,-,-137.27%,-
D&A For EBITDA,2.56,2.45,2.27,0.84,0.15,0.72,1.29,-
EBIT,-307.6,-275.94,-208.13,-147.84,-75.55,-35.29,-32.18,-
EBIT Margin,-,-,-,-,-,-,-143.02%,-
