Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '17Dec 31, 2017"
Market Capitalization,"5,081",862,506,808,342,350,-,-
Market Cap Growth,304.03%,70.14%,-37.32%,136.30%,-2.42%,-,-,-
Enterprise Value,"4,866",644,273,605,228,365,-,-
Last Close Price,33.75,7.80,5.88,11.56,8.58,11.23,-,-
PS Ratio,-,-,-,-,-,44.52,-,-
PB Ratio,24.27,3.36,1.96,3.16,1.60,1.49,-,-
P/TBV Ratio,26.71,5.91,2.56,4.26,2.66,2.83,-,-
EV/Sales Ratio,-,-,-,-,-,46.36,-,-
Debt / Equity Ratio,0.20,0.07,0.07,0.08,0.02,0.02,0.19,-
Asset Turnover,-,-,-,-,-,0.05,-,-
Quick Ratio,6.28,5.15,6.96,9.66,12.86,18.50,2.98,2.60
Current Ratio,6.38,5.32,7.09,9.87,13.04,18.70,3.06,3.79
Return on Equity (ROE),-95.40%,-99.54%,-74.94%,-59.69%,-32.20%,-56.16%,-,-
Return on Assets (ROA),-47.47%,-53.78%,-42.35%,-34.68%,-19.55%,-14.69%,-,-
Return on Capital (ROIC),-55.28%,-62.67%,-47.13%,-37.51%,-20.66%,-15.89%,-,-
Return on Capital Employed (ROCE),-84.60%,-101.40%,-75.60%,-54.00%,-35.10%,-14.80%,-89.00%,-
Earnings Yield,-5.66%,-29.70%,-38.00%,-17.36%,-21.14%,-21.35%,-,-
FCF Yield,-4.75%,-24.18%,-30.89%,-15.53%,-17.69%,-10.23%,-,-
Buyback Yield / Dilution,-21.79%,-30.36%,-35.54%,-51.89%,-249.52%,-45.42%,-,-
