Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Investments in Debt Securities,"81,537","79,689","80,991","75,577","87,582","82,495","71,036","62,608","64,991","61,388","63,656"
Investments in Equity & Preferred Securities,"4,894","5,270","5,048","4,864","4,372","2,948","2,527","2,431","2,263","2,157","2,307"
Policy Loans,"1,439","2,024","1,331","1,282","1,264","1,291","1,292","1,421","1,523","1,517","1,692"
Other Investments,"1,599","2,653","1,520","1,382","1,853","3,254","1,968",25,325,"1,298","1,833"
Total Investments,"112,859","113,209","111,643","106,345","116,015","107,890","94,354","80,896","80,956","77,890","80,094"
Cash & Equivalents,"6,606","5,045","3,851","4,115","4,474","4,108","2,877","4,145","1,857","5,228","1,570"
Other Receivables,"22,824","1,404","1,309","1,026","16,546","16,468","15,197","14,168","14,614","16,372","20,222"
Deferred Policy Acquisition Cost,"4,603","4,335","4,456","5,084","4,847","4,407","4,946","5,149","5,678","5,652","6,390"
Separate Account Assets,"87,127","85,636","88,271","84,965","114,464","111,969","107,107","98,256","118,257","113,043","114,447"
"Property, Plant & Equipment",-,-,-,-,-,-,-,-,-,-,59
Other Current Assets,"7,779","3,848","3,469","1,943","2,218","1,771","1,460","2,289","1,371","2,510","3,092"
Long-Term Deferred Tax Assets,"1,531","1,875","1,893","1,736",-,-,-,-,-,-,-
Other Long-Term Assets,"1,350","23,185","21,448","19,633","1,276","1,256","1,318","1,391","1,459","1,235",851
Total Assets,"244,679","238,537","236,340","224,847","259,840","247,869","227,259","206,294","224,192","221,930","226,725"
Insurance & Annuity Liabilities,"119,211","120,131","119,610","115,579","105,619","95,210","84,320","77,037","75,497","70,932","71,881"
Current Portion of Long-Term Debt,"1,971","2,738","2,209","2,802",132,200,330,619,837,"2,300",668
Short-Term Debt,"4,347","3,891","3,670","4,560","6,269","5,252","4,391","5,057","4,169","7,390","10,637"
Current Income Taxes Payable,-,-,-,-,62,126,-,15,-,-,-
Long-Term Debt,"3,155","3,152","3,156","3,156","3,155","3,436","4,365","3,963","3,612","4,707","4,733"
Long-Term Deferred Tax Liabilities,-,-,-,-,"1,062","1,620","1,355",972,927,"2,056","3,802"
Separate Account Liability,"87,127","85,636","88,271","84,965","114,464","111,969","107,107","98,256","118,257","113,043","114,447"
Other Current Liabilities,"17,350","14,053","11,065","5,048","10,010","8,981","6,455","3,719","4,179","4,594","1,114"
Other Long-Term Liabilities,"3,900","3,837","3,268","3,057","2,755","2,876","2,593","2,074","2,023","1,943","2,507"
Total Liabilities,"238,251","233,513","231,332","219,249","243,633","229,781","211,022","191,811","209,612","207,068","209,886"
Common Stock,1,1,1,1,1,1,1,1,1,"13,597","15,316"
Additional Paid-In Capital,"13,893","13,927","14,004","14,075","14,154","13,878","12,908","12,473","12,432",-,-
Retained Earnings,-823,"-1,119","-1,507",-395,-642,-534,585,"1,346",406,-,-
Treasury Stock,"-2,688","-2,572","-2,309","-2,042","-1,543","-1,038",-562,-118,-,-,-
Comprehensive Income & Other,"-4,020","-5,278","-5,246","-6,106","4,172","5,716","3,240",716,"1,676","1,265","1,523"
Total Common Equity,"6,363","4,959","4,943","5,533","16,142","18,023","16,172","14,418","14,515","14,862","16,839"
Minority Interest,65,65,65,65,65,65,65,65,65,-,-
Shareholders' Equity,"6,428","5,024","5,008","5,598","16,207","18,088","16,237","14,483","14,580","14,862","16,839"
Total Liabilities & Equity,"244,679","238,537","236,340","224,847","259,840","247,869","227,259","206,294","224,192","221,930","226,725"
Filing Date Shares Outstanding,57.17,58.06,62.88,67.7,76.63,87.38,105.1,116.67,119.77,0.1,119.77
Total Common Shares Outstanding,57.15,58.63,63.5,68.28,77.87,88.21,106.03,117.53,119.77,0.1,119.77
Total Debt,"9,473","9,781","9,035","10,518","9,556","8,888","9,086","9,639","8,618","14,397","16,038"
Net Cash (Debt),"-2,867","-4,736","-5,184","-6,403","-5,082","-4,780","-6,209","-5,494","-6,761","-9,169","-14,468"
Net Cash Per Share,-48.85,-76.88,-78.53,-87.02,-60.17,-50.13,-55.19,-45.85,-56.45,-76.55,-120.80
Book Value Per Share,111.33,84.58,77.84,81.04,207.29,204.32,152.53,122.67,121.19,148620.00,-
Tangible Book Value,"6,363","4,959","4,943","5,533","16,142","18,023","16,172","14,418","14,515","14,862","16,839"
Tangible Book Value Per Share,111.33,84.58,77.84,81.04,207.29,204.32,152.53,122.67,121.19,148620.00,-
