Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Premiums & Annuity Revenue,"2,896","2,886","3,123","3,097","3,687","4,229","4,462","4,735","4,761","5,004","5,689"
Total Interest & Dividend Income,"4,815","4,811","4,441","3,818","3,451","3,358","3,357","3,077","2,838","3,009","2,964"
Gain (Loss) on Sale of Investments,-147,-295,-246,-248,-59,278,112,-207,-28,-78,7
Other Revenue,266,"-1,107","-2,844","4,072","-2,144",633,"-1,411","1,259",-732,"-4,953",229
Total Revenue,"7,830","6,295","4,474","10,739","4,935","8,498","6,520","8,864","6,839","2,982","8,889"
Revenue Growth (YoY),48.75%,40.70%,-58.34%,117.61%,-41.93%,30.34%,-26.44%,29.61%,129.34%,-66.45%,-5.90%
Policy Benefits,"3,998","4,430","4,501","3,531","4,015","6,803","4,733","4,351","4,747","5,068","4,528"
Policy Acquisition & Underwriting Costs,598,599,620,629,637,766,382,"1,050",227,371,781
"Selling, General & Administrative",-,-,-,-,-,-,-,-,-,-,56
Other Operating Expenses,353,-902,288,"-2,194","-1,871","2,148","2,279","2,377","2,330","1,948","1,894"
Total Operating Expenses,"4,972","4,150","5,438","1,988","2,804","9,738","7,415","7,818","7,304","7,387","7,259"
Operating Income,"2,858","2,145",-964,"8,751","2,131","-1,240",-895,"1,046",-465,"-4,405","1,630"
Interest Expense,"-1,836","-1,837",-533,"-4,145",-158,-179,-157,-57,-150,-139,-168
Currency Exchange Gain (Loss),136,114,23,126,36,-,-,-,-,-,-
EBT Excluding Unusual Items,"1,158",422,"-1,474","4,732","2,009","-1,419","-1,052",989,-615,"-4,544","1,462"
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-161,-
Pretax Income,"1,158",422,"-1,474","4,732","2,009","-1,419","-1,052",989,-615,"-4,705","1,462"
Income Tax Expense,186,29,-367,848,361,-363,-317,119,-237,"-1,766",343
Earnings From Continuing Ops.,972,393,"-1,107","3,884","1,648","-1,056",-735,870,-378,"-2,939","1,119"
Minority Interest in Earnings,-5,-5,-5,-5,-5,-5,-5,-5,-,-,-
Net Income,967,388,"-1,112","3,879","1,643","-1,061",-740,865,-378,"-2,939","1,119"
Preferred Dividends & Other Adjustments,102,102,102,104,89,44,21,-,-,-,-
Net Income to Common,865,286,"-1,214","3,775","1,554","-1,105",-761,865,-378,"-2,939","1,119"
Net Income Growth,-,-,-,136.09%,-,-,-,-,-,-,-3.45%
Shares Outstanding (Basic),58,61,66,73,84,95,113,119,120,120,120
Shares Outstanding (Diluted),59,62,66,74,84,95,113,120,120,120,120
Shares Change (YoY),-5.97%,-6.69%,-10.29%,-12.89%,-11.42%,-15.25%,-6.11%,0.04%,-,-,-
EPS (Basic),14.91,4.67,-18.39,51.73,18.55,-11.59,-6.76,7.25,-3.16,-24.54,9.34
EPS (Diluted),14.74,4.64,-18.39,51.30,18.39,-11.59,-6.76,7.21,-3.16,-24.54,9.34
EPS Growth,-,-,-,178.96%,-,-,-,-,-,-,-
Operating Margin,36.50%,34.08%,-21.55%,81.49%,43.18%,-14.59%,-13.73%,11.80%,-6.80%,-147.72%,18.34%
Profit Margin,11.05%,4.54%,-27.13%,35.15%,31.49%,-13.00%,-11.67%,9.76%,-5.53%,-98.56%,12.59%
EBITDA,-,-,-,-,-,-,-877,"1,064",-448,"-4,388","1,656"
EBITDA Margin,-,-,-,-,-,-,-13.45%,12.00%,-6.55%,-147.15%,18.63%
D&A For EBITDA,-,-,-,-,-,-,18,18,17,17,26
EBIT,"2,858","2,145",-964,"8,751","2,131","-1,240",-895,"1,046",-465,"-4,405","1,630"
EBIT Margin,36.50%,34.08%,-21.55%,81.49%,43.18%,-14.59%,-13.73%,11.80%,-6.80%,-147.72%,18.34%
Effective Tax Rate,16.06%,6.87%,-,17.92%,17.97%,-,-,12.03%,-,-,23.46%
Revenue as Reported,"6,282","4,724","4,117","6,873","4,976","8,503","6,554","8,965","6,842","3,018","8,891"
