Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,761","2,851","3,398","3,544","4,135","3,241","4,235","3,615","7,023",-,-
Market Cap Growth,27.13%,-16.08%,-4.13%,-14.28%,27.59%,-23.48%,17.14%,-48.53%,-,-,-
Enterprise Value,"6,627","5,791","10,200","11,321","9,409","8,311","10,089","10,590","14,388",-,-
PE Ratio,4.46,9.97,-,0.94,2.66,-,-,4.18,-,-,-
PS Ratio,0.49,0.45,0.76,0.33,0.84,0.38,0.65,0.41,1.03,-,-
PB Ratio,0.59,0.57,0.68,0.63,0.26,0.18,0.26,0.25,0.48,-,-
P/OCF Ratio,26.11,-,-,-,6.45,3.65,2.32,1.18,2.07,-,-
EV/Sales Ratio,0.85,0.92,2.28,1.05,1.91,0.98,1.55,1.20,2.10,-,-
EV/EBITDA Ratio,-,-,-,-,-,-,-,9.95,-,-,-
EV/EBIT Ratio,2.32,2.70,-,1.29,4.42,-,-,10.12,-,-,-
Debt / Equity Ratio,1.47,1.95,1.80,1.88,0.59,0.49,0.56,0.67,0.59,0.97,0.95
Debt / EBITDA Ratio,-,-,-,-,-,-,-,9.06,-,-,9.68
Quick Ratio,1.18,0.35,0.32,0.45,1.41,1.73,1.89,1.94,1.88,1.62,1.95
Current Ratio,1.55,0.60,0.59,0.68,1.59,1.90,2.08,2.26,2.09,1.85,2.25
Asset Turnover,0.03,0.03,0.02,0.04,0.02,0.04,0.03,0.04,0.03,0.01,0.04
Return on Equity (ROE),16.18%,7.83%,-20.88%,35.63%,9.61%,-6.15%,-4.78%,5.99%,-2.57%,-18.54%,6.51%
Return on Assets (ROA),0.73%,0.56%,-0.26%,2.26%,0.53%,-0.33%,-0.26%,0.30%,-0.13%,-1.23%,0.45%
Return on Capital (ROIC),11.91%,9.29%,-4.00%,26.12%,5.05%,-2.96%,-2.26%,2.76%,-1.11%,-8.86%,3.21%
Earnings Yield,23.01%,13.61%,-32.73%,109.44%,39.74%,-32.74%,-17.47%,23.93%,-5.38%,-,-
Payout Ratio,-,26.29%,-,2.68%,5.42%,-,-,-,-,-,-
Buyback Yield / Dilution,5.97%,6.69%,10.29%,12.89%,11.42%,15.25%,6.11%,-0.04%,-,-,-
