Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023"
Revenue,866.37,771.88,614.34,467.73
Revenue Growth (YoY),26.45%,25.64%,31.34%,-
Cost of Revenue,282.22,270.1,233.73,201.71
Gross Profit,584.15,501.78,380.61,266.02
"Selling, General & Admin",569.43,464.28,352.78,329.01
Research & Development,285.43,261.06,201.03,158.87
Other Operating Expenses,-20.36,1.71,2.58,-
Operating Expenses,834.5,727.05,556.39,487.88
Operating Income,-250.35,-225.27,-175.77,-221.86
Interest Expense,-11.26,-15.52,-16.44,-54.54
Interest & Investment Income,15.14,8.77,7.07,1.62
Other Non Operating Income (Expenses),0.4,-0.07,1.22,1.8
EBT Excluding Unusual Items,-246.07,-232.1,-183.92,-272.97
Merger & Restructuring Charges,-,-2.5,-8.18,-
Other Unusual Items,-0.01,-2.18,1.09,-9.61
Pretax Income,-223.94,-236.78,-191.01,-282.58
Income Tax Expense,2.05,2.32,4.14,-13.06
Net Income,-225.99,-239.09,-195.15,-269.52
Preferred Dividends & Other Adjustments,93.68,120.63,45.87,13.48
Net Income to Common,-319.67,-359.73,-241.02,-283
Shares Outstanding (Basic),70,42,33,30
Shares Outstanding (Diluted),70,42,33,30
Shares Change (YoY),106.37%,26.70%,9.39%,-
EPS (Basic),-4.54,-8.53,-7.24,-9.31
EPS (Diluted),-4.54,-8.53,-7.24,-9.31
Free Cash Flow,52.33,33.25,-68.57,-197.24
Free Cash Flow Per Share,0.74,0.79,-2.06,-6.49
Gross Margin,67.42%,65.01%,61.96%,56.88%
Operating Margin,-28.90%,-29.18%,-28.61%,-47.43%
Profit Margin,-36.90%,-46.60%,-39.23%,-60.50%
Free Cash Flow Margin,6.04%,4.31%,-11.16%,-42.17%
EBITDA,-189.25,-161.25,-106.59,-171.2
EBITDA Margin,-21.84%,-20.89%,-17.35%,-36.60%
D&A For EBITDA,61.1,64.02,69.19,50.65
EBIT,-250.35,-225.27,-175.77,-221.86
EBIT Margin,-28.90%,-29.18%,-28.61%,-47.43%
Revenue as Reported,866.37,771.88,614.34,467.73
Advertising Expenses,-,30.5,27.1,25.1
