Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,787","2,177","1,893","1,370","3,669","1,315","2,421","1,416","2,455",-,-
Market Cap Growth,48.67%,15.04%,38.20%,-62.67%,179.02%,-45.68%,71.00%,-42.35%,-,-,-
Enterprise Value,"6,251","4,717","3,999","3,730","5,921","3,820","4,137","3,886","2,921",-,-
Last Close Price,15.74,12.73,10.78,7.71,17.91,6.96,12.64,7.23,14.01,-,-
PE Ratio,26.72,35.56,44.46,16.45,4.93,18.71,23.19,13.93,16.99,-,-
Forward PE,8.95,9.71,10.64,5.92,11.04,6.51,7.83,5.02,-,-,-
PS Ratio,0.88,0.80,0.77,0.51,1.26,0.69,1.09,0.69,1.54,-,-
PB Ratio,2.06,1.42,1.19,0.89,2.18,1.40,2.52,1.31,10.09,-,-
P/FCF Ratio,-,-,-,1.21,-,-,2.54,-,2.94,-,-
P/OCF Ratio,-,-,-,1.15,-,-,2.45,-,2.88,-,-
PEG Ratio,-,1.08,1.08,1.08,1.08,0.65,0.78,0.50,-,-,-
EV/Sales Ratio,1.98,1.72,1.62,1.38,2.04,2.01,1.87,1.90,1.83,-,-
EV/EBITDA Ratio,18.58,14.49,13.92,8.16,40.25,12.57,14.10,12.83,13.32,-,-
EV/EBIT Ratio,35.70,29.04,30.43,12.00,221.81,22.48,24.44,18.85,22.43,-,-
EV/FCF Ratio,-,-,-,3.29,-,-,4.34,-,3.50,-,-
Debt / Equity Ratio,1.63,1.32,1.10,0.91,1.43,2.15,1.13,1.40,6.17,0.26,0.45
Debt / EBITDA Ratio,5.21,4.10,3.92,2.34,9.55,5.72,3.19,4.99,6.84,1.17,5.97
Debt / FCF Ratio,-,-,-,1.24,-,-,1.15,-,1.80,-,0.96
Asset Turnover,0.60,0.60,0.59,0.59,0.63,0.53,0.67,0.72,0.66,0.64,-
Quick Ratio,0.35,0.45,0.54,0.50,0.60,0.36,0.70,0.38,0.50,0.23,0.55
Current Ratio,1.03,1.00,1.01,0.68,1.15,1.07,1.03,1.06,1.05,1.05,1.14
Return on Equity (ROE),8.71%,5.46%,3.98%,6.98%,74.49%,11.48%,15.81%,28.94%,23.65%,18.71%,-
Return on Assets (ROA),2.09%,2.21%,1.95%,4.24%,0.36%,2.96%,3.18%,4.50%,3.39%,4.47%,-
Return on Capital (ROIC),2.67%,2.94%,2.61%,5.52%,0.47%,4.23%,4.55%,5.94%,5.45%,7.80%,-
Return on Capital Employed (ROCE),5.70%,5.50%,4.40%,13.10%,0.90%,7.50%,7.90%,11.50%,8.70%,13.30%,-1.20%
Earnings Yield,2.72%,2.81%,2.25%,6.08%,20.46%,6.09%,4.85%,7.54%,5.88%,-,-
FCF Yield,-1.83%,-1.90%,-16.98%,82.81%,-1.86%,-60.64%,39.34%,-24.96%,33.99%,-,-
Dividend Yield,0.76%,0.94%,1.11%,1.56%,0.22%,0.57%,3.17%,4.98%,-,-,-
Payout Ratio,20.37%,33.68%,49.10%,21.54%,1.02%,28.94%,59.03%,39.15%,70.41%,-,-
Buyback Yield / Dilution,4.84%,-0.74%,28.06%,-25.21%,-8.97%,2.88%,-12.95%,-18.36%,-,-,-
Total Shareholder Return,5.61%,0.20%,29.17%,-23.65%,-8.75%,3.45%,-9.78%,-13.38%,-,-,-
