Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,913","1,302","2,060","1,297","1,135","1,139",435,99,44,29,30
Market Cap Growth,145.79%,-36.79%,58.73%,14.32%,-0.34%,161.56%,339.95%,122.45%,55.55%,-5.39%,-78.53%
Enterprise Value,"3,378","1,808","2,499","1,608","1,291","1,215",456,128,93,67,123
Last Close Price,19.62,9.18,15.11,12.35,11.43,14.52,7.09,2.29,2.66,3.21,3.60
PS Ratio,3.99,2.13,4.27,3.70,4.67,7.86,3.84,1.08,0.44,0.24,0.23
PB Ratio,251.58,138.00,20.25,-117.27,11.02,7.42,6.48,2.40,-14.56,-1.60,-2.33
P/TBV Ratio,-,-,-,-,-,12.48,105.44,-,-,-,-
P/OCF Ratio,83.91,-,-,-,-,-,-,-,-,-,2.99
EV/Sales Ratio,4.64,2.96,5.18,4.58,5.31,8.39,4.02,1.40,0.91,0.56,0.92
EV/EBITDA Ratio,709.55,-,-,-,-,-,-,-,683.21,-,14.59
Debt / Equity Ratio,16.84,64.65,5.33,-35.78,3.45,0.28,0.84,1.11,-13.44,-2.58,-6.18
Debt / EBITDA Ratio,47.92,-,-,-,-,-,-,-,302.01,-,9.49
Asset Turnover,0.95,0.77,0.73,0.64,0.58,0.67,0.76,0.86,1.14,1.00,0.55
Inventory Turnover,1.28,1.20,1.44,1.22,1.24,1.05,1.13,1.01,1.17,1.39,1.10
Quick Ratio,1.16,1.49,1.89,1.04,2.27,2.25,1.74,1.44,1.25,0.95,0.27
Current Ratio,1.99,2.73,2.86,1.84,3.28,3.16,2.98,2.47,2.24,1.81,0.81
Return on Equity (ROE),-540.40%,-291.71%,-411.75%,-329.04%,-111.52%,-71.58%,-104.97%,-151.14%,-,-,-214.62%
Return on Assets (ROA),-6.00%,-9.72%,-13.98%,-13.85%,-16.33%,-13.36%,-16.14%,-11.67%,-5.13%,-5.64%,-1.35%
Return on Capital (ROIC),-7.59%,-12.17%,-18.03%,-17.95%,-20.78%,-18.00%,-23.00%,-20.03%,-13.84%,-14.19%,-2.06%
Return on Capital Employed (ROCE),-13.00%,-19.70%,-22.90%,-31.70%,-23.10%,-22.70%,-29.00%,-20.20%,-13.40%,-20.10%,-25.00%
Earnings Yield,-5.27%,-12.45%,-9.06%,-11.66%,-12.60%,-6.94%,-13.09%,-29.28%,-5.16%,-104.63%,-591.07%
FCF Yield,0.12%,-9.82%,-7.72%,-9.60%,-12.50%,-6.11%,-10.60%,-32.46%,-36.70%,-65.93%,-7.02%
Buyback Yield / Dilution,-5.63%,-17.90%,-17.29%,-7.46%,-43.54%,-28.31%,-47.91%,-165.89%,-54.77%,-3.42%,-1.88%
