Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,418.05,481.71,511.8,529.6,378.66,442.27,228.32,242.1,328.3,157.03,325.93
Short-Term Investments,37.84,"1,140",896.04,"1,042","1,046","1,022",210.77,243.73,63.95,30.29,99.2
Cash & Short-Term Investments,455.89,"1,622","1,408","1,572","1,425","1,464",439.1,485.83,392.25,187.31,425.13
Cash Growth,-70.14%,15.19%,-10.42%,10.30%,-2.67%,233.39%,-9.62%,23.86%,109.41%,-55.94%,67.87%
Accounts Receivable,714.92,643.99,585.15,518.52,395.58,303.1,319.62,287.96,230.73,260.22,177.32
Other Receivables,-,115.79,91.58,89.66,98.5,86.84,53.39,33.24,28.32,24.12,24.42
Receivables,714.92,759.77,676.73,608.18,494.08,389.94,373.01,321.2,259.05,284.34,201.74
Inventory,-,-,-,-,-,-,-,3.43,3.89,4.72,6.2
Prepaid Expenses,210.04,105.91,90.02,95.09,76.71,81.46,56.01,45.67,31.81,24.86,11.16
Other Current Assets,-,17.38,138.29,142.33,302.34,7.04,7.57,5.11,6.06,8.01,10.93
Total Current Assets,"1,383","2,505","2,313","2,417","2,298","1,942",875.69,861.24,693.06,509.23,655.15
"Property, Plant & Equipment",264.98,152.4,163.86,162.07,148.51,164.78,184.17,87.48,83.25,77.8,39.21
Long-Term Investments,-,-,-,-,-,-,542.39,245,132.82,99.73,403.25
Goodwill,"2,438","1,850","1,822","1,617","1,607","1,503","1,378","1,366","1,318","1,285",651.11
Other Intangible Assets,624.06,357.32,420.62,309.71,377.57,436.17,474.69,561.09,586.37,628.62,69.58
Long-Term Deferred Tax Assets,222.49,219.23,178.97,116.89,55.25,32.74,30.51,12.31,11.85,14.09,14.13
Long-Term Deferred Charges,-,118.53,129.69,138.86,138.34,94.09,79.34,57.68,-,-,-
Other Long-Term Assets,218.66,93.98,89.65,92.64,86.1,59.57,44.7,16.37,19.5,17.7,17.18
Total Assets,"5,152","5,296","5,118","4,854","4,710","4,233","3,610","3,207","2,845","2,632","1,850"
Accounts Payable,92.11,110.6,66.04,56.02,36.12,33.13,30.38,29.62,29.44,25.63,11.72
Accrued Expenses,530.02,590.27,526.08,509.84,485.88,413.35,388.39,358.29,302.59,272.05,221.95
Current Portion of Long-Term Debt,-,458.79,209.23,209.29,395.95,259.88,251.58,-,-,21.16,-
Current Portion of Leases,12.78,12.55,13.75,13.53,19.51,22.41,21.52,-,-,-,-
Current Unearned Revenue,345.32,299.37,302.65,338.93,330.46,311.85,245.79,221.39,184.56,149.8,131.13
Other Current Liabilities,-,2.84,2.58,13.61,1.67,3.82,3.3,15.62,6.76,4.16,14.05
Total Current Liabilities,980.24,"1,474","1,120","1,141","1,270","1,044",940.96,624.91,523.35,472.81,378.84
Long-Term Debt,-,-,457.08,455.38,429.27,421.34,213.31,455.99,447.64,444.02,-
Long-Term Leases,74.07,92.26,102.91,99.26,81.19,92.26,103.49,-,-,-,-
Long-Term Unearned Revenue,62,66.29,52.46,57.21,66.61,36.3,26.05,35.11,37.55,22.71,20.22
Long-Term Deferred Tax Liabilities,114.14,1.97,8.6,7.34,7.43,32.11,52.51,44.14,57.8,146.95,15.04
Other Long-Term Liabilities,60.34,57.81,21.77,38.59,18.38,17.98,16.33,30.6,29.19,34.06,20.36
Total Liabilities,"1,291","1,693","1,763","1,799","1,872","1,644","1,353","1,191","1,096","1,121",434.46
Common Stock,"3,861",18.96,18.96,18.96,18.96,18.96,18.96,18.85,18.6,18.28,17.98
Additional Paid-In Capital,-,"2,279","2,123","1,951","1,818","1,682","1,568","1,500","1,421","1,318","1,234"
Retained Earnings,-,"2,702","2,263","1,926","1,654","1,454","1,258","1,072",850.77,710.91,632.19
Treasury Stock,-,"-1,339","-1,005",-743.05,-625.81,-574.36,-554.15,-527.42,-507.71,-488.57,-445.02
Comprehensive Income & Other,-,-71.07,-59.11,-111.26,-39.74,-16.66,-33.3,-46.62,-32.91,-46.82,-24.21
Total Common Equity,"3,861","3,590","3,341","3,042","2,825","2,564","2,257","2,017","1,750","1,511","1,415"
Minority Interest,-,13.42,13.37,13.34,12.87,24.57,-,-,-,-,-
Shareholders' Equity,"3,861","3,603","3,355","3,055","2,838","2,588","2,257","2,017","1,750","1,511","1,415"
Total Liabilities & Equity,"5,152","5,296","5,118","4,854","4,710","4,233","3,610","3,207","2,845","2,632","1,850"
Total Debt,86.85,563.6,782.97,777.46,925.91,795.89,589.91,455.99,447.64,465.18,-
Net Cash (Debt),369.04,"1,058",624.87,794.08,498.84,667.99,-150.81,29.84,-55.39,-277.87,425.13
Net Cash Growth,-61.56%,69.33%,-21.31%,59.19%,-25.32%,-,-,-,-,-,67.87%
Net Cash Per Share,5.78,16.15,9.43,11.95,7.46,10.13,-2.33,0.47,-0.89,-4.55,6.94
