Period Ending,"Nov '25Nov 13, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"7,239","10,758","7,749","2,576","2,810","3,261","1,231","2,815","3,505","3,141",752
Market Cap Growth,-36.88%,38.82%,200.81%,-8.33%,-13.83%,164.84%,-56.26%,-19.68%,11.58%,317.84%,-17.88%
Enterprise Value,"7,796","10,292","7,396","2,370","2,565","3,055","1,041","2,515","3,092","3,008",667
Last Close Price,76.08,97.99,71.05,24.47,26.83,31.58,11.96,27.60,34.70,34.60,18.09
PE Ratio,110.52,113.12,35.74,-,-,-,-,-,-,-,-
Forward PE,96.06,82.73,68.09,76.09,125.67,-,-,-,-,-,-
PS Ratio,8.26,11.00,9.90,4.34,9.25,19.95,2.41,5.79,5.19,7.02,2.24
PB Ratio,292.25,8.90,6.94,2.94,3.13,3.66,1.43,2.07,2.25,2.24,9.69
P/TBV Ratio,-,17.79,15.58,10.71,13.48,19.57,9.04,9.76,8.52,13.42,17.59
P/FCF Ratio,44.31,59.50,64.66,104.19,905.86,51.04,-,-,-,-,-
P/OCF Ratio,43.13,58.06,61.63,79.97,453.15,50.53,-,-,-,-,-
EV/Sales Ratio,7.71,10.52,9.45,4.00,8.44,18.69,2.04,5.17,4.58,6.72,1.99
EV/EBITDA Ratio,48.91,74.69,79.74,48.66,2186.45,-,-,-,-,-,-
EV/EBIT Ratio,54.86,84.86,97.16,110.44,-,-,-,-,-,-,-
EV/FCF Ratio,47.72,56.92,61.72,95.86,826.79,47.82,-,-,-,-,-
Debt / Equity Ratio,46.60,0.20,0.20,0.27,0.24,0.23,0.03,0.00,0,0.00,2.64
Debt / EBITDA Ratio,8.47,1.66,2.30,4.83,184.64,-,-,-,-,-,-
Debt / FCF Ratio,8.49,1.31,1.85,9.51,69.82,3.19,-,-,-,-,-
Asset Turnover,0.56,0.56,0.52,0.44,0.23,0.14,0.39,0.29,0.41,0.46,0.99
Inventory Turnover,587.31,1495.40,2984.99,17196.39,6889.18,3367.61,885.22,486.33,692.22,647.76,173.83
Quick Ratio,1.67,1.58,2.37,1.21,2.69,2.32,1.25,1.79,2.32,1.58,1.86
Current Ratio,1.92,1.85,2.88,1.48,3.09,2.58,1.55,2.15,2.70,1.96,2.27
Return on Equity (ROE),12.71%,8.20%,21.76%,-1.26%,-5.10%,-6.39%,-40.32%,-11.51%,-14.86%,-14.88%,-75.21%
Return on Assets (ROA),4.89%,4.35%,3.15%,1.00%,-1.34%,-3.62%,-5.95%,-5.73%,-8.08%,-7.34%,-11.77%
Return on Capital (ROIC),6.30%,5.45%,3.89%,1.21%,-1.59%,-4.36%,-7.03%,-6.55%,-9.02%,-8.46%,-18.19%
Return on Capital Employed (ROCE),11.20%,9.70%,5.60%,2.40%,-,-,-,-,-,-,-
Earnings Yield,1.06%,0.88%,2.80%,-0.44%,-1.62%,-1.71%,-36.37%,-5.96%,-6.23%,-3.51%,-11.78%
FCF Yield,2.26%,1.68%,1.55%,0.96%,0.11%,1.96%,-9.44%,-2.93%,-3.70%,-3.73%,-9.54%
Buyback Yield / Dilution,6.73%,3.13%,-7.82%,-1.09%,-1.57%,-1.53%,-1.16%,-3.58%,-90.83%,-26.11%,0.23%
