Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,521.71,508.9,327.07,284.02,213.28,295.07,129.88,177.99,187.65,101.7,53.43
Short-Term Investments,308.11,252.29,279.72,197.06,264.18,129.83,37.82,133.99,202.17,75.51,148.56
Cash & Short-Term Investments,829.82,761.18,606.79,481.07,477.46,424.89,167.7,311.98,389.82,177.22,201.99
Cash Growth,15.91%,25.45%,26.13%,0.76%,12.37%,153.36%,-46.25%,-19.97%,119.97%,-12.26%,41.76%
Accounts Receivable,159.01,141.65,92.2,68.85,35.91,25.18,53.41,53.51,56.39,35.11,28.22
Other Receivables,-,9.14,4.95,0.12,0.12,0,4.45,1.42,17.13,0.08,0.07
Receivables,159.01,150.79,97.17,69.01,36.03,25.18,57.85,54.92,73.51,35.19,28.29
Inventory,0.64,0.36,0.22,0.03,0.01,0.04,0.04,0.61,0.6,0.25,0.53
Prepaid Expenses,-,5.51,4.61,3.52,4.23,2.99,3.06,4.21,4.58,3.5,2.89
Other Current Assets,145.13,147.42,148.49,118.28,73.64,48.08,50.37,68.93,72.08,47.03,48.26
Total Current Assets,"1,135","1,065",857.28,671.91,591.37,501.18,279.02,440.65,540.59,263.19,281.95
"Property, Plant & Equipment",23.93,26.46,25.9,25.38,19.31,22.16,36,13.5,13.69,15.33,10.29
Long-Term Investments,10.1,5.02,4.35,8.96,7.6,35.81,9.25,11.05,22.65,44.17,44.16
Goodwill,-,551.91,559.89,561.5,601.15,619.87,607.25,936.7,994.73,996.81,13.34
Other Intangible Assets,570.9,45.89,53.5,67.47,84.51,101.03,114.74,132.18,152.79,173.92,21.55
Long-Term Accounts Receivable,9,8.88,7.7,6.18,3.71,2.15,2.66,2.27,1.93,2.18,0.95
Long-Term Deferred Tax Assets,87.11,106.43,129.32,-,-,-,-,-,-,-,-
Other Long-Term Assets,20.89,18.45,22.16,18.43,15.05,26.74,34.29,33.95,39.08,49.19,28.76
Total Assets,"1,857","1,828","1,660","1,360","1,323","1,309","1,083","1,570","1,765","1,545",400.99
Accounts Payable,142.51,91.24,67.05,45.75,33.52,23.81,21.02,69.2,74.81,36.67,33.16
Accrued Expenses,-,87.2,86.78,69.71,51.41,47.94,62.48,59,60.05,51.63,31.42
Short-Term Debt,0.46,0.54,-,-,-,-,-,-,-,-,7.16
Current Portion of Long-Term Debt,230.19,217.56,1.12,216.88,0.44,0.31,0.33,0.23,0.23,0.23,2.01
Current Portion of Leases,-,4.58,3.69,2.63,2.34,2.03,3.64,-,-,-,0.01
Current Unearned Revenue,134.42,120.1,93.06,75.49,53.6,34.3,33.6,70.5,1.26,3.05,2.09
Other Current Liabilities,84.98,55.4,45.87,43.2,49.92,85.8,58.8,5.63,63.62,42.83,48.23
Total Current Liabilities,592.56,576.61,297.57,453.66,191.22,194.19,179.87,204.57,199.97,134.4,124.08
Long-Term Debt,"1,143",3.12,203.85,1.9,202.2,188,0.7,0.47,0.42,0.52,195.28
Long-Term Leases,13.7,10.78,12.97,13.75,11.61,13.62,20.92,-,-,-,-
Long-Term Unearned Revenue,0.12,0.18,0.41,0.24,0.43,1.27,1.84,0.37,0.09,0.27,1.41
Pension & Post-Retirement Benefits,15.07,14.71,11.66,8.89,9.09,7.48,6.34,4.79,4.31,2.95,1.64
Long-Term Deferred Tax Liabilities,50.82,2.53,4.75,0.82,2.6,3.86,1.78,0.6,0.12,0.16,0.2
Other Long-Term Liabilities,11.54,12.4,12.44,4.51,9.13,9.4,9.48,2.11,1.62,1.03,0.77
Total Liabilities,"1,827",620.31,543.66,483.77,426.27,417.82,220.92,212.92,206.52,139.32,323.38
Common Stock,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02
Additional Paid-In Capital,"2,709","2,203","2,161","2,057","2,035","2,021","1,986","1,977","1,961","1,607",248.73
Retained Earnings,"-2,826",-929.87,"-1,021","-1,228","-1,214","-1,203","-1,148",-682.05,-515.85,-298.58,-188.22
Treasury Stock,-21.72,-21.72,-,-,-,-,-,-,-,-,-7.58
Comprehensive Income & Other,164.02,-49.28,-29.9,40.14,73.57,69.6,20.23,61.86,113.74,95.96,24.65
Total Common Equity,25.51,"1,203","1,111",869.57,894.13,887.52,858.24,"1,357","1,559","1,405",77.61
Minority Interest,4.27,5.35,5.56,6.49,2.34,3.67,4.05,0.19,0.3,0.66,-
Shareholders' Equity,29.77,"1,208","1,116",876.06,896.48,891.19,862.29,"1,357","1,559","1,405",77.61
Total Liabilities & Equity,"1,857","1,828","1,660","1,360","1,323","1,309","1,083","1,570","1,765","1,545",400.99
Total Debt,"1,387",236.57,221.62,235.16,216.58,203.96,25.58,0.71,0.65,0.75,204.46
Net Cash (Debt),-557.48,524.61,385.16,245.91,260.88,220.94,142.12,311.28,389.17,176.47,-2.47
Net Cash Growth,-,36.20%,56.63%,-5.74%,18.08%,55.46%,-54.34%,-20.01%,120.53%,-,-
Net Cash Per Share,-5.00,4.58,3.26,2.24,2.41,2.07,1.35,2.99,3.88,3.35,-0.06
Filing Date Shares Outstanding,97.98,111.03,109.78,106.13,105.27,104.73,103.25,102.94,101.98,101,41.71
Total Common Shares Outstanding,97.98,111.03,109.78,106.13,105.27,104.73,103.25,102.94,101.98,91.68,41.71
Working Capital,542.04,488.65,559.7,218.25,400.15,306.99,99.15,236.08,340.61,128.79,157.87
Book Value Per Share,0.26,10.83,10.12,8.19,8.49,8.47,8.31,13.18,15.28,15.32,1.86
Tangible Book Value,-545.39,604.84,497.47,240.59,208.48,166.61,136.25,288.3,411.12,234.07,42.72
Tangible Book Value Per Share,-5.57,5.45,4.53,2.27,1.98,1.59,1.32,2.80,4.03,2.55,1.02
Land,-,0.82,0.77,0.82,0.84,0.89,0.85,0.88,-,0.81,0.79
Buildings,-,0.5,0.46,0.49,0.51,0.54,0.51,0.53,-,0.49,0.48
Machinery,-,24.22,20.74,19.94,18.56,17.38,20.32,20.28,19.65,17.43,13.31
Construction In Progress,-,-,-,0.02,-,-,0.09,0.09,0.05,2.79,0.01
Leasehold Improvements,-,6.48,5.43,5.39,4.55,5,6.74,6.58,6.37,2.96,4.65
