Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Operating Revenue,901.94,881.3,729.48,560.35,285.88,149.88,475.18,457.98,658.29,438.38,329.89
Other Revenue,109.07,97.04,53.04,32.68,18.05,13.56,36.35,28.03,16.97,9.23,6.17
Revenue,"1,011",978.34,782.52,593.04,303.92,163.44,511.53,486.01,675.26,447.62,336.05
Revenue Growth (YoY),14.55%,25.02%,31.95%,95.13%,85.95%,-68.05%,5.25%,-28.03%,50.86%,33.20%,12.14%
Cost of Revenue,429.03,434.41,362.68,309.54,175.67,127.97,284.16,292.28,293.16,251.98,219.37
Gross Profit,581.98,543.92,419.85,283.5,128.25,35.47,227.37,193.73,382.1,195.64,116.68
"Selling, General & Admin",171.3,165.32,123.3,101.6,51.03,22.74,166.6,198.66,459.52,228.26,111.92
Other Operating Expenses,240.66,230.19,193.18,133.19,76.04,48.91,153.18,120.91,106.56,67.05,60.09
Operating Expenses,439.86,422.63,343.73,262.04,156.43,104.66,353.6,346.68,596.06,309.84,180.76
Operating Income,142.12,121.29,76.12,21.46,-28.19,-69.19,-126.23,-152.95,-213.96,-114.2,-64.08
Interest Expense,-57.51,-16.94,-17.75,-16.62,-15.31,-3.9,-2.89,-0.3,-0.42,-8.57,-3.84
Interest & Investment Income,27.8,28.26,24.31,10.97,9.98,7.18,3.33,6.46,5.19,2.84,1.59
Earnings From Equity Investments,-0,-0.06,0.05,0.01,0.03,-0.17,-0.07,-0.89,-2,-1.7,-1.86
Currency Exchange Gain (Loss),-13.35,-13.35,-7.6,-25.64,-8.22,4.57,-13.73,-9.78,-2.39,-1.67,-4.5
Other Non Operating Income (Expenses),-1.9,-1.9,28.66,-1.66,-2.8,-0.55,-4.81,-1.25,-1.09,34.38,-11.99
EBT Excluding Unusual Items,97.16,117.29,103.79,-11.47,-44.5,-62.06,-144.4,-158.7,-214.67,-88.93,-84.68
Merger & Restructuring Charges,-,-,-,-,-,-,-0.9,-0.05,-2.18,-5.97,-0.2
Impairment of Goodwill,-,-,-,-,-,-,-272.16,-,-,-,-
Gain (Loss) on Sale of Investments,-0,-0,0.06,-0.8,2.26,-,0.73,-9.93,-,-,-0.96
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.05,-0.07,-0.05,-0.38
Asset Writedown,-1.42,-1.42,-0.87,0.03,-0.15,-0.41,-0.02,-,-3.23,-15.17,-2.17
Legal Settlements,-,-,-,-,-4.7,-,-30.8,-,-,-,-
Other Unusual Items,0.02,0.02,-10.04,0.1,0.42,1.91,-,-,-,-,-
Pretax Income,95.75,115.89,92.94,-12.14,-46.67,-60.55,-447.55,-168.62,-220.15,-110.11,-88.39
Income Tax Expense,19.4,20.62,-123.81,-0.98,-1.11,-4.51,-0.03,-0.74,0.09,0.19,0.16
Earnings From Continuing Operations,76.36,95.27,216.74,-11.17,-45.57,-56.04,-447.52,-167.88,-220.24,-110.3,-88.54
Minority Interest in Earnings,0.17,-0.17,0.06,-0.15,0.16,0.4,-0.26,0.12,1.83,0.14,0.02
Net Income,76.53,95.1,216.8,-11.32,-45.41,-55.64,-447.78,-167.76,-218.41,-110.17,-88.52
Net Income to Common,76.53,95.1,216.8,-11.32,-45.41,-55.64,-447.78,-167.76,-218.41,-110.17,-88.52
Net Income Growth,-67.46%,-56.13%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),110,113,111,110,108,107,105,104,100,53,42
Shares Outstanding (Diluted),111,115,118,110,108,107,105,104,100,53,42
Shares Change (YoY),-6.73%,-3.13%,7.82%,1.09%,1.57%,1.53%,1.16%,3.58%,90.83%,26.11%,-0.23%
EPS (Basic),0.70,0.84,1.95,-0.10,-0.42,-0.52,-4.26,-1.61,-2.18,-2.09,-2.12
EPS (Diluted),0.69,0.83,1.74,-0.10,-0.42,-0.52,-4.26,-1.61,-2.18,-2.09,-2.12
EPS Growth,-63.41%,-52.35%,-,-,-,-,-,-,-,-,-
Free Cash Flow,163.37,180.81,119.84,24.72,3.1,63.88,-116.27,-82.38,-129.74,-117.21,-71.7
Free Cash Flow Per Share,1.47,1.58,1.01,0.23,0.03,0.60,-1.10,-0.79,-1.29,-2.23,-1.72
