Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,268.94,198.24,95.26,9.25,21.63,43.69,24.63
Short-Term Investments,-,-,-,-,-,-,13.59
Cash & Short-Term Investments,268.94,198.24,95.26,9.25,21.63,43.69,38.22
Cash Growth,98.32%,108.10%,930.39%,-57.25%,-50.50%,14.32%,-
Receivables,54.6,49.8,15.83,5.09,2.11,3.62,5.72
Prepaid Expenses,-,-,-,2.51,1.28,1.41,1.11
Restricted Cash,-,-,-,-,0.46,0.23,0.23
Other Current Assets,11.84,7.48,2.45,0.86,2,-,-
Total Current Assets,335.37,255.52,113.54,17.7,27.47,48.95,45.28
"Property, Plant & Equipment",7.14,5.93,6.73,11.57,16.45,2.1,7.06
Goodwill,122.28,101.7,-,-,-,-,-
Other Intangible Assets,191.07,174.94,-,-,-,8.34,7
Long-Term Accounts Receivable,29.16,12.88,16.49,7.04,-,-,-
Long-Term Deferred Tax Assets,0,0,0.01,0.06,2.17,2.28,2.42
Other Long-Term Assets,17.2,2.97,14.35,1.62,3.12,1.97,2.4
Total Assets,702.22,553.95,151.12,37.99,49.2,63.64,64.16
Accounts Payable,6.86,5.56,1.65,2.8,3.76,3.34,2.16
Accrued Expenses,26.13,26.29,13.88,8.54,7.3,3.41,5.05
Short-Term Debt,-,-,-,16.67,45.49,-,-
Current Portion of Long-Term Debt,-,-,-,-,14.34,-,-
Current Portion of Leases,2.34,1.95,2.76,3.44,4.58,2.33,2.98
Current Income Taxes Payable,2.44,2.75,1.62,1.31,2.74,2.95,2.42
Current Unearned Revenue,20.7,23.88,4.31,5.81,6.04,12.08,8.19
Other Current Liabilities,6.66,7.32,-,-,3.49,0.41,0.18
Total Current Liabilities,65.13,67.74,24.22,38.57,87.74,24.52,20.99
Long-Term Debt,-,-,84.31,18.3,-,13.06,-
Long-Term Leases,2.48,2.42,3.09,5.72,8.9,1.25,3.35
Long-Term Unearned Revenue,7.75,6.86,4.91,7.54,14.96,19.2,16.73
Other Long-Term Liabilities,227.62,294.28,6.42,4.42,1.34,6.26,2.95
Total Liabilities,302.98,371.3,122.95,74.55,112.94,64.3,44.02
Common Stock,0.04,0.04,0.03,0.02,0,0,0
Additional Paid-In Capital,"1,396","1,125",606.14,466.86,43.49,30.84,25.94
Retained Earnings,-997.12,-943.06,-592.38,-503.44,-386.73,-307.19,-232.78
Comprehensive Income & Other,0.23,0.21,0.2,-,-,-0,-0.01
Total Common Equity,399.24,182.65,13.98,-36.57,-343.24,-276.35,-206.85
Shareholders' Equity,399.24,182.65,28.17,-36.57,-63.73,-0.66,20.14
Total Liabilities & Equity,702.22,553.95,151.12,37.99,49.2,63.64,64.16
Total Debt,4.82,4.37,90.16,44.12,73.32,16.64,6.33
Net Cash (Debt),264.12,193.87,5.1,-34.88,-51.69,27.05,31.89
Net Cash Growth,187.82%,3700.67%,-,-,-,-15.18%,-
Net Cash Per Share,0.67,0.57,0.02,-0.22,-0.77,2.30,2.75
Filing Date Shares Outstanding,420.1,398.96,309.11,219.91,12.28,11.82,11.75
Total Common Shares Outstanding,418.84,393.63,254.43,200.03,12.28,11.82,11.75
Working Capital,270.23,187.78,89.32,-20.87,-60.27,24.43,24.28
Book Value Per Share,0.95,0.46,0.05,-0.18,-27.95,-23.38,-17.60
Tangible Book Value,85.89,-93.99,13.98,-36.57,-343.24,-284.69,-213.85
Tangible Book Value Per Share,0.21,-0.24,0.05,-0.18,-27.95,-24.09,-18.20
Machinery,-,20.63,20.06,21.71,21.3,20.59,3.96
Construction In Progress,-,-,-,-,-,0.01,0.07
Leasehold Improvements,-,3.87,3.88,3.85,3.57,3.56,3.03
