Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,525","4,901","5,319","6,600","6,174","4,809","5,410","3,633","3,563","1,943","1,797"
Market Cap Growth,-4.00%,-7.86%,-19.41%,6.91%,28.37%,-11.10%,48.90%,1.96%,83.36%,8.12%,12.35%
Enterprise Value,"11,951","11,731","12,326","13,733","13,844","12,523","13,888","7,687","7,827","4,377","3,265"
Last Close Price,182.18,151.59,144.32,156.06,131.84,93.54,97.86,64.41,62.75,49.85,45.27
PE Ratio,11.23,6.98,15.37,6.80,7.40,5.93,23.49,9.33,7.50,21.23,23.14
Forward PE,9.17,8.76,7.71,8.50,7.27,6.67,8.73,9.46,11.90,17.63,15.97
PS Ratio,1.08,0.91,1.08,1.27,1.33,1.07,1.78,1.31,1.47,1.76,2.01
PB Ratio,2.42,2.16,2.30,2.38,2.16,1.90,2.63,1.94,2.25,6.83,20.81
P/FCF Ratio,5.62,4.43,6.26,5.30,5.80,4.64,24.60,5.76,97.28,7.70,10.20
P/OCF Ratio,4.97,3.92,5.32,4.70,5.08,3.84,12.96,4.93,32.66,6.84,8.76
PEG Ratio,-,0.19,1.86,0.56,0.45,0.13,0.35,0.95,0.50,1.76,5.32
EV/Sales Ratio,2.32,2.17,2.50,2.64,2.98,2.78,4.57,2.78,3.22,3.97,3.64
EV/EBITDA Ratio,7.70,6.51,9.63,6.90,7.92,6.81,13.67,7.32,9.85,10.71,10.82
EV/EBIT Ratio,11.09,8.89,15.56,9.03,10.82,8.88,20.06,9.72,14.64,14.08,15.84
EV/FCF Ratio,12.16,10.62,14.50,11.02,13.01,12.07,63.14,12.19,213.68,17.34,18.52
Debt / Equity Ratio,2.92,3.00,3.08,2.61,2.69,3.13,4.25,2.13,2.76,8.24,17.14
Debt / EBITDA Ratio,4.13,3.65,5.30,3.53,4.27,4.21,8.36,3.79,5.49,5.73,4.91
Debt / FCF Ratio,6.78,6.17,8.39,5.81,7.23,7.65,39.69,6.31,119.10,9.28,8.40
Asset Turnover,0.45,0.46,0.40,0.40,0.35,0.33,0.29,0.38,0.47,0.46,0.55
Quick Ratio,1.68,1.50,1.28,1.44,1.54,1.45,1.18,1.71,1.01,1.61,1.62
Current Ratio,1.87,1.66,1.53,1.81,1.79,1.66,1.43,1.90,1.58,1.92,1.78
Return on Equity (ROE),21.35%,29.82%,10.63%,33.52%,30.77%,35.21%,12.05%,22.51%,50.95%,50.23%,106.90%
Return on Assets (ROA),5.87%,7.00%,4.00%,7.33%,6.00%,6.44%,4.11%,6.80%,6.40%,8.10%,7.93%
Return on Capital (ROIC),7.41%,8.90%,5.09%,9.25%,7.60%,8.29%,5.20%,8.38%,7.80%,9.27%,9.04%
Return on Capital Employed (ROCE),10.30%,12.30%,7.10%,12.90%,10.30%,11.10%,5.30%,11.90%,7.80%,11.20%,12.20%
Earnings Yield,9.07%,14.73%,6.50%,14.71%,13.51%,16.87%,4.26%,10.72%,13.33%,4.71%,4.32%
FCF Yield,17.79%,22.55%,15.98%,18.88%,17.23%,21.57%,4.07%,17.36%,1.03%,12.99%,9.81%
Dividend Yield,4.08%,4.46%,3.74%,2.31%,2.12%,2.40%,1.84%,2.33%,1.91%,1.93%,1.68%
Payout Ratio,45.85%,30.33%,55.20%,14.62%,14.15%,12.45%,35.97%,17.62%,11.77%,32.17%,30.49%
Buyback Yield / Dilution,7.79%,8.48%,10.83%,8.63%,5.86%,2.51%,-1.08%,-0.56%,-48.90%,1.33%,-0.27%
Total Shareholder Return,11.88%,12.94%,14.57%,10.94%,7.98%,4.91%,0.76%,1.77%,-46.99%,3.26%,1.40%
