Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,236,144,135,204,190.9,152.7,232.07,145.12,115.65,87.68,43.42
Cash & Short-Term Investments,236,144,135,204,190.9,152.7,232.07,145.12,115.65,87.68,43.42
Cash Growth,30.39%,6.67%,-33.82%,6.86%,25.02%,-34.20%,59.92%,25.48%,31.90%,101.95%,-67.09%
Receivables,"1,013","1,028","1,095","1,080","1,021",904.8,883.92,547.29,562.94,218.06,192.99
Prepaid Expenses,82,41,88,121,138.8,135.87,152,22.67,71.86,30.76,7.32
Restricted Cash,-,-,12,16,15.6,16.61,16.61,-,-,26.72,-
Other Current Assets,62,84,136,194,46.4,-,67.17,52,305.76,-,16.3
Total Current Assets,"1,393","1,297","1,466","1,615","1,413","1,210","1,352",767.08,"1,056",363.22,260.03
"Property, Plant & Equipment","1,444","1,483","1,559","1,550","1,801","1,888","1,526",731.54,734.14,276.15,266.58
Long-Term Investments,774,877,958,"1,119","1,219","1,334","1,477",13.97,-,-,-
Goodwill,"2,924","2,922","2,946","2,961","3,052","2,984","2,997","2,168","2,143",473.3,451.66
Other Intangible Assets,"4,608","4,776","5,053","5,344","5,627","5,849","6,181","3,270","3,349",867.26,803.7
Other Long-Term Assets,106,113,96,90,153.2,139.89,456.94,111.3,199.18,986.15,53.17
Total Assets,"11,249","11,468","12,078","12,679","13,265","13,404","13,990","7,062","7,482","2,966","1,835"
Accounts Payable,100,133,235,198,248.2,218.42,157.37,67.83,31.14,19.75,25.94
Accrued Expenses,353,314,350,319,315.9,307.19,422.51,149.28,215.5,115.51,71.5
Current Portion of Long-Term Debt,111,124,124,124,47.2,21.43,109.31,96.09,92.81,28.09,22.14
Current Portion of Leases,41,37,47,50,42.8,35.85,35.94,-,-,-,0.1
Other Current Liabilities,140,175,205,202,133.2,148,222.43,90.97,331.26,26.23,26.39
Total Current Liabilities,745,783,961,893,787.3,730.89,947.56,404.17,670.7,189.58,146.06
Long-Term Debt,"6,248","6,399","6,713","6,827","7,368","7,647","8,383","3,885","4,270","2,314","1,454"
Long-Term Leases,262,253,246,238,237.9,234.21,200.9,-,-,-,4.4
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,97.19,-,-
Long-Term Deferred Tax Liabilities,"1,467","1,487","1,520","1,606","1,729","1,674","1,711",633.88,619.44,132.01,101.76
Other Long-Term Liabilities,243,278,325,346,285.4,581.72,693.85,270.08,243.36,45.82,42.46
Total Liabilities,"8,965","9,200","9,765","9,910","10,407","10,867","11,936","5,193","5,900","2,682","1,749"
Common Stock,-,-,-,-,0.5,0.47,0.47,0.47,0.47,0.32,0.32
Additional Paid-In Capital,"1,312","1,304","1,283","1,288","1,311","1,363","1,354","1,352","1,343",386.92,396.22
Retained Earnings,"3,765","3,671","3,188","3,033","2,204","1,488",778.83,620.37,299.52,-176.58,-268.12
Treasury Stock,"-2,790","-2,717","-2,173","-1,607",-807,-367.13,-121.39,-105.69,-78.06,-41.51,-47.75
Comprehensive Income & Other,-1,-1,1,27,141.6,34.51,19.85,-14.32,6.14,-,-
Total Common Equity,"2,286","2,257","2,299","2,741","2,850","2,518","2,031","1,853","1,571",169.14,80.67
Minority Interest,-2,11,14,28,7.1,18.48,22,16.21,10.7,115.21,5.7
Shareholders' Equity,"2,284","2,268","2,313","2,769","2,858","2,537","2,053","1,869","1,581",284.35,86.37
Total Liabilities & Equity,"11,249","11,468","12,078","12,679","13,265","13,404","13,990","7,062","7,482","2,966","1,835"
Total Debt,"6,662","6,813","7,130","7,239","7,696","7,938","8,729","3,981","4,362","2,342","1,481"
Net Cash (Debt),"-6,426","-6,669","-6,995","-7,035","-7,505","-7,785","-8,497","-3,836","-4,247","-2,255","-1,437"
Net Cash Per Share,-208.08,-203.35,-195.21,-175.06,-170.64,-166.64,-177.31,-80.91,-90.07,-71.21,-44.79
Filing Date Shares Outstanding,30.33,30.51,33.43,36.77,41,43.38,45.86,45.75,46.11,47.11,30.65
Total Common Shares Outstanding,30.32,30.62,33.6,36.81,40.76,43.26,45.75,45.63,45.97,30.74,30.63
Working Capital,648,514,505,722,625.4,479.09,404.21,362.9,385.52,173.64,113.97
Book Value Per Share,75.39,73.71,68.42,74.46,69.94,58.22,44.40,40.61,34.17,5.50,2.63
Tangible Book Value,"-5,246","-5,441","-5,700","-5,564","-5,829","-6,315","-7,146","-3,585","-3,921","-1,171","-1,175"
Tangible Book Value Per Share,-173.00,-177.69,-169.64,-151.15,-143.01,-145.98,-156.21,-78.58,-85.31,-38.10,-38.35
Land,-,249,249,241,476.6,539.01,305.07,126.93,127.63,32.07,29.77
Buildings,-,430,409,393,381.9,361.08,354.05,231.27,225.18,81.34,73.34
Machinery,-,"1,369","1,342","1,297","1,251","1,156",885.95,709.69,690.36,432.69,397.41
Construction In Progress,-,37,60,65,59.2,100.57,187.23,74.92,21.24,7.43,7.68
Leasehold Improvements,-,140,119,101,81.9,67.38,57.3,27.57,29.11,9.91,9.62
