Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"8,186","9,171","7,204","6,370","20,164",-,-
Market Cap Growth,12.23%,27.30%,13.11%,-68.41%,-,-,-
Enterprise Value,"7,303","8,425","6,446","5,548","19,176",-,-
Last Close Price,23.40,27.96,23.40,22.24,76.24,-,-
Forward PE,52.97,94.84,151.46,-,-,-,-
PS Ratio,7.11,9.52,9.27,10.87,51.99,-,-
PB Ratio,7.31,9.54,8.89,8.28,23.71,-,-
P/TBV Ratio,8.63,11.63,9.54,8.28,23.71,-,-
P/FCF Ratio,152.87,296.86,-,-,-,-,-
P/OCF Ratio,142.68,274.08,-,-,-,-,-
EV/Sales Ratio,6.56,8.74,8.30,9.47,49.44,-,-
EV/FCF Ratio,136.37,272.70,-,-,-,-,-
Debt / Equity Ratio,0.99,1.16,1.37,1.45,1.32,0.19,-
Debt / FCF Ratio,20.66,35.93,-,-,-,-,-
Asset Turnover,0.41,0.37,0.32,0.25,0.27,0.65,-
Quick Ratio,3.77,3.78,4.38,4.96,6.19,2.04,1.46
Current Ratio,4.01,3.99,4.62,5.18,6.39,2.21,1.59
Return on Equity (ROE),-29.62%,-38.95%,-56.05%,-55.88%,-61.29%,-133.85%,-
Return on Assets (ROA),-8.81%,-10.16%,-11.55%,-12.34%,-14.80%,-39.79%,-
Return on Capital (ROIC),-11.31%,-13.11%,-14.56%,-14.99%,-18.53%,-73.91%,-
Earnings Yield,-3.71%,-3.76%,-6.15%,-7.11%,-1.70%,-,-
FCF Yield,0.65%,0.34%,-1.48%,-2.54%,-0.54%,-,-
Buyback Yield / Dilution,-6.75%,-7.03%,-7.37%,-48.48%,-80.99%,-8.48%,-
