Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 1, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest and Dividend Income,865.2,765.2,591.8,194.4,23.1,-,-,-,8.55,3.5,2.95
Total Interest Expense,676.1,538.1,470.2,165,26.4,4.89,5.68,4.01,4.3,2.06,1.86
Net Interest Income,189.1,227.1,121.6,29.4,-3.3,-4.89,-5.68,-4.01,4.26,1.44,1.1
Brokerage Commission,"1,767","1,618","1,342",651,573.7,353.75,347.07,188.1,261.57,269.66,285.18
Trading & Principal Transactions,-,-,-,-,-,-,-,-,-,-,40.01
Asset Management Fee,-,-,-,-,-,3.55,3.72,3.34,-,-,-
Other Revenue,712.5,511.5,418.1,329.9,254.9,405.12,204.08,197.04,52.07,57.21,19.6
Revenue,"2,668","2,357","1,882","1,010",825.3,757.53,549.19,384.47,317.9,328.31,345.89
Revenue Growth (YoY),24.56%,25.22%,86.29%,22.42%,8.95%,37.94%,42.85%,20.94%,-3.17%,-5.08%,-6.00%
Salaries & Employee Benefits,"1,128",965.7,768.7,437.4,358.3,260.91,211.92,-,-,-,-
Cost of Services Provided,826.4,787.7,660.5,311,295.2,452.15,325.05,346.67,296.95,304.04,325.02
Other Operating Expenses,310.1,280.4,212.6,136,92.1,-,-,-,-,-,-
Total Operating Expenses,"2,300","2,062","1,676",907.7,756.7,721.11,536.96,346.67,296.95,304.04,325.02
Operating Income,368.5,295.1,206.1,102.6,68.6,36.42,12.23,37.8,20.95,24.27,20.87
Currency Exchange Gains,-,-,-,-,-,0.64,-,-,-,-,-
Other Non-Operating Income (Expenses),11.7,6.3,3.4,2.8,1.9,20.52,38.67,7.49,4.5,1.86,-0.25
EBT Excluding Unusual Items,380.2,301.4,210.3,105.1,70.8,57.58,50.9,45.29,25.45,26.13,20.62
Merger & Restructuring Charges,-5.6,-5.6,-3.4,-1.2,-0.9,-0.92,-,-,-,-,-
Impairment of Goodwill,-,-,-10.7,-53.9,-,-1.68,-,-,-,-,-3
Asset Writedown,-,-,-,-,-,-1.74,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-5.8,-31.9,-,-,-
Other Unusual Items,3.6,-,0.3,71.6,-,1.77,1.52,0.05,-,0.88,-
Pretax Income,378.2,295.8,196.5,121.6,69.9,54.98,46.63,13.43,25.45,27.01,17.62
Income Tax Expense,99.1,77.8,55.2,23.4,13.4,11.16,10.23,3.28,7.95,6.52,-0.03
Net Income,279.1,218,141.3,98.2,56.5,43.82,36.39,10.15,17.5,20.49,17.64
Preferred Dividends & Other Adjustments,13.3,13.3,13.3,6.6,-,-,-,-,-,-,-
Net Income to Common,265.8,204.7,128,91.6,56.5,43.82,36.39,10.15,17.5,20.49,17.64
Net Income Growth,47.36%,54.28%,43.89%,73.80%,28.93%,20.42%,258.47%,-41.99%,-14.60%,16.14%,-1.27%
Shares Outstanding (Basic),71,69,66,66,59,61,61,61,61,61,61
Shares Outstanding (Diluted),77,75,70,68,61,61,61,61,61,61,61
Shares Change (YoY),9.10%,7.05%,4.07%,11.00%,0.40%,-,-,-,-,-,-0.00%
EPS (Basic),3.74,2.96,1.94,1.39,0.96,0.72,0.60,0.17,0.29,0.34,0.29
EPS (Diluted),3.46,2.72,1.82,1.36,0.93,0.72,0.60,0.17,0.29,0.34,0.29
EPS Growth,28.44%,49.45%,33.82%,46.53%,28.41%,20.42%,258.47%,-41.99%,-14.60%,16.14%,-1.27%
Free Cash Flow,-,"1,152",726,222,467,-49.14,-25.9,129.27,-97.22,28.84,7.13
Free Cash Flow Per Share,-,15.30,10.32,3.29,7.67,-0.81,-0.43,2.13,-1.60,0.48,0.12
Dividend Per Share,0.440,0.280,0.414,-,0.282,0.244,-,-,-,-,-
Dividend Growth,-,-32.30%,-,-,15.38%,-,-,-,-,-,-
Operating Margin,13.81%,12.52%,10.95%,10.15%,8.31%,4.81%,2.23%,9.83%,6.59%,7.39%,6.03%
Profit Margin,9.96%,8.69%,6.80%,9.07%,6.85%,5.79%,6.63%,2.64%,5.50%,6.24%,5.10%
Free Cash Flow Margin,-,48.87%,38.57%,21.97%,56.58%,-6.49%,-4.72%,33.62%,-30.58%,8.79%,2.06%
Effective Tax Rate,26.20%,26.30%,28.09%,19.24%,19.17%,20.30%,21.95%,24.43%,31.24%,24.12%,-
