Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"3,991","4,452","4,458","3,694","4,390","3,198","2,657","2,004","2,139","1,801","1,253"
Market Cap Growth,-9.45%,-0.14%,20.69%,-15.87%,37.30%,20.33%,32.58%,-6.28%,18.74%,43.74%,-29.37%
Enterprise Value,"4,267","4,500","4,569","3,974","4,550","3,204","2,810","2,183","2,312","1,922","1,420"
Last Close Price,92.09,96.35,94.63,77.33,90.82,65.90,53.99,39.91,42.28,35.47,24.35
PE Ratio,29.18,24.79,23.15,19.79,28.70,32.05,28.04,19.08,27.57,23.38,17.54
Forward PE,19.35,23.53,22.67,19.17,28.98,29.93,24.35,18.48,23.15,21.77,16.56
PS Ratio,1.98,2.20,2.16,1.81,2.64,2.56,2.02,1.54,1.90,1.90,1.36
PB Ratio,3.11,3.51,3.68,3.45,4.63,3.76,3.33,2.72,3.04,2.89,2.21
P/TBV Ratio,6.15,6.23,7.03,7.26,11.96,7.15,6.49,5.73,6.44,6.45,5.79
P/FCF Ratio,20.26,20.27,16.25,61.80,44.06,16.92,17.06,18.91,64.29,23.63,17.07
P/OCF Ratio,16.73,17.04,14.12,36.33,33.84,15.09,14.96,15.61,32.04,15.61,12.58
PEG Ratio,1.66,1.37,1.37,1.37,1.93,2.00,2.03,2.22,1.93,1.81,1.27
EV/Sales Ratio,2.02,2.23,2.21,1.94,2.74,2.57,2.14,1.68,2.06,2.02,1.54
EV/EBITDA Ratio,12.88,14.67,14.49,12.46,19.43,19.27,17.19,12.72,15.49,13.18,11.00
EV/EBIT Ratio,15.75,17.95,17.36,14.80,24.00,24.68,22.22,16.41,20.88,17.43,15.17
EV/FCF Ratio,21.09,20.48,16.66,66.49,45.66,16.95,18.03,20.59,69.49,25.21,19.33
Debt / Equity Ratio,0.21,0.15,0.13,0.25,0.25,0.15,0.18,0.28,0.32,0.31,0.39
Debt / EBITDA Ratio,0.74,0.57,0.46,0.77,0.95,0.71,0.81,1.20,1.51,1.30,1.71
Debt / FCF Ratio,1.34,0.87,0.57,4.43,2.38,0.67,0.92,1.95,6.79,2.50,3.01
Asset Turnover,1.11,1.14,1.21,1.25,1.17,1.01,1.11,1.10,1.01,0.93,0.89
Inventory Turnover,2.49,2.63,2.60,2.72,2.89,2.71,2.89,2.76,2.90,3.11,3.02
Quick Ratio,0.98,1.03,1.07,0.68,0.60,1.43,1.28,0.91,0.97,1.59,1.44
Current Ratio,2.54,2.22,2.97,2.12,1.83,3.04,3.06,2.27,2.40,3.07,3.03
Return on Equity (ROE),11.05%,14.64%,17.07%,18.70%,17.23%,12.28%,12.51%,14.65%,11.85%,13.34%,12.58%
Return on Assets (ROA),8.90%,8.83%,9.61%,10.27%,8.32%,6.58%,6.65%,7.03%,6.22%,6.77%,5.64%
Return on Capital (ROIC),11.22%,11.08%,12.17%,13.32%,10.96%,8.46%,8.39%,8.88%,7.94%,8.62%,7.45%
Return on Capital Employed (ROCE),17.00%,18.10%,18.30%,20.80%,16.10%,12.10%,12.50%,14.40%,11.80%,12.50%,11.00%
Earnings Yield,3.44%,4.05%,4.33%,5.07%,3.50%,3.14%,3.59%,5.28%,3.65%,4.37%,5.82%
FCF Yield,4.94%,4.93%,6.15%,1.62%,2.27%,5.91%,5.86%,5.29%,1.56%,4.23%,5.86%
Dividend Yield,1.18%,1.04%,0.95%,1.01%,0.77%,0.94%,1.07%,1.17%,1.00%,1.12%,1.57%
Payout Ratio,34.54%,26.00%,21.59%,19.41%,21.25%,28.71%,28.31%,20.73%,25.31%,23.45%,24.82%
Buyback Yield / Dilution,1.50%,0.85%,0.21%,0.22%,-0.64%,0.21%,0.43%,-0.21%,-0.64%,1.89%,1.24%
Total Shareholder Return,2.64%,1.89%,1.16%,1.23%,0.13%,1.16%,1.50%,0.96%,0.36%,3.01%,2.82%
