Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,102.93,220.54,84.96,45.79,40.54,130.79,64.41,59.17,67.23,104.33,81.56
Cash & Short-Term Investments,102.93,220.54,84.96,45.79,40.54,130.79,64.41,59.17,67.23,104.33,81.56
Cash Growth,-3.15%,159.57%,85.55%,12.96%,-69.01%,103.07%,8.84%,-11.99%,-35.56%,27.92%,37.91%
Receivables,291.18,226.83,222.42,230.4,196.17,159.83,173.33,172.9,171.01,146,127.25
Inventory,569.18,483.88,508.7,544.98,449.98,300.93,300.25,314.05,312.33,203.47,194.59
Other Current Assets,53.47,32.95,37.72,36.92,37.96,27.71,29.47,33.76,38.57,30.02,34.72
Total Current Assets,"1,017",964.19,853.8,858.09,724.65,619.25,567.44,579.88,589.13,483.82,438.12
"Property, Plant & Equipment",312.21,286.2,286.75,264.1,259.03,240.98,228.95,207.06,215.69,196.14,190.04
Goodwill,398.36,338.5,342.4,328.05,329.63,266.74,256.06,248.75,236.81,199.61,199.85
Other Intangible Assets,253.25,212.97,230.03,231.28,249.69,133.78,131.13,135.05,131.47,134.67,141.36
Long-Term Deferred Tax Assets,8.83,8.21,8.76,6.78,7.68,8.82,9.17,8.69,8.93,4.62,3.46
Other Long-Term Assets,7.98,10.53,6.39,5.91,4.49,2.74,1.99,2.93,3.32,21.05,23.29
Total Assets,"1,997","1,821","1,728","1,694","1,575","1,272","1,195","1,182","1,185","1,040",996.11
Accounts Payable,185.78,157.05,152.42,139.27,164.76,95.9,82.59,76.65,79.35,63.93,57.82
Accrued Expenses,102.34,71.3,62.2,73.1,76.5,48.6,41.1,42.7,40.6,38.3,34.2
Current Portion of Long-Term Debt,69.07,117.81,12.36,126.76,97.98,2.45,21.78,111.98,100.45,33.72,32.95
Current Portion of Leases,19.78,18.88,17.32,15.96,15.32,11.19,9.94,-,-,-,-
Current Income Taxes Payable,14.82,20.22,4.7,3.23,2.55,5.11,3.01,2.42,2.21,3.27,1.79
Other Current Liabilities,9,48.47,38.05,47.46,38.91,40.45,27.34,22.11,23.29,18.55,17.91
Total Current Liabilities,400.79,433.73,287.04,405.77,396.01,203.7,185.76,255.86,245.9,157.76,144.67
Long-Term Debt,135.23,11.62,88.06,89.27,90.54,91.97,93.14,94.28,125.6,156.54,187.81
Long-Term Leases,46.63,43.3,38.55,32.86,32.94,20.87,17.79,0.1,-,-,-
Pension & Post-Retirement Benefits,31.67,29.81,35.97,31.89,40.7,44.44,38.29,38.02,42.18,45.31,47.4
Long-Term Deferred Tax Liabilities,32.43,10.19,29.46,29.74,28.16,25.67,27.6,28.95,30.91,40.46,33.4
Other Long-Term Liabilities,27.58,22.12,38.75,33.92,38.18,35.95,33.73,28.82,36.64,17.09,16.51
Total Liabilities,674.33,550.77,517.83,623.45,626.52,422.6,396.31,446.02,481.23,417.17,429.79
Common Stock,4.45,4.57,4.61,4.62,4.65,4.62,4.64,4.63,4.66,4.64,4.62
Additional Paid-In Capital,386.83,363.96,344.72,325.43,310.62,283.42,269.66,257.54,240.14,228.56,216.47
Retained Earnings,"1,093","1,152","1,079",969.26,859.82,764.56,712.46,654.72,604.91,550.1,498.21
Comprehensive Income & Other,-166.57,-254,-221.11,-231.45,-228.58,-204.77,-190.21,-183.02,-149.05,-169.85,-161.61
Total Common Equity,"1,318","1,266","1,207","1,068",946.5,847.83,796.55,733.87,700.66,613.45,557.7
Minority Interest,5.11,3.74,3.57,2.9,2.14,1.87,1.89,2.47,3.47,9.3,8.62
Shareholders' Equity,"1,323","1,270","1,210","1,071",948.64,849.7,798.43,736.35,704.12,622.74,566.32
Total Liabilities & Equity,"1,997","1,821","1,728","1,694","1,575","1,272","1,195","1,182","1,185","1,040",996.11
Total Debt,270.72,191.62,156.28,264.84,236.77,126.47,142.64,206.35,226.05,190.26,220.75
Net Cash (Debt),-167.79,28.92,-71.31,-219.05,-196.24,4.31,-78.24,-147.18,-158.82,-85.93,-139.19
Net Cash Per Share,-3.66,0.62,-1.52,-4.66,-4.18,0.09,-1.67,-3.13,-3.38,-1.84,-2.92
Filing Date Shares Outstanding,44.51,45.72,46.04,46.18,46.48,46.23,46.39,46.27,46.63,46.38,46.11
Total Common Shares Outstanding,44.51,45.72,46.07,46.19,46.48,46.22,46.39,46.33,46.63,46.38,46.22
Working Capital,615.96,530.46,566.76,452.32,328.63,415.55,381.68,324.02,343.23,326.06,293.45
Book Value Per Share,29.61,27.69,26.19,23.12,20.36,18.34,17.17,15.84,15.03,13.23,12.07
Tangible Book Value,666.32,714.63,634.29,508.54,367.18,447.31,409.36,350.07,332.38,279.17,216.5
Tangible Book Value Per Share,14.97,15.63,13.77,11.01,7.90,9.68,8.82,7.56,7.13,6.02,4.68
Land,178.18,161.86,167.03,159.25,154.54,152.32,142.19,144.3,142.09,121.36,117.75
Machinery,411.27,374.75,373.22,347.76,340.4,335.73,320.17,318.91,321.29,289.69,273.47
Order Backlog,-,140.7,160.6,-,-,-,-,-,-,-,-
