Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,"2,110","2,021","2,065","2,044","1,662","1,247","1,315","1,298","1,125",949.86,924.92
Revenue Growth (YoY),5.06%,-2.12%,1.05%,22.98%,33.23%,-5.12%,1.27%,15.40%,18.43%,2.70%,-11.72%
Cost of Revenue,"1,361","1,304","1,368","1,352","1,086",814.19,886.48,865.76,747.93,618.45,627.32
Gross Profit,748.67,717.28,697.01,691.44,576.09,433.14,428.1,432.37,376.98,331.41,297.61
"Selling, General & Admin",477.78,466.54,433.88,422.88,386.48,303.32,301.65,299.31,266.25,221.13,204.05
Operating Expenses,477.78,466.54,433.88,422.88,386.48,303.32,301.65,299.31,266.25,221.13,204.05
Operating Income,270.89,250.74,263.13,268.56,189.61,129.82,126.45,133.06,110.74,110.27,93.56
Interest Expense,-9.44,-6.32,-11.79,-11.53,-5.2,-4.63,-8.25,-9.84,-10.32,-8.73,-10.04
Interest & Investment Income,-,-,-,-,-,-,-,-,-,1,1.3
Currency Exchange Gain (Loss),-10.1,-6.82,-12.12,-7.24,-2.27,-1.39,-1.64,-0.71,1.03,1.06,-0.87
Other Non Operating Income (Expenses),-3.56,-2.26,4.1,-12.4,2.6,2.41,2.99,-0.04,8.06,1.92,2.84
EBT Excluding Unusual Items,247.79,235.35,243.31,237.4,184.75,126.2,119.55,122.47,109.49,105.52,86.79
Merger & Restructuring Charges,-5.8,-3.5,-1.09,-2.17,-1.52,-2.51,-2.72,-2.07,-4.91,0.5,-3.2
Other Unusual Items,-55.25,-,-,-,6.48,-,-,-,-,-1.9,2.72
Pretax Income,186.74,231.85,242.22,235.23,189.71,123.7,116.84,120.41,104.59,104.11,86.32
Income Tax Expense,43.31,50.24,47.49,46.42,34.73,22.54,20.84,14.89,25.99,24.8,12.63
Earnings From Continuing Operations,143.43,181.61,194.73,188.81,154.98,101.16,96,105.52,78.59,79.32,73.69
Minority Interest in Earnings,-1.94,-1.3,-1.46,-1.48,-1.12,-0.7,-0.52,0.36,-0.41,-0.57,-0.75
Net Income,141.5,180.31,193.27,187.33,153.86,100.46,95.48,105.88,78.18,78.75,72.95
Preferred Dividends & Other Adjustments,0.5,0.7,0.7,0.7,0.9,0.7,0.7,0.8,0.6,1.7,1.5
Net Income to Common,141,179.61,192.57,186.63,152.96,99.76,94.78,105.08,77.58,77.05,71.45
Net Income Growth,-23.60%,-6.71%,3.17%,21.75%,53.15%,5.21%,-9.82%,35.43%,-0.72%,7.95%,4.50%
Shares Outstanding (Basic),45,46,46,46,46,46,46,47,47,46,47
Shares Outstanding (Diluted),46,47,47,47,47,47,47,47,47,47,48
Shares Change (YoY),-1.50%,-0.85%,-0.21%,-,0.64%,-0.21%,-0.43%,-,0.64%,-1.89%,-1.24%
EPS (Basic),3.11,3.91,4.17,4.03,3.30,2.16,2.04,2.25,1.67,1.67,1.52
EPS (Diluted),3.07,3.86,4.11,3.97,3.25,2.14,2.03,2.23,1.65,1.65,1.50
EPS Growth,-22.47%,-6.08%,3.53%,22.15%,51.87%,5.42%,-8.97%,35.15%,-,10.00%,6.38%
Free Cash Flow,202.35,219.67,274.3,59.77,99.65,189,155.82,106,33.27,76.24,73.43
Free Cash Flow Per Share,4.41,4.72,5.85,1.27,2.12,4.05,3.33,2.25,0.71,1.63,1.54
Dividend Per Share,1.045,1.000,0.900,0.780,0.700,0.620,0.580,0.468,0.422,0.398,0.383
Dividend Growth,7.18%,11.11%,15.38%,11.43%,12.90%,6.90%,24.06%,10.65%,6.29%,3.92%,10.07%
Gross Margin,35.48%,35.48%,33.75%,33.83%,34.66%,34.73%,32.57%,33.31%,33.51%,34.89%,32.18%
Operating Margin,12.84%,12.40%,12.74%,13.14%,11.41%,10.41%,9.62%,10.25%,9.84%,11.61%,10.12%
Profit Margin,6.68%,8.89%,9.32%,9.13%,9.20%,8.00%,7.21%,8.09%,6.90%,8.11%,7.72%
Free Cash Flow Margin,9.59%,10.87%,13.28%,2.93%,6.00%,15.15%,11.85%,8.17%,2.96%,8.03%,7.94%
EBITDA,331.4,306.82,315.39,318.93,234.19,166.31,163.43,171.66,149.24,145.81,129.03
EBITDA Margin,15.71%,15.18%,15.27%,15.61%,14.09%,13.33%,12.43%,13.22%,13.27%,15.35%,13.95%
D&A For EBITDA,60.51,56.07,52.26,50.37,44.57,36.49,36.98,38.6,38.51,35.53,35.48
EBIT,270.89,250.74,263.13,268.56,189.61,129.82,126.45,133.06,110.74,110.27,93.56
EBIT Margin,12.84%,12.40%,12.74%,13.14%,11.41%,10.41%,9.62%,10.25%,9.84%,11.61%,10.12%
Effective Tax Rate,23.19%,21.67%,19.61%,19.73%,18.31%,18.22%,17.83%,12.37%,24.85%,23.82%,14.63%
