Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"3,690","1,985","1,376",719,486,511,553,-
Market Cap Growth,101.11%,44.25%,91.51%,47.79%,-4.80%,-7.70%,-,-
Enterprise Value,"3,622","2,018","1,378",535,299,380,429,-
Last Close Price,72.21,41.35,29.52,19.50,15.95,17.46,24.52,-
PS Ratio,7.55,5.89,7.38,9.32,25.41,-,-,-
PB Ratio,12.69,8.80,5.53,5.06,4.04,2.97,4.25,-
P/TBV Ratio,61.16,-,-,8.65,4.79,2.97,4.25,-
P/FCF Ratio,83.01,212.71,-,-,-,-,-,-
P/OCF Ratio,82.31,192.25,-,-,-,-,-,-
EV/Sales Ratio,7.68,5.99,7.39,6.95,15.62,-,-,-
EV/FCF Ratio,81.73,216.27,-,-,-,-,-,-
Debt / Equity Ratio,1.09,1.41,1.24,0.02,0.02,0.02,0.03,-
Debt / FCF Ratio,7.19,34.05,-,-,-,-,-,-
Asset Turnover,0.65,0.51,0.37,0.24,0.07,-,-,-
Inventory Turnover,4.16,3.65,3.38,3.50,-,-,-,-
Quick Ratio,3.01,2.83,4.07,2.72,3.76,12.56,8.92,21.22
Current Ratio,3.31,3.10,4.45,2.94,3.91,12.80,9.13,21.22
Return on Equity (ROE),-15.81%,-37.08%,-83.65%,-103.46%,-57.47%,-68.29%,-60.80%,-
Return on Assets (ROA),-3.60%,-8.31%,-13.65%,-25.33%,-40.48%,-33.64%,-34.44%,-
Return on Capital (ROIC),-4.50%,-9.95%,-19.46%,-61.42%,-72.69%,-42.14%,-38.76%,-
Return on Capital Employed (ROCE),-6.70%,-16.10%,-19.50%,-45.50%,-68.80%,-46.90%,-41.00%,-8.80%
Earnings Yield,-1.13%,-4.43%,-11.88%,-18.88%,-17.27%,-20.22%,-9.50%,-
FCF Yield,1.20%,0.47%,-5.16%,-16.76%,-27.31%,-17.48%,-7.16%,-
Buyback Yield / Dilution,-4.69%,-16.23%,-20.31%,-12.07%,-20.08%,-119.84%,-1177.21%,-
