Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,282.02,222.5,286.33,28,31.34,142.09,11.97,51.96
Short-Term Investments,93.53,57.81,-,123.72,125.2,89.73,104.69,-
Cash & Short-Term Investments,375.55,280.32,286.33,151.72,156.54,231.82,116.66,51.96
Cash Growth,32.03%,-2.10%,88.72%,-3.08%,-32.47%,98.71%,124.51%,-
Accounts Receivable,107.13,78.29,67.97,23.99,3.27,-,-,-
Other Receivables,-,-,-,-,0.3,-,-,-
Receivables,107.13,78.29,67.97,23.99,3.57,-,-,-
Inventory,24.02,22.4,22.31,5.57,1.51,-,-,-
Prepaid Expenses,23.87,11.78,10.94,8.95,4.97,4.53,2.7,0.01
Total Current Assets,530.58,392.79,387.54,190.23,166.59,236.35,119.36,51.98
"Property, Plant & Equipment",9.78,9.81,1.99,2.35,2.55,3.24,3.73,-
Long-Term Investments,2.47,12.53,-,-,4.98,-,23.29,-
Other Intangible Assets,231.9,249.82,252.93,58.95,18.74,-,-,-
Other Long-Term Assets,10.4,5.81,4.17,101.38,101.79,1.27,0.32,-
Total Assets,785.12,670.75,646.62,352.91,294.65,240.86,146.71,51.98
Accounts Payable,12.17,14.62,7.42,8.69,9.17,3.15,3.35,0.27
Accrued Expenses,87.89,72.86,54.89,34.73,24.42,13.41,9.33,2.18
Current Portion of Leases,2.04,1.71,1.1,0.93,0.71,0.64,0.4,-
Other Current Liabilities,58.26,37.36,23.65,20.37,8.3,1.26,-,-
Total Current Liabilities,160.36,126.55,87.06,64.73,42.6,18.46,13.08,2.45
Long-Term Debt,309.37,308.08,306.42,-,-,-,-,-
Long-Term Leases,7.36,7.97,0.62,1.26,1.9,2.63,3.25,-
Other Long-Term Liabilities,15.98,2.51,3.85,144.88,129.94,47.68,0.04,6.99
Total Liabilities,493.07,445.11,397.95,210.87,174.44,68.77,16.36,9.44
Common Stock,0.01,0.01,0.01,0,0,0,0,0
Additional Paid-In Capital,953.82,870.19,803.26,535.07,377.4,345.18,200.12,0.03
Retained Earnings,-661.81,-644.18,-556.24,-392.82,-257.16,-173.17,-69.9,-17.35
Comprehensive Income & Other,0.04,-0.37,1.64,-0.22,-0.04,0.08,0.13,-
Total Common Equity,292.05,225.64,248.67,142.04,120.21,172.1,130.35,-17.31
Shareholders' Equity,292.05,225.64,248.67,142.04,120.21,172.1,130.35,42.54
Total Liabilities & Equity,785.12,670.75,646.62,352.91,294.65,240.86,146.71,51.98
Total Debt,318.76,317.76,308.14,2.19,2.61,3.26,3.65,-
Net Cash (Debt),56.78,-37.45,-21.82,149.53,153.93,228.56,113.01,51.96
Net Cash Growth,-,-,-,-2.86%,-32.65%,102.24%,117.49%,-
Net Cash Per Share,1.15,-0.79,-0.53,4.40,5.08,9.05,9.84,57.78
Filing Date Shares Outstanding,51.39,49.01,47,37.95,31.73,30.42,24.97,0.9
Total Common Shares Outstanding,51.31,48.34,46.72,36.96,30.58,29.78,22.6,0.9
Working Capital,370.22,266.24,300.48,125.5,124,217.89,106.29,49.53
Book Value Per Share,5.69,4.67,5.32,3.84,3.93,5.78,5.77,-19.25
Tangible Book Value,60.15,-24.18,-4.26,83.08,101.47,172.1,130.35,-17.31
Tangible Book Value Per Share,1.17,-0.50,-0.09,2.25,3.32,5.78,5.77,-19.25
Machinery,-,1.64,0.91,0.6,0.2,0.3,0.2,-
Leasehold Improvements,-,0.2,1.3,1.31,1.48,1.29,1.27,-
