Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,151.4,32.9,88.8,54.3,29,81.6,38.9,38.9,167.2,132.4,115.39
Cash & Short-Term Investments,151.4,32.9,88.8,54.3,29,81.6,38.9,38.9,167.2,132.4,115.39
Cash Growth,364.42%,-62.95%,63.54%,87.24%,-64.46%,109.77%,-,-76.73%,26.28%,14.74%,-29.31%
Accounts Receivable,132.6,100.9,73.9,71.7,88.9,61.3,100.2,105.2,53.5,29.08,26.89
Other Receivables,156.6,94.7,95.5,-,-,-,-,-,-,-,-
Receivables,289.2,195.6,169.4,71.7,88.9,61.3,100.2,105.2,53.5,29.08,26.89
Inventory,556.7,539,477,398.8,425.6,291.1,320.6,343.8,317.5,233.56,231.87
Prepaid Expenses,25.1,28.3,27.5,24.5,28.2,12.9,12.2,13.9,14.7,22.21,42.41
Restricted Cash,1.4,2.8,1.5,1.2,11.7,2.7,0.8,0.8,0.8,1.05,0.79
Other Current Assets,3.3,4.2,2.9,127.3,34.8,6.4,14.6,4.1,-,22.31,30.7
Total Current Assets,"1,027",802.8,767.1,677.8,618.2,456,487.3,506.7,553.7,440.62,448.06
"Property, Plant & Equipment",972.2,999.3,"1,029",765.3,915.4,905.3,974.4,967.3,971.9,"1,026","1,232"
Other Long-Term Assets,134.9,137.3,50.5,28.9,36.3,38.3,38,63.5,56,73.42,72.16
Total Assets,"2,134","1,939","1,847","1,472","1,570","1,400","1,500","1,538","1,582","1,540","1,752"
Accounts Payable,207.4,187.3,249.5,167.3,186.5,116.5,130,129.7,110.3,110.33,100.53
Accrued Expenses,124.1,86.8,86.7,68.8,70,78.2,69.1,86.8,60.2,55.27,45.88
Short-Term Debt,-,-,10,-,71.4,7.8,11.8,7.8,7.8,7.82,7.82
Current Portion of Long-Term Debt,139.3,70.9,38.3,146.1,50,20,20,-,-,-,-
Current Portion of Leases,-,3,2.3,1.8,1.6,1.6,2.8,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,-,-,12.2,5.75,13.09
Other Current Liabilities,86.9,115.7,376.2,26.7,167.9,16.2,-,-,-,-,-
Total Current Liabilities,599.1,463.7,763,410.7,547.4,240.3,233.7,224.3,190.5,179.16,167.32
Long-Term Debt,479.2,457.3,430.9,381.6,329.8,288.1,269.2,248.6,248.2,247.7,247.28
Long-Term Leases,-,18.7,21.9,20.9,22.9,24.3,22.8,-,-,-,-
Pension & Post-Retirement Benefits,121.8,130.4,120.3,118,121.9,166.7,161.5,152.1,151.9,175.85,170
Long-Term Deferred Tax Liabilities,70.1,71.2,72.4,103.1,58.7,89.2,95.1,104.3,103.5,108.94,106.05
Other Long-Term Liabilities,166.6,135.4,93.9,38.4,68.2,44.9,42.4,46,57.9,72.03,53.01
Total Liabilities,"1,437","1,277","1,502","1,073","1,149",853.5,824.7,775.3,752,783.67,743.66
Common Stock,1,1,1,1,1,1,1,1,0.9,0.94,0.94
Additional Paid-In Capital,"2,553","2,550","2,543","2,540","2,536","2,530","2,527","2,523","2,517","2,515","2,514"
Retained Earnings,"-1,627","-1,667","-2,004","-1,961","-1,947","-1,780","-1,656","-1,577","-1,511","-1,559","-1,307"
Treasury Stock,-86.3,-86.3,-86.3,-86.3,-86.3,-86.3,-86.3,-86.3,-86.3,-86.28,-86.28
Comprehensive Income & Other,-98.6,-103.3,-97.9,-94,-82.3,-118.8,-109.8,-98.7,-91.7,-113.89,-112.65
Total Common Equity,741.8,694.4,355.6,399.3,421,546.1,675,762.2,829.6,756.65,"1,009"
Minority Interest,-44.4,-31.7,-11.5,-,-,-,-,-,-,-,-
Shareholders' Equity,697.4,662.7,344.1,399.3,421,546.1,675,762.2,829.6,756.66,"1,009"
Total Liabilities & Equity,"2,134","1,939","1,847","1,472","1,570","1,400","1,500","1,538","1,582","1,540","1,752"
Total Debt,618.5,549.9,503.4,550.4,475.7,341.8,326.6,256.4,256,255.51,255.09
Net Cash (Debt),-467.1,-517,-414.6,-496.1,-446.7,-260.2,-287.7,-217.5,-88.8,-123.11,-139.7
Net Cash Per Share,-4.90,-5.25,-4.49,-5.43,-4.95,-2.91,-3.24,-2.48,-1.01,-1.41,-1.60
Filing Date Shares Outstanding,93.34,92.29,92.7,92.32,91.23,90.06,89.19,88.1,87.56,87.26,87.04
Total Common Shares Outstanding,93.34,93.29,92.69,92.32,91.23,90.06,89.19,88.1,87.54,87.25,87.04
Working Capital,428,339.1,4.1,267.1,70.8,215.7,253.6,282.4,363.2,261.46,280.74
Book Value Per Share,7.95,7.44,3.84,4.32,4.61,6.06,7.57,8.65,9.48,8.67,11.59
Tangible Book Value,741.8,694.4,355.6,399.3,421,546.1,675,762.2,829.6,756.65,"1,009"
Tangible Book Value Per Share,7.95,7.44,3.84,4.32,4.61,6.06,7.57,8.65,9.48,8.67,11.59
Land,-,104.3,105.1,39.8,40.1,40.1,41.8,41.8,41.8,42.65,42.65
Buildings,-,404.3,328.8,305.7,341.1,340.1,337.2,337.3,331.7,330.25,325.58
Machinery,-,"1,664","1,581","1,495","1,522","1,507","1,467","1,450","1,399","1,375","1,350"
Construction In Progress,-,44.7,160.3,59,89.6,15.8,44.9,46.3,22.5,21.11,173.42
