Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"2,525","2,220","2,185","2,777","2,213","1,605","1,837","1,893","1,589","1,319","1,950"
Revenue Growth (YoY),20.15%,1.60%,-21.31%,25.53%,37.84%,-12.61%,-2.99%,19.14%,20.47%,-32.35%,0.97%
Cost of Revenue,"2,285","2,035","2,094","2,731","2,088","1,642","1,861","1,916","1,458","1,325","1,909"
Gross Profit,240.4,185,91.9,46.7,124.2,-36.5,-23.9,-22.9,131.3,-6.1,41.31
"Selling, General & Admin",61.4,59,40.3,28.5,64.9,43.5,47.4,40.2,44.8,45.2,42.12
Other Operating Expenses,4.6,4.6,18.4,9,-6.7,0.5,0.8,0.4,2.1,156.1,7.44
Operating Expenses,66,63.6,58.7,37.5,58.2,44,48.2,40.6,46.9,201.3,49.55
Operating Income,174.4,121.4,33.2,9.2,66,-80.5,-72.1,-63.5,84.4,-207.4,-8.24
Interest Expense,-48.2,-43.1,-35.5,-29.3,-30.4,-31.6,-25.1,-22.4,-22.2,-22.2,-21.95
Interest & Investment Income,6.9,2.1,2,0.5,0.8,0.8,0.8,1.5,1.4,0.8,0.34
Earnings From Equity Investments,-17.8,-17.8,-0.1,-0.1,-0.1,-0.1,0.6,4.2,0.8,1.3,2.67
Other Non Operating Income (Expenses),-60,-2.5,-65.1,212.4,-209.3,-13.8,10.9,9.3,-21,4.7,1.24
EBT Excluding Unusual Items,55.3,60.1,-65.5,192.7,-173,-125.2,-84.9,-70.9,43.4,-222.8,-25.94
Merger & Restructuring Charges,-,-,-1.4,-,-,-,-,-,-,-,-30.85
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-4.3,-,-,-,-11.58
Asset Writedown,-,-,-,-159.4,-,-,-,-,-,-3.8,-
Legal Settlements,-,-,-,-,-,-,-,-,5.5,-23,-
Other Unusual Items,-6.2,245.9,-,-,-24.7,-1.2,-,4.5,7.3,-,18.34
Pretax Income,49.1,306,-66.9,33.3,-197.7,-126.4,-89.2,-66.4,56.2,-249.6,-50.03
Income Tax Expense,-0.6,3.2,-14.6,47.4,-30.6,-3.1,-8.4,-0.2,7.6,2.8,9.28
Earnings From Continuing Operations,49.7,302.8,-52.3,-14.1,-167.1,-123.3,-80.8,-66.2,48.6,-252.4,-59.31
Minority Interest in Earnings,17.6,16.1,9.2,-,-,-,-,-,-,-,-
Net Income,67.3,318.9,-43.1,-14.1,-167.1,-123.3,-80.8,-66.2,48.6,-252.4,-59.31
Preferred Dividends & Other Adjustments,-13.5,-,-,-,-,-,-,-,3.9,-,-
Net Income to Common,80.8,318.9,-43.1,-14.1,-167.1,-123.3,-80.8,-66.2,44.7,-252.4,-59.31
Shares Outstanding (Basic),93,93,92,91,90,90,89,88,87,87,87
Shares Outstanding (Diluted),95,98,92,91,90,90,89,88,88,87,87
Shares Change (YoY),-2.01%,6.49%,1.09%,1.33%,0.78%,0.79%,1.37%,-0.46%,1.03%,-0.32%,-2.30%
EPS (Basic),0.87,3.44,-0.47,-0.15,-1.85,-1.38,-0.91,-0.76,0.51,-2.90,-0.68
EPS (Diluted),0.83,3.27,-0.47,-0.15,-1.85,-1.38,-0.91,-0.76,0.51,-2.90,-0.68
Free Cash Flow,-37.5,-106.9,10.6,-60.4,-147.7,29.5,-41.9,-152.1,19.7,16.3,-22.83
Free Cash Flow Per Share,-0.39,-1.09,0.12,-0.66,-1.64,0.33,-0.47,-1.74,0.22,0.19,-0.26
Gross Margin,9.52%,8.33%,4.21%,1.68%,5.61%,-2.27%,-1.30%,-1.21%,8.26%,-0.46%,2.12%
Operating Margin,6.91%,5.47%,1.52%,0.33%,2.98%,-5.01%,-3.93%,-3.35%,5.31%,-15.72%,-0.42%
Profit Margin,3.20%,14.36%,-1.97%,-0.51%,-7.55%,-7.68%,-4.40%,-3.50%,2.81%,-19.13%,-3.04%
Free Cash Flow Margin,-1.49%,-4.81%,0.48%,-2.17%,-6.68%,1.84%,-2.28%,-8.03%,1.24%,1.24%,-1.17%
EBITDA,253,203.2,107.9,82.6,148.6,2.5,11.1,26.6,168.6,-122.6,71.88
EBITDA Margin,10.02%,9.15%,4.94%,2.97%,6.72%,0.16%,0.60%,1.41%,10.61%,-9.29%,3.69%
D&A For EBITDA,78.6,81.8,74.7,73.4,82.6,83,83.2,90.1,84.2,84.8,80.12
EBIT,174.4,121.4,33.2,9.2,66,-80.5,-72.1,-63.5,84.4,-207.4,-8.24
EBIT Margin,6.91%,5.47%,1.52%,0.33%,2.98%,-5.01%,-3.93%,-3.35%,5.31%,-15.72%,-0.42%
Effective Tax Rate,-,1.05%,-,142.34%,-,-,-,-,13.52%,-,-
Revenue as Reported,"2,525","2,220","2,185","2,777","2,213","1,605","1,837","1,893","1,589","1,319","1,950"
