Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,539","1,691","1,122",747,"1,493",987,668,641,"1,715",745,384
Market Cap Growth,55.06%,50.72%,50.13%,-49.94%,51.22%,47.75%,4.28%,-62.65%,130.10%,93.99%,-82.30%
Enterprise Value,"3,006","2,120","1,617","1,194","1,847","1,255",967,838,"1,797",883,516
Last Close Price,28.04,18.22,12.14,8.18,16.56,11.03,7.51,7.31,19.64,8.56,4.42
PE Ratio,32.62,5.30,-,-,-,-,-,-,38.37,-,-
Forward PE,5.89,8.21,50.31,-,5.22,52.52,-,-,20.01,-,-
PS Ratio,1.04,0.76,0.51,0.27,0.68,0.62,0.36,0.34,1.08,0.56,0.20
PB Ratio,3.53,2.55,3.26,1.87,3.55,1.81,0.99,0.84,2.07,0.99,0.38
P/TBV Ratio,3.42,2.44,3.16,1.87,3.55,1.81,0.99,0.84,2.07,0.99,0.38
P/FCF Ratio,-,-,105.83,-,-,33.46,-,-,87.06,45.73,-
P/OCF Ratio,62.24,-,10.62,28.85,-,23.01,37.74,-,33.30,19.51,12.06
PEG Ratio,-,7.09,7.09,7.09,7.09,7.09,7.09,7.09,10.00,-,-
EV/Sales Ratio,1.19,0.96,0.74,0.43,0.84,0.78,0.53,0.44,1.13,0.67,0.27
EV/EBITDA Ratio,11.88,10.44,14.98,14.45,12.43,501.85,87.16,31.50,10.66,-,7.18
EV/EBIT Ratio,17.24,17.47,48.70,129.74,27.99,-,-,-,21.29,-,-
EV/FCF Ratio,-,-,152.53,-,-,42.53,-,-,91.21,54.18,-
Debt / Equity Ratio,0.89,0.83,1.46,1.38,1.13,0.63,0.48,0.34,0.31,0.34,0.25
Debt / EBITDA Ratio,2.37,2.60,4.44,6.29,3.09,44.39,17.01,9.64,1.52,-,3.55
Debt / FCF Ratio,-,-,47.49,-,-,11.59,-,-,13.00,15.68,-
Asset Turnover,1.25,1.17,1.32,1.83,1.49,1.11,1.21,1.21,1.02,0.80,1.03
Inventory Turnover,4.15,4.01,4.78,6.62,5.83,5.37,5.60,5.80,5.29,5.69,7.41
Quick Ratio,0.74,0.49,0.34,0.31,0.22,0.60,0.60,0.64,1.16,0.90,0.85
Current Ratio,1.71,1.73,1.00,1.65,1.13,1.90,2.09,2.26,2.91,2.46,2.68
Return on Equity (ROE),7.50%,60.15%,-14.07%,-3.44%,-34.56%,-20.20%,-11.24%,-8.32%,6.13%,-28.59%,-5.61%
Return on Assets (ROA),5.41%,4.01%,1.25%,0.38%,2.78%,-3.47%,-2.97%,-2.54%,3.38%,-7.87%,-0.27%
Return on Capital (ROIC),8.97%,7.37%,2.31%,0.62%,4.62%,-5.33%,-4.46%,-3.77%,5.03%,-11.39%,-0.39%
Return on Capital Employed (ROCE),11.40%,8.20%,3.10%,0.90%,6.50%,-6.90%,-5.70%,-4.80%,6.10%,-15.20%,-0.50%
Earnings Yield,3.18%,18.86%,-3.84%,-1.89%,-11.20%,-12.49%,-12.10%,-10.33%,2.83%,-33.86%,-15.44%
FCF Yield,-1.48%,-6.32%,0.95%,-8.08%,-9.90%,2.99%,-6.27%,-23.74%,1.15%,2.19%,-5.94%
Buyback Yield / Dilution,2.01%,-6.49%,-1.09%,-1.33%,-0.78%,-0.79%,-1.37%,0.46%,-1.03%,0.32%,2.30%
