Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"2,727","2,626","2,332","1,876","1,748","1,742","1,803","1,646","1,479","1,460","1,459"
Interest Income on Investments,"1,020","1,047",913.65,589.75,374.81,349.16,457.83,376.11,247.18,174.85,144.31
Total Interest Income,"3,747","3,673","3,245","2,466","2,123","2,092","2,261","2,022","1,726","1,635","1,603"
Interest Paid on Deposits,"1,212","1,336","1,050",252.85,111.62,175.86,304.86,204.27,141.86,127.58,107.53
Interest Paid on Borrowings,60.82,54.85,63.76,45.71,53.43,59.08,64.24,82.71,82.12,84.94,86.5
Total Interest Expense,"1,273","1,391","1,114",298.55,165.05,234.94,369.1,286.97,223.98,212.52,194.03
Net Interest Income,"2,474","2,282","2,132","2,167","1,958","1,857","1,892","1,735","1,502","1,422","1,409"
Net Interest Income Growth (YoY),11.17%,7.07%,-1.65%,10.72%,5.44%,-1.85%,9.04%,15.51%,5.62%,0.93%,49.09%
Mortgage Banking Activities,17.64,19.06,21.5,42.45,50.13,10.4,32.09,52.8,25.5,56.54,81.8
Income From Trading Activities,1.45,1.45,1.38,-0.78,-0.39,1.03,0.99,-0.21,-0.82,-0.79,-4.72
Gain (Loss) on Sale of Assets,-,-,-,-,7.01,5.55,-,-,-,-,-
Gain (Loss) on Sale of Investments,1.19,-1.58,3.48,233.08,0.15,6.32,2.49,-2.08,-7.97,1.75,-14.3
Gain (Loss) on Sale of Equity Investments,24.58,23.54,27.45,29.52,26.15,17.8,17.27,15.55,11.58,8.66,2.93
Other Non-Interest Income,456.13,464.66,438.35,426.35,396.45,322.15,356.11,332.97,237.58,198.88,293.19
Total Non-Interest Income,656.44,658.91,639.52,887.82,642.13,512.31,569.88,549.74,419.17,434.13,519.54
Non-Interest Income Growth (YoY),0.72%,3.03%,-27.97%,38.26%,25.34%,-10.10%,3.66%,31.15%,-3.45%,-16.44%,34.42%
Revenues Before Loan Losses,"3,131","2,941","2,771","3,055","2,600","2,369","2,462","2,285","1,921","1,856","1,929"
Provision for Loan Losses,254.25,256.94,208.61,83.03,-193.46,292.54,165.78,228.07,325.42,170.02,241.48
Revenue,"2,877","2,684","2,562","2,972","2,793","2,076","2,296","2,057","1,596","1,686","1,687"
Revenue Growth (YoY),10.30%,4.75%,-13.79%,6.41%,34.52%,-9.56%,11.63%,28.88%,-5.37%,-0.05%,58.94%
Salaries and Employee Benefits,866.47,800.35,760.85,702.66,614.03,552.71,576.67,548.89,468.66,467.5,464.12
Occupancy Expenses,78.74,80.06,79.39,75.04,71.59,87.52,65.44,88.33,89.19,85.65,82.79
Federal Deposit Insurance,25.75,40.34,34.55,26.79,25.58,23.87,18.18,27.76,26.39,24.51,27.63
Amortization of Goodwill & Intangibles,2.07,2.94,3.18,3.28,9.13,6.4,9.37,9.33,9.38,12.14,11.02
"Selling, General & Administrative",792.91,803.28,787.87,778.75,694.41,655.02,612.3,524.76,446.64,472.08,463.82
Other Non-Interest Expense,148.7,164.5,153.21,173.05,148.95,135.8,191.22,186.65,168.39,142.83,134.87
Total Non-Interest Expense,"1,899","1,873","1,804","1,737","1,549","1,458","1,477","1,409","1,257","1,252","1,270"
EBT Excluding Unusual Items,977.2,810.91,758.77,"1,235","1,244",618.56,818.32,647.51,338.51,434.34,417.24
Other Unusual Items,-14.29,-14.29,-71.44,9.24,-,-,-,90.23,-,-136.2,-
Pretax Income,949.91,796.62,675.54,"1,235","1,244",618.56,818.32,737.74,338.51,294.34,398.83
Income Tax Expense,172.83,182.41,134.2,132.33,309.02,111.94,147.18,119.58,230.83,78.78,-495.17
Earnings From Continuing Operations,777.08,614.21,541.34,"1,103",934.89,506.62,671.14,618.16,107.68,215.56,894
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,1.14,1.35
Net Income,777.08,614.21,541.34,"1,103",934.89,506.62,671.14,618.16,107.68,216.69,895.34
Preferred Dividends & Other Adjustments,1.41,1.41,1.41,1.41,1.41,1.76,3.72,3.72,3.72,3.72,3.72
Net Income to Common,775.66,612.8,539.93,"1,101",933.48,504.86,667.41,614.44,103.96,212.97,891.62
Net Income Growth,46.34%,13.46%,-50.91%,17.94%,84.53%,-24.51%,8.57%,474.06%,-50.31%,-75.80%,-
Basic Shares Outstanding,69,72,72,75,81,86,97,101,102,103,103
Diluted Shares Outstanding,69,72,72,75,81,86,97,101,102,103,103
Shares Change (YoY),-4.35%,-0.23%,-4.63%,-7.55%,-5.30%,-11.36%,-4.25%,-0.72%,-1.29%,0.24%,0.27%
EPS (Basic),11.28,8.56,7.53,14.65,11.49,5.88,6.89,6.07,1.02,2.06,8.66
EPS (Diluted),11.28,8.56,7.52,14.63,11.46,5.87,6.88,6.06,1.02,2.06,8.65
EPS Growth,53.22%,13.83%,-48.60%,27.66%,95.23%,-14.68%,13.53%,494.39%,-50.53%,-76.18%,-
Dividend Per Share,2.850,2.560,2.270,2.200,1.750,1.600,1.200,1.000,1.000,0.600,0.300
Dividend Growth,14.92%,12.78%,3.18%,25.71%,9.38%,33.33%,20.00%,-,66.67%,100.00%,-
Effective Tax Rate,18.20%,22.90%,19.86%,10.71%,24.84%,18.10%,17.99%,16.21%,68.19%,26.77%,-
