Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,370.68,411.38,383.39,423.23,411.35,484.86,361.71,353.94,381.29,362.39,363.67
Investment Securities,"33,134","32,641","32,117","32,045","42,810","33,434","21,059","17,526","15,364","10,939","7,833"
Trading Asset Securities,60.82,58.15,55.89,46.79,55.8,57.22,57.69,50.79,49.84,62.4,69.11
Mortgage-Backed Securities,1.51,1.52,1.56,0.02,0.03,0.03,0.05,0.06,0.07,0.07,0.09
Total Investments,"33,196","32,701","32,174","32,092","42,866","33,491","21,117","17,577","15,414","11,002","7,902"
Gross Loans,"39,154","37,584","35,499","32,475","29,658","29,735","27,775","26,812","25,212","23,690","23,281"
Allowance for Loan Losses,-786.22,-746.02,-729.34,-720.3,-695.37,-896.25,-477.71,-569.35,-623.43,-540.65,-537.11
Other Adjustments to Gross Loans,-424.8,-415.34,-355.91,-295.16,-265.67,-203.23,-180.98,-155.82,-130.63,-121.43,-107.7
Net Loans,"37,943","36,423","34,414","31,459","28,697","28,635","27,116","26,087","24,458","23,028","22,637"
"Property, Plant & Equipment",802.74,714.35,702.48,643.17,649.45,657.63,719.39,569.81,547.14,543.98,502.61
Goodwill,789.95,802.95,804.43,827.43,720.29,671.12,671.12,671.12,627.29,627.29,626.39
Other Intangible Assets,187.66,143.27,103.17,94.81,61.13,22.47,28.78,26.83,35.67,45.05,58.11
Loans Held for Sale,7.78,5.42,4.3,5.38,59.17,99.46,59.2,51.42,132.4,88.82,137
Accrued Interest Receivable,297.35,263.39,263.43,240.2,203.1,209.32,180.87,166.02,213.84,138.04,124.23
Other Receivables,10.47,15.19,199.1,160.1,65.46,65.43,47.05,40.09,77.51,46.63,78.76
Restricted Cash,6.4,18.03,44.19,52.93,23.17,12.24,32.62,49.32,31.34,-,-
Other Current Assets,89.09,71.94,68.49,72.95,72.86,107.43,130.25,117.18,254.25,274.36,279.69
Long-Term Deferred Tax Assets,837.38,926.33,"1,009",953.68,657.6,851.59,886.35,"1,050","1,035","1,244","1,302"
Other Real Estate Owned & Foreclosed,42.95,57.27,80.42,89.13,85.08,83.15,122.07,136.71,188.86,212.57,191.92
Other Long-Term Assets,425.86,436.31,458.18,457.88,466.63,485.31,598.99,657.55,823.24,990.82,"1,499"
Total Assets,"75,066","73,045","70,758","67,638","75,098","65,926","52,115","47,605","44,277","38,662","35,762"
Accounts Payable,99.65,91.22,89.34,76.46,91.8,69.78,65.69,66.38,-,-,-
Accrued Expenses,332.2,334.15,337.7,337.28,308.59,235.45,273.18,276.12,2.04,-,-
Interest Bearing Deposits,"47,735","46,115","45,140","42,721","48,695","40,955","30,057","26,205","22,894","19,377","16,657"
Institutional Deposits,"3,904","3,630","3,059","2,546","2,626","2,783","4,541","4,356","4,068","4,139","4,151"
Non-Interest Bearing Deposits,"14,874","15,140","15,420","15,961","15,684","13,129","9,160","9,149","8,491","6,980","6,402"
Total Deposits,"66,513","64,884","63,618","61,227","67,005","56,866","43,759","39,710","35,454","30,496","27,210"
Short-Term Borrowings,461.83,270.51,54.55,427.94,166.68,173.64,294.17,372.78,375.83,55.6,55.67
Current Portion of Long-Term Debt,4.41,18.43,47.79,99.94,12.01,4.85,2.13,76.63,111.55,426.91,712.15
Current Portion of Leases,-,33.17,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,53.68,60.72,59.1,39.29,33.23,38.62,44.03,44.64,-,-,-
Other Current Liabilities,357.15,544.69,44.77,48.99,49.73,753.91,33.11,25.16,-,-,1.82
Long-Term Debt,396.25,395.2,393.94,299.11,298.56,297.58,295.31,294.04,446.87,462.86,461.71
"Federal Home Loan Bank Debt, Long-Term",195.31,302.72,394.67,389.28,492.43,542.47,421.4,524.05,631.49,672.67,761.5
Long-Term Leases,136.85,93.17,152.72,162.03,173.83,175.16,184.95,20.41,18.64,-,-
Trust Preferred Securities,198.39,198.37,198.35,198.32,198.29,384.93,384.9,384.88,439.35,439.32,439.3
Pension & Post-Retirement Benefits,103.45,104.99,123.82,126.63,170.77,214.78,221.3,222.15,-,-,-
