Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,137.3,111.1,83.28,41.03,33.58,18.9,11.41,1.35
Revenue Growth (YoY),30.20%,33.41%,102.98%,22.19%,77.62%,65.64%,748.55%,-
Cost of Revenue,79.83,70.64,74.97,30.1,24.49,17.39,17.43,3.54
Gross Profit,57.47,40.46,8.31,10.93,9.09,1.51,-6.02,-2.2
"Selling, General & Admin",96.54,86.55,96.12,92.04,74.22,29.96,19.05,9.53
Research & Development,66.83,58.08,91.21,64.32,34.58,23.32,23.3,17.99
Operating Expenses,163.37,144.64,187.33,156.35,108.8,53.28,42.35,27.52
Operating Income,-105.9,-104.18,-179.02,-145.42,-99.71,-51.76,-48.36,-29.71
Interest Expense,-,-1.82,-9.3,-2.69,-0.5,-2.52,-3.58,-0.82
Interest & Investment Income,8.53,8.85,9.04,2.21,0.47,0.02,0.28,0.02
Currency Exchange Gain (Loss),-,-,-,-,0.02,-0.01,0.01,-
Other Non Operating Income (Expenses),0.84,0.65,-0.13,7.65,2.95,-53.75,-0.01,0.03
EBT Excluding Unusual Items,-96.53,-96.51,-179.41,-138.26,-96.78,-108.02,-51.66,-30.49
Impairment of Goodwill,-,-,-166.68,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-,-2.32
Legal Settlements,-,-,-27.5,-,-,-,-,-
Other Unusual Items,5.4,-,-,-,-,1.61,-,-
Pretax Income,-91.13,-96.51,-373.59,-138.26,-96.78,-106.41,-51.66,-32.81
Income Tax Expense,-3.03,0.54,0.52,0.31,-2.79,0.38,0,0
Net Income,-88.1,-97.05,-374.11,-138.56,-93.98,-106.78,-51.66,-32.81
Net Income to Common,-88.1,-97.05,-374.11,-138.56,-93.98,-106.78,-51.66,-32.81
Shares Outstanding (Basic),54,47,37,18,13,2,1,1
Shares Outstanding (Diluted),54,47,37,18,13,2,1,1
Shares Change (YoY),21.72%,25.76%,108.19%,32.86%,649.86%,141.65%,-7.38%,-
EPS (Basic),-1.64,-2.08,-10.10,-7.79,-7.02,-59.79,-69.90,-41.12
EPS (Diluted),-1.64,-2.08,-10.10,-7.79,-7.02,-59.79,-69.90,-41.12
Free Cash Flow,-31.68,-37.45,-140.9,-116.11,-75.34,-45.63,-47.68,-34.29
Free Cash Flow Per Share,-0.59,-0.80,-3.80,-6.53,-5.63,-25.55,-64.52,-42.98
Gross Margin,41.86%,36.42%,9.98%,26.64%,27.06%,8.00%,-52.70%,-163.27%
Operating Margin,-77.13%,-93.77%,-214.96%,-354.44%,-296.95%,-273.81%,-423.75%,-2209.07%
Profit Margin,-64.17%,-87.35%,-449.23%,-337.71%,-279.89%,-564.85%,-452.65%,-2439.11%
Free Cash Flow Margin,-23.08%,-33.71%,-169.19%,-283.00%,-224.39%,-241.36%,-417.78%,-2549.59%
EBITDA,-98.2,-94.34,-161.87,-135.97,-94.56,-48.04,-46.33,-28.64
EBITDA Margin,-71.52%,-84.91%,-194.37%,-,-281.63%,-254.15%,-,-
D&A For EBITDA,7.7,9.84,17.15,9.46,5.15,3.72,2.03,1.07
EBIT,-105.9,-104.18,-179.02,-145.42,-99.71,-51.76,-48.36,-29.71
EBIT Margin,-77.13%,-93.77%,-214.96%,-,-296.95%,-273.81%,-,-
Revenue as Reported,-,-,-,-,33.58,18.9,11.41,1.35
