Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"1,183",608,312,159,892,338,-,-
Market Cap Growth,247.29%,94.87%,95.76%,-82.13%,164.40%,-,-,-
Enterprise Value,"1,016",479,179,63,684,380,-,-
Last Close Price,20.95,12.22,7.67,8.63,52.00,135.00,-,-
PS Ratio,8.22,5.47,3.75,3.89,26.58,17.85,-,-
PB Ratio,5.08,3.36,1.74,0.93,3.42,-9.20,-,-
P/TBV Ratio,5.34,3.73,2.01,1.56,4.77,-,-,-
EV/Sales Ratio,7.40,4.31,2.15,1.53,20.36,20.12,-,-
Debt / Equity Ratio,0.06,0.11,0.39,0.33,0.07,-0.59,-1.51,-3.23
Asset Turnover,0.45,0.37,0.28,0.15,0.19,0.44,0.34,-
Inventory Turnover,4.54,3.56,3.51,2.23,3.99,4.77,8.18,-
Quick Ratio,2.94,2.48,2.82,4.64,8.81,0.73,0.44,4.11
Current Ratio,3.26,2.80,3.22,5.51,9.38,1.01,0.53,5.09
Return on Equity (ROE),-42.03%,-53.83%,-212.99%,-64.10%,-83.91%,-,-,-
Return on Assets (ROA),-21.74%,-21.46%,-38.13%,-32.24%,-35.20%,-75.00%,-90.71%,-
Return on Capital (ROIC),-28.97%,-28.89%,-46.87%,-35.80%,-47.02%,-406.63%,-112.78%,-
Return on Capital Employed (ROCE),-40.70%,-52.70%,-71.90%,-64.20%,-34.90%,-203.00%,9557.90%,-127.00%
Earnings Yield,-7.08%,-15.96%,-119.86%,-86.91%,-10.53%,-31.64%,-,-
FCF Yield,-2.54%,-6.16%,-45.14%,-72.83%,-8.44%,-13.52%,-,-
Buyback Yield / Dilution,-21.72%,-25.76%,-108.19%,-32.86%,-649.86%,-141.65%,7.38%,-
