Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"5,993","5,882","6,663","5,451","7,751","6,134","4,677","4,227","4,493","3,420","2,386"
Market Cap Growth,-3.88%,-11.72%,22.23%,-29.67%,26.36%,31.15%,10.65%,-5.92%,31.39%,43.31%,7.44%
Enterprise Value,"6,067","6,180","7,147","6,008","7,734","6,239","4,894","4,430","4,622","3,662","2,255"
Last Close Price,240.68,234.89,262.32,213.78,302.72,240.37,181.51,157.17,183.59,139.74,97.53
PE Ratio,50.74,58.71,25.68,14.60,27.31,47.19,33.63,25.69,37.59,32.73,29.51
Forward PE,19.93,25.00,26.38,15.86,23.96,34.48,31.03,16.80,24.83,22.09,19.79
PS Ratio,2.57,2.69,2.82,2.17,3.73,4.24,3.11,2.46,3.68,3.24,2.75
PB Ratio,2.24,2.44,2.69,2.47,4.09,3.81,3.13,2.86,4.84,4.20,3.23
P/TBV Ratio,7.00,8.37,11.81,12.67,13.93,12.27,13.21,14.58,16.63,17.25,5.21
P/FCF Ratio,15.72,20.16,17.95,17.29,27.41,30.39,25.50,16.44,22.11,25.54,19.59
P/OCF Ratio,13.15,16.00,14.57,12.99,20.76,23.77,19.07,12.74,16.69,18.98,14.39
PEG Ratio,1.66,2.08,2.20,1.32,1.93,2.87,2.59,0.99,1.34,1.19,1.26
EV/Sales Ratio,2.61,2.82,3.03,2.39,3.72,4.32,3.25,2.58,3.78,3.47,2.60
EV/EBITDA Ratio,13.34,15.54,13.85,9.16,15.55,20.91,16.44,11.74,16.31,17.47,11.80
EV/EBIT Ratio,18.84,23.13,18.88,11.22,19.40,30.86,23.85,16.17,20.97,23.40,15.09
EV/FCF Ratio,15.91,21.18,19.26,19.05,27.35,30.91,26.68,17.23,22.74,27.35,18.51
Debt / Equity Ratio,0.33,0.39,0.38,0.48,0.35,0.44,0.47,0.47,0.53,0.56,0.23
Debt / EBITDA Ratio,1.87,2.23,1.75,1.58,1.31,2.29,2.29,1.84,1.75,2.17,0.89
Debt / FCF Ratio,2.34,3.19,2.52,3.36,2.36,3.50,3.84,2.70,2.44,3.39,1.40
Asset Turnover,0.56,0.56,0.60,0.71,0.71,0.55,0.58,0.79,0.76,0.83,0.81
Inventory Turnover,3.44,3.15,2.86,3.00,3.69,3.81,3.86,5.15,5.61,5.96,5.43
Quick Ratio,2.84,2.36,2.25,1.53,1.73,3.34,3.25,2.45,2.72,2.42,2.26
Current Ratio,4.00,3.58,3.75,2.64,2.92,4.42,4.45,3.50,3.53,3.26,2.77
Return on Equity (ROE),4.52%,4.09%,11.06%,18.19%,16.21%,8.37%,9.35%,13.68%,13.72%,13.45%,11.03%
Return on Assets (ROA),4.89%,4.23%,5.99%,9.49%,8.45%,4.76%,4.96%,7.87%,8.53%,7.65%,8.74%
Return on Capital (ROIC),5.70%,4.94%,7.08%,11.47%,10.22%,5.60%,5.87%,9.53%,10.23%,8.98%,10.19%
Return on Capital Employed (ROCE),8.60%,7.70%,10.50%,16.10%,14.70%,8.20%,8.80%,11.80%,14.50%,12.00%,17.50%
Earnings Yield,1.98%,1.70%,3.89%,6.85%,3.66%,2.12%,2.97%,3.89%,2.66%,3.06%,3.39%
FCF Yield,6.36%,4.96%,5.57%,5.79%,3.65%,3.29%,3.92%,6.08%,4.52%,3.92%,5.10%
Dividend Yield,1.25%,1.15%,0.95%,1.06%,0.67%,0.80%,1.00%,1.02%,0.76%,0.89%,1.11%
Payout Ratio,61.14%,66.93%,23.96%,14.98%,17.52%,36.03%,32.13%,24.30%,26.58%,26.67%,30.10%
Buyback Yield / Dilution,0.22%,0.25%,-0.46%,-0.22%,-1.38%,0.91%,1.65%,-10.05%,-0.90%,-0.03%,0.03%
Total Shareholder Return,1.47%,1.40%,0.49%,0.84%,-0.72%,1.71%,2.66%,-9.03%,-0.14%,0.85%,1.14%
