Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,814.73,724.92,555.51,562.59,478.47,687.53,531.14,489.73,429.68,275.12,328.79
Short-Term Investments,0.29,0.98,0.24,0.08,0.03,0.05,0.04,0.03,0.04,3.69,4.18
Trading Asset Securities,1.6,2.48,3.71,3.94,-,-,-,-,-,-,-
Cash & Short-Term Investments,816.62,728.38,559.46,566.61,478.5,687.58,531.18,489.77,429.71,278.81,332.97
Cash Growth,29.12%,30.19%,-1.26%,18.41%,-30.41%,29.44%,8.46%,13.98%,54.12%,-16.26%,10.30%
Receivables,373.83,294.37,287.02,306.58,275.19,232.76,202.31,232.89,182.7,176.03,142.88
Inventory,396.87,416.27,474.61,547.69,445.67,258,237.51,258.23,140.79,114.06,98.63
Prepaid Expenses,69.15,60.71,78.81,76.71,66.09,35.94,28.56,49.29,37.45,31.5,7.94
Restricted Cash,-,-,-,0.8,2.72,-,-,-,-,-,-
Other Current Assets,18.02,52.27,8.7,13.4,2.04,3.03,4.83,2.34,1.69,11.67,1.51
Total Current Assets,"1,674","1,552","1,409","1,512","1,270","1,217","1,004","1,033",792.34,612.08,583.93
"Property, Plant & Equipment",601.08,549.28,555.52,538.49,467.51,361.79,366.54,339.89,250.58,217.18,162.57
Long-Term Investments,21.92,26.96,26.96,28.86,39.21,30.55,24.1,25.41,10.99,13.93,15.2
Goodwill,"1,356","1,229","1,310","1,187",929.79,816.81,820.59,826.72,453.41,403.54,189.77
Other Intangible Assets,458.78,482.12,606.14,593.97,407.13,291.89,321.25,361.47,203.85,213.03,91.62
Long-Term Deferred Tax Assets,5.71,4.9,10.49,14.37,13.13,11.22,8.07,7.33,11.86,20.59,8.33
Other Long-Term Assets,56.35,48.01,77.57,29.33,24.73,18.02,14.97,20.97,17.07,10.85,14.06
Total Assets,"4,174","3,892","3,995","3,904","3,152","2,748","2,560","2,614","1,740","1,491","1,065"
Accounts Payable,204.02,188.36,173.54,208.57,222.04,145.98,117.32,126.32,101.84,90.71,51.66
Accrued Expenses,152.53,120.68,126.77,164.13,145.92,92.66,72.21,130.17,98.96,81.73,60.55
Current Portion of Long-Term Debt,16.96,67.61,14.02,134.87,25,-,10,10,6.25,6.25,87
Current Portion of Leases,11.07,13.9,12.11,12.84,9.02,6.81,7.26,-,-,-,-
Current Income Taxes Payable,24.3,29.66,38.73,41.79,27.91,19.19,14.12,20.55,16.29,8.85,11.84
Current Unearned Revenue,3.11,1.56,2.2,2.59,1.11,2.96,0.83,-,-,-,-
Other Current Liabilities,7.08,12.14,8.14,7.5,3.65,8.05,3.82,8.24,1.46,-,-
Total Current Liabilities,419.06,433.91,375.49,572.3,434.63,275.65,225.56,295.28,224.79,187.54,211.05
Long-Term Debt,788.82,788.5,857.92,866.62,611.9,687.03,669.16,684.73,489.36,447.89,83.75
Long-Term Leases,73.42,60.56,49.47,45.66,22.31,12.95,17.17,-,-,-,-
Pension & Post-Retirement Benefits,33.66,32.74,37.52,30.54,39.64,48.1,40.1,31.87,18.74,13.4,5.65
Long-Term Deferred Tax Liabilities,103.92,95.53,110.82,100.23,81.29,50.13,49.76,51.85,17.07,7.07,8.01
Other Long-Term Liabilities,83.37,66.93,83.57,77.01,68.42,64.95,62.14,72.23,62.58,20.37,17.76
Total Liabilities,"1,502","1,478","1,515","1,692","1,258","1,139","1,064","1,136",812.55,676.26,326.22
Common Stock,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.23,0.23,0.22
Additional Paid-In Capital,"1,092","1,049","1,012",974.1,946.59,907.86,868,835.83,310.01,291.26,259.55
Retained Earnings,"1,933","1,816","1,783","1,585","1,268","1,034",950.9,856.51,722.14,634.39,557.77
Treasury Stock,-338.62,-305.35,-259.26,-252.87,-248.12,-242.37,-216.45,-116.45,-41.29,-36.51,-32.77
Comprehensive Income & Other,-14.39,-146.36,-55.82,-95.76,-73.46,-91.16,-106.82,-97.92,-63.67,-74.58,-45.67
