Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"3,089","4,731","5,386","4,292","5,917","5,389","2,353","2,065",-,-
Market Cap Growth,-34.53%,-12.16%,25.48%,-27.46%,9.80%,129.06%,13.92%,-,-,-
Enterprise Value,"3,125","4,592","5,111","4,169","5,692","5,182","2,098","1,801",-,-
Last Close Price,26.06,39.38,46.06,38.15,55.07,52.26,23.96,22.19,-,-
Forward PE,15.35,28.36,65.47,91.33,216.30,216.76,-,-,-,-
PS Ratio,3.22,5.26,6.74,6.28,10.93,12.24,6.64,7.72,-,-
PB Ratio,9.08,11.83,15.55,15.85,27.48,35.77,23.79,16.96,-,-
P/TBV Ratio,-,-,-,-,-,64.88,80.41,17.06,-,-
P/FCF Ratio,12.33,22.19,36.35,35.24,63.71,118.83,-,-,-,-
P/OCF Ratio,11.67,21.75,35.94,32.73,61.15,83.90,-,-,-,-
PEG Ratio,-,1.49,3.45,4.15,-,-,-,-,-,-
EV/Sales Ratio,3.21,5.10,6.40,6.10,10.52,11.77,5.92,6.74,-,-
EV/EBITDA Ratio,81.37,133.67,-,-,-,-,-,-,-,-
EV/EBIT Ratio,183.67,4007.18,-,-,-,-,-,-,-,-
EV/FCF Ratio,12.46,21.54,34.50,34.23,61.28,114.26,-,-,-,-
Debt / Equity Ratio,1.21,1.06,1.19,1.55,1.96,0.39,0.46,0.09,-0.02,-
Debt / EBITDA Ratio,8.80,9.95,-,-,-,-,-,-,-,-
Debt / FCF Ratio,1.67,1.98,2.79,3.45,4.55,1.29,-,-,-,-
Asset Turnover,0.59,0.54,0.52,0.51,0.56,0.71,0.70,0.86,1.39,-
Quick Ratio,0.81,1.13,1.03,1.29,1.34,1.09,0.94,1.38,0.43,0.66
Current Ratio,0.94,1.27,1.19,1.47,1.55,1.29,1.11,1.56,0.62,0.83
Return on Equity (ROE),-8.95%,-9.73%,-25.37%,-37.94%,-25.51%,-34.24%,-89.74%,-528.30%,-,-
Return on Assets (ROA),0.65%,0.04%,-1.57%,-3.03%,-2.25%,-3.61%,-10.65%,-14.52%,-18.88%,-
Return on Capital (ROIC),1.35%,0.09%,-3.29%,-6.13%,-5.15%,-12.75%,-39.20%,-227.09%,-,-
Return on Capital Employed (ROCE),1.80%,0.10%,-,-,-,-,-,-,-,-
Earnings Yield,-1.08%,-0.77%,-1.45%,-2.15%,-0.79%,-0.79%,-4.21%,-3.56%,-,-
FCF Yield,8.11%,4.51%,2.75%,2.84%,1.57%,0.84%,-1.33%,-0.40%,-,-
Buyback Yield / Dilution,-1.94%,-2.93%,-3.67%,-4.64%,-5.32%,-5.20%,-78.90%,-141.63%,-5.90%,-
