Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,974.6,900.02,798.71,683.19,541.13,440.22,354.59,267.36,187.73,124.37
Revenue Growth (YoY),11.05%,12.68%,16.91%,26.25%,22.92%,24.15%,32.63%,42.42%,50.94%,-
Cost of Revenue,215.09,199.67,183.58,154.79,106.4,77.55,60.82,43.17,25.59,14.22
Gross Profit,759.52,700.35,615.13,528.4,434.73,362.67,293.77,224.19,162.14,110.15
"Selling, General & Admin",530.84,517.58,500.16,450.02,353.17,297.07,293.53,220.08,145.23,105.9
Research & Development,211.66,181.62,153.16,143.56,116.43,101.69,87.06,76.7,57.67,40.09
Operating Expenses,742.5,699.21,653.32,593.58,469.6,398.76,380.6,296.77,202.9,145.99
Operating Income,17.02,1.15,-38.19,-65.17,-34.87,-36.09,-86.83,-72.58,-40.76,-35.83
Interest Expense,-28.95,-31.92,-31.34,-19,-7.5,-0.5,-0.01,-0.04,-0.08,-
Interest & Investment Income,18.34,23.33,24.7,6.28,0.61,1.74,5.84,2.39,-,-
Currency Exchange Gain (Loss),-5,-5,-3.1,-4.76,-1.97,-1.7,-1.1,-1,-0.1,-0.5
Other Non Operating Income (Expenses),2.24,0.11,0.12,-,-,-0.19,0.42,0.07,0.08,-0.03
EBT Excluding Unusual Items,3.64,-12.34,-47.81,-82.65,-43.73,-36.74,-81.68,-71.16,-40.85,-36.37
Merger & Restructuring Charges,-7.46,-8,-13.97,-2.64,-6.9,-0.34,-3.97,-,-,-
Gain (Loss) on Sale of Investments,-0.02,1.45,-5.62,-,-,-,-,-,-,-
Pretax Income,-18.44,-18.89,-67.4,-85.29,-50.63,-37.07,-85.65,-71.16,-40.85,-36.37
Income Tax Expense,15.07,17.42,10.88,6.93,-3.95,5.66,13.36,2.36,0.17,0.84
Net Income,-33.51,-36.3,-78.28,-92.22,-46.68,-42.73,-99.01,-73.52,-41.02,-37.21
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,0.43,0.76,0.76
Net Income to Common,-33.51,-36.3,-78.28,-92.22,-46.68,-42.73,-99.01,-73.96,-41.79,-37.97
Shares Outstanding (Basic),120,119,115,111,106,101,96,54,22,21
Shares Outstanding (Diluted),120,119,115,111,106,101,96,54,22,21
Shares Change (YoY),1.94%,2.93%,3.67%,4.64%,5.32%,5.20%,78.90%,141.63%,5.90%,-
EPS (Basic),-0.28,-0.31,-0.68,-0.83,-0.44,-0.42,-1.03,-1.38,-1.88,-1.81
EPS (Diluted),-0.28,-0.31,-0.68,-0.83,-0.44,-0.42,-1.03,-1.38,-1.88,-1.81
Free Cash Flow,250.75,213.23,148.15,121.79,92.88,45.35,-31.42,-8.29,-9.02,-8.56
Free Cash Flow Per Share,2.08,1.79,1.28,1.09,0.87,0.45,-0.33,-0.15,-0.41,-0.41
Gross Margin,77.93%,77.81%,77.02%,77.34%,80.34%,82.38%,82.85%,83.85%,86.37%,88.57%
Operating Margin,1.75%,0.13%,-4.78%,-9.54%,-6.44%,-8.20%,-24.49%,-27.15%,-21.71%,-28.81%
Profit Margin,-3.44%,-4.03%,-9.80%,-13.50%,-8.63%,-9.71%,-27.92%,-27.66%,-22.26%,-30.53%
Free Cash Flow Margin,25.73%,23.69%,18.55%,17.83%,17.16%,10.30%,-8.86%,-3.10%,-4.81%,-6.88%
EBITDA,38.41,34.36,-11.08,-42.98,-18.7,-25.46,-79.95,-66.39,-36.67,-32.97
EBITDA Margin,3.94%,3.82%,-1.39%,-6.29%,-3.45%,-5.78%,-22.55%,-24.83%,-19.53%,-26.51%
D&A For EBITDA,21.39,33.21,27.11,22.19,16.17,10.63,6.88,6.19,4.09,2.86
EBIT,17.02,1.15,-38.19,-65.17,-34.87,-36.09,-86.83,-72.58,-40.76,-35.83
EBIT Margin,1.75%,0.13%,-4.78%,-9.54%,-6.44%,-8.20%,-24.49%,-27.15%,-21.71%,-28.81%
Advertising Expenses,-,13.8,16.2,13.6,13.6,8.2,5.3,3.3,3.2,1.1
