Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,171.85,328.65,237.13,300.87,278,178.22,74.36,165.12,27.21,34.47
Short-Term Investments,211.72,248.55,236.84,266.57,234.29,113.62,137.9,118.12,-,-
Cash & Short-Term Investments,383.57,577.19,473.97,567.44,512.29,291.85,212.27,283.24,27.21,34.47
Cash Growth,-30.06%,21.78%,-16.47%,10.76%,75.53%,37.49%,-25.06%,940.92%,-21.06%,-
Receivables,200.99,258.73,220.06,187.34,136.6,115.34,94.83,68.26,50.88,36.07
Prepaid Expenses,44.19,53.03,61.88,58.12,60.23,44.46,27.37,22.02,15.99,7.54
Other Current Assets,50.58,51.79,49.56,44.27,40.31,32.14,28.5,23.27,17.17,9.63
Total Current Assets,679.33,940.75,805.47,857.17,749.44,483.79,362.96,396.79,111.26,87.71
"Property, Plant & Equipment",75.96,84.4,80.27,85.22,75.36,78.35,69.69,19.85,13.01,9.86
Long-Term Investments,-,8.57,9.38,15,-,-,-,-,-,-
Goodwill,697.89,541.29,518.54,316.52,261.61,54.41,54.14,0.27,-,0.27
Other Intangible Assets,122.08,94.46,107.02,75.38,71.54,13.19,15.51,0.43,-,1.63
Long-Term Deferred Charges,64.52,67.91,72.39,67.24,59.64,46.73,43.77,36.16,33.01,3.88
Other Long-Term Assets,12.85,4.73,13.79,23.01,31.23,14.11,12.54,7.12,7.07,2.14
Total Assets,"1,653","1,742","1,607","1,440","1,249",690.59,558.61,460.61,164.34,105.49
Accounts Payable,20.09,19.98,16.94,18.72,16.25,5.73,10.17,0.17,0.34,0.65
Accrued Expenses,48.43,55.78,66.49,52.62,54.05,35.51,36.63,35.15,23.36,16.63
Current Portion of Long-Term Debt,2.52,2.58,-,-,-,-,-,-,-,-
Current Portion of Leases,8.33,6.8,5.97,5.82,2.32,3.82,5.21,4.26,-,-
Current Unearned Revenue,639.61,650.37,580.78,502.12,407.5,328.82,274.35,213.64,154.9,88.01
Other Current Liabilities,1.33,2.57,5.66,4.88,3.76,1.03,1.28,1.08,1.75,0.96
Total Current Liabilities,720.31,738.09,675.84,584.16,483.88,374.9,327.64,254.3,180.35,106.25
Long-Term Debt,354.82,356.71,359.28,361.97,364.73,-,-,-,1.8,-
Long-Term Leases,52.05,56.22,48.06,52.61,55.05,54.53,40.66,6.06,-,-
Long-Term Unearned Revenue,170.89,182.82,169.72,162.49,123.39,105.69,88.78,76.26,70.92,19.44
Other Long-Term Liabilities,10.17,8.33,7.63,7.44,6.46,4.8,2.62,2.23,5.2,4.76
Total Liabilities,"1,308","1,342","1,261","1,169","1,034",539.92,459.71,338.85,258.27,130.44
Common Stock,1.28,1.22,1.18,1.13,1.09,1.04,0.99,0.93,0.25,0.21
Additional Paid-In Capital,"1,541","1,375","1,185","1,018",869.06,757.47,662.99,586.94,20.68,11.02
Retained Earnings,-896.72,-861.34,-825.04,-746.75,-654.53,-607.85,-565.12,-466.11,-392.59,-313.15
Treasury Stock,-301.21,-114.91,-14.93,-,-,-,-,-,-,-
Comprehensive Income & Other,0.41,0.32,0.04,-1.35,-0.31,0.01,0.05,-,-,-
Total Common Equity,344.38,399.95,346.34,270.87,215.31,150.67,98.91,121.76,-371.67,-301.92
Shareholders' Equity,344.38,399.95,346.34,270.87,215.31,150.67,98.91,121.76,-93.93,-24.95
Total Liabilities & Equity,"1,653","1,742","1,607","1,440","1,249",690.59,558.61,460.61,164.34,105.49
Total Debt,417.72,422.31,413.31,420.4,422.09,58.34,45.87,10.32,1.8,-
Net Cash (Debt),-34.15,154.88,60.66,147.03,90.2,233.5,166.4,272.92,25.41,34.47
Net Cash Growth,-,155.32%,-58.74%,63.01%,-61.37%,40.33%,-39.03%,974.14%,-26.29%,-
Net Cash Per Share,-0.28,1.30,0.53,1.32,0.85,2.31,1.73,5.09,1.14,1.64
Filing Date Shares Outstanding,119.34,120.3,118.12,113.65,109.78,104.04,99.4,94.96,24.79,21.17
Total Common Shares Outstanding,120.03,119.7,117.15,113.06,108.93,103.72,98.59,93.13,24.47,21.17
Working Capital,-40.98,202.65,129.64,273.01,265.56,108.89,35.32,142.48,-69.09,-18.54
Book Value Per Share,2.87,3.34,2.96,2.40,1.98,1.45,1.00,1.31,-15.19,-14.26
Tangible Book Value,-475.59,-235.8,-279.21,-121.03,-117.84,83.06,29.26,121.07,-371.67,-303.82
Tangible Book Value Per Share,-3.96,-1.97,-2.38,-1.07,-1.08,0.80,0.30,1.30,-15.19,-14.35
Machinery,5.8,5.14,6.51,5.94,5.94,6.01,4.5,2.38,2.1,1.81
Construction In Progress,-,-,-,-,-,-,-,-,2.25,-
Leasehold Improvements,32.76,24.52,29.35,28.21,26.71,26.21,16.95,7.27,6.45,5.05
Order Backlog,-,33.2,23.4,-,-,-,-,-,-,-
