Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,267","1,784","2,294","2,050","2,206",-,-,-
Market Cap Growth,27.53%,-22.23%,11.86%,-7.04%,-,-,-,-
Enterprise Value,"2,339","1,910","2,229","1,724","1,912",-,-,-
Last Close Price,14.51,11.11,13.89,11.68,12.97,-,-,-
PE Ratio,21.31,24.82,19.37,22.06,18.01,-,-,-
Forward PE,10.12,8.59,10.27,10.67,17.70,-,-,-
PS Ratio,5.48,4.77,7.00,7.92,9.37,-,-,-
PB Ratio,3.79,3.63,4.40,3.99,3.91,-,-,-
P/TBV Ratio,-,-,41.34,14.51,10.74,-,-,-
P/FCF Ratio,-,12.53,15.20,27.12,20.81,-,-,-
P/OCF Ratio,-,12.22,14.63,25.30,20.51,-,-,-
PEG Ratio,0.63,1.25,0.55,0.35,0.35,-,-,-
EV/Sales Ratio,5.77,5.10,6.80,6.66,8.12,-,-,-
EV/EBITDA Ratio,12.29,10.17,13.54,13.81,13.49,-,-,-
EV/EBIT Ratio,14.53,12.18,15.77,16.19,14.23,-,-,-
EV/FCF Ratio,-,13.42,14.78,22.81,18.04,-,-,-
Debt / Equity Ratio,0.24,0.51,0.03,0.03,0.01,0.03,0.04,-
Debt / EBITDA Ratio,0.77,1.31,0.09,0.13,0.06,0.02,0.04,-
Debt / FCF Ratio,-,1.76,0.11,0.21,0.07,0.03,0.07,-
Asset Turnover,0.30,0.34,0.33,0.30,0.54,1.04,1.04,-
Quick Ratio,0.39,0.67,0.42,0.60,1.78,1.11,2.56,2.32
Current Ratio,0.64,0.94,1.01,1.42,2.26,1.22,2.98,2.67
Return on Equity (ROE),20.31%,14.95%,23.35%,17.46%,38.88%,83.67%,73.26%,-
Return on Assets (ROA),7.53%,8.84%,8.89%,7.66%,19.34%,37.83%,33.97%,-
Return on Capital (ROIC),14.21%,15.33%,16.56%,12.08%,26.54%,55.09%,47.67%,-
Return on Capital Employed (ROCE),17.10%,19.40%,23.00%,16.70%,22.20%,106.40%,67.40%,46.30%
Earnings Yield,4.74%,4.03%,5.16%,4.53%,5.55%,-,-,-
FCF Yield,-,7.98%,6.58%,3.69%,4.81%,-,-,-
Dividend Yield,5.91%,7.87%,7.09%,6.01%,4.81%,-,-,-
Payout Ratio,86.51%,184.19%,122.59%,111.16%,97.80%,97.94%,79.26%,84.77%
Buyback Yield / Dilution,-0.95%,-3.53%,-0.99%,-8.27%,-16.23%,-,-,-
Total Shareholder Return,5.01%,4.34%,6.10%,-2.26%,-11.41%,-,-,-
