Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,30.3,33.42,16.05,26.52,15.26,14.05,4.12,2.35
Short-Term Investments,22,4.96,17.15,45.54,151.87,9.93,33.03,39.77
Cash & Short-Term Investments,52.3,38.37,33.2,72.06,167.13,23.98,37.15,42.11
Cash Growth,8.88%,15.57%,-53.92%,-56.88%,596.93%,-35.45%,-11.79%,-
Accounts Receivable,89.2,222.55,130.57,126.55,107.6,24.02,11.01,8.66
Other Receivables,7.9,4.51,4.01,5.67,3.15,0.74,0.5,0.56
Receivables,97.1,227.06,134.58,132.23,110.75,24.76,11.5,9.21
Prepaid Expenses,-,7.16,6.08,3.81,2.79,0.97,0.86,0.88
Other Current Assets,95.9,100.08,227.72,271.54,71.65,3.97,7.31,6.88
Total Current Assets,245.3,372.68,401.59,479.64,352.32,53.68,56.82,59.08
"Property, Plant & Equipment",40.7,32.62,28.19,24.63,13.41,3.82,6.46,3.37
Long-Term Investments,45.9,50.03,58.65,43.23,18.28,1.99,3.67,21.8
Goodwill,-,355.96,311.17,276.82,242.89,-,-,-
Other Intangible Assets,829.4,344.91,175.84,134.7,116.02,22.36,25.46,31.55
Long-Term Accounts Receivable,95.9,16.4,14.9,6.25,11,21.99,15.11,-
Long-Term Deferred Tax Assets,20.8,15.82,15.47,1.75,3.45,2.34,6,5.93
Long-Term Deferred Charges,-,3.55,1.24,-,-,-,-,-
Other Long-Term Assets,47.6,14.13,4.54,9.22,3.96,1.04,1.33,1.21
Total Assets,"1,326","1,206","1,012",976.24,761.32,107.2,114.86,122.94
Accounts Payable,-,41.79,4.81,3.26,7.22,3.04,0.49,1.42
Accrued Expenses,49.3,71.92,40.15,37.88,51.12,15,14.78,13.87
Current Portion of Long-Term Debt,70.3,78.52,-,-,-,-,-,-
Current Portion of Leases,-,3.72,3.01,2.24,0.95,0.78,1.21,-
Current Income Taxes Payable,6.2,3.64,1.87,0.45,2.11,0.12,1.33,0.07
Other Current Liabilities,255.7,197.8,347.65,294.18,94.82,25.1,1.24,6.8
Total Current Liabilities,381.5,397.39,397.5,338,156.23,44.04,19.04,22.16
Long-Term Debt,76,149.45,-,-,-,-,-,-
Long-Term Leases,-,18.72,12.82,13.85,6.91,0.8,1.89,-
Long-Term Deferred Tax Liabilities,52.3,1.77,-,-,-,0.19,0.4,0.07
Other Long-Term Liabilities,213.2,147.84,79.92,110.93,33.9,3.1,4.78,23.1
Total Liabilities,723,715.18,490.24,462.78,197.04,48.13,26.11,45.32
Common Stock,-,0.02,0.02,0.02,0.02,0,0,0
Additional Paid-In Capital,578.7,527.24,500.69,485.18,485.18,1.56,1.56,1.56
Retained Earnings,-,-,50.83,77.58,87.95,62,85.48,72.91
Comprehensive Income & Other,8.1,-46.18,-9.05,-9.98,-8.86,-6.24,-5.88,-2.85
Total Common Equity,586.8,481.08,542.49,552.79,564.29,57.32,81.16,71.62
Minority Interest,15.8,9.85,-21.15,-39.33,-,1.76,7.59,6.01
Shareholders' Equity,602.6,490.93,521.34,513.46,564.29,59.07,88.75,77.62
Total Liabilities & Equity,"1,326","1,206","1,012",976.24,761.32,107.2,114.86,122.94
Total Debt,146.3,250.41,15.84,16.09,7.86,1.58,3.1,-
Net Cash (Debt),-94,-212.03,17.37,55.97,159.27,22.4,34.05,42.11
Net Cash Growth,-,-,-68.97%,-64.86%,611.04%,-34.22%,-19.14%,-
Net Cash Per Share,-0.61,-1.38,0.12,0.38,1.17,0.19,0.29,0.36
Filing Date Shares Outstanding,153.38,158.08,148.25,147.19,147.19,136.15,117,117
Total Common Shares Outstanding,153.38,153.59,148.25,147.19,147.19,136.15,117,117
Working Capital,-136.2,-24.71,4.09,141.64,196.1,9.63,37.78,36.93
Book Value Per Share,3.83,3.13,3.66,3.76,3.83,0.42,0.69,0.61
Tangible Book Value,-242.6,-219.79,55.48,141.27,205.38,34.96,55.7,40.06
Tangible Book Value Per Share,-1.58,-1.43,0.37,0.96,1.40,0.26,0.48,0.34
Buildings,-,11.78,11.28,11.26,7.46,3,3.62,3.77
Machinery,-,8.64,7.85,7.09,5,2.98,3.5,3.46
Construction In Progress,-,1.58,5.38,-,-,-,-,-
