Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,787","4,417","2,435","2,447","1,341","1,060","1,398","2,139","2,924","2,248","1,421"
Market Cap Growth,-1.27%,81.38%,-0.48%,82.48%,26.52%,-24.18%,-34.65%,-26.84%,30.05%,58.20%,-58.24%
Enterprise Value,"5,112","5,698","3,398","3,169","3,463","3,893","3,921","4,535","5,010","3,950","3,039"
Last Close Price,37.27,41.50,21.75,20.83,11.33,8.81,13.00,19.59,26.45,20.19,13.76
PE Ratio,67.42,86.88,-,3.11,3.24,-,-,-,-,-,-
Forward PE,29.49,28.17,12.32,10.36,26.88,-,32.52,43.06,-,-,-
PS Ratio,11.86,16.96,8.16,9.14,5.15,4.06,3.12,4.97,20.37,28.01,13.84
PB Ratio,2.01,1.86,0.94,0.84,0.62,0.65,0.80,1.17,1.63,1.18,0.74
P/TBV Ratio,2.01,2.20,1.18,0.98,0.78,0.82,0.93,1.23,1.71,1.21,0.75
P/FCF Ratio,-,-,-,-,33.19,-,-,-,-,-,-
P/OCF Ratio,7.53,13.88,18.05,11.21,5.28,7.27,13.12,18.33,-,-,-
EV/Sales Ratio,15.65,21.89,11.39,11.84,13.31,14.90,8.74,10.53,34.91,49.22,29.60
EV/EBITDA Ratio,38.09,41.10,47.79,4.86,9.55,33.27,19.36,32.23,-,-,-
EV/EBIT Ratio,61.22,66.95,163.23,5.28,11.27,63.72,43.83,96.46,-,-,-
EV/FCF Ratio,-,-,-,-,85.72,-,-,-,-,-,-
Debt / Equity Ratio,0.83,0.62,0.47,0.41,0.76,1.48,1.46,1.41,1.34,1.04,0.96
Debt / EBITDA Ratio,14.16,10.36,16.60,1.82,4.46,19.23,12.09,18.23,-,-,-
Debt / FCF Ratio,-,-,-,-,40.86,-,-,-,-,-,-
Asset Turnover,0.07,0.06,0.07,0.06,0.06,0.06,0.10,0.09,0.03,0.02,0.03
Inventory Turnover,99.06,65.86,98.49,134.73,65.30,48.83,40.11,31.13,17.67,13.75,14.78
Quick Ratio,1.20,0.78,1.35,2.78,0.55,0.14,0.18,0.31,0.15,0.30,0.13
Current Ratio,1.32,0.88,1.49,3.04,0.71,0.46,0.26,0.65,0.29,0.55,0.67
Return on Equity (ROE),4.24%,3.25%,-0.11%,40.00%,-3.40%,-1.48%,-4.42%,-9.29%,-7.84%,-8.40%,-7.32%
Return on Assets (ROA),1.16%,1.26%,0.31%,8.13%,4.15%,0.85%,1.19%,0.61%,-1.39%,-2.04%,-1.99%
Return on Capital (ROIC),1.26%,1.39%,0.33%,9.47%,4.88%,0.92%,1.29%,0.68%,-1.55%,-2.28%,-2.21%
Return on Capital Employed (ROCE),2.10%,2.40%,0.60%,15.50%,8.40%,1.90%,2.80%,1.20%,-3.20%,-4.00%,-3.90%
Earnings Yield,1.57%,1.15%,-1.92%,32.20%,30.86%,-25.81%,-15.16%,-10.82%,-6.15%,-8.30%,-12.04%
FCF Yield,-11.49%,-2.72%,-7.82%,-2.00%,3.01%,-14.39%,-21.04%,-1.55%,-14.60%,-15.56%,-73.32%
Dividend Yield,2.69%,2.41%,4.60%,-,-,-,1.15%,2.43%,0.76%,0.99%,10.18%
Payout Ratio,180.90%,204.78%,-,-,8.01%,-,-,-,-,-,-
Buyback Yield / Dilution,-2.81%,1.27%,1.77%,1.00%,-12.39%,3.08%,0.03%,-0.09%,-7.09%,-0.55%,-7.37%
Total Shareholder Return,-0.13%,3.68%,6.37%,1.00%,-12.39%,3.08%,1.18%,2.34%,-6.34%,0.44%,2.81%
