Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,611.18,566.38,679.23,878.84,231.85,127.69,222.12,217.84,214.86,224.19,105.24
Short-Term Investments,-,-,-,224.79,450.23,-,-,-,-,-,-
Trading Asset Securities,1.37,2.17,5.16,1.92,-,-,-,-,-,-,-
Cash & Short-Term Investments,612.55,568.55,684.38,"1,106",682.07,127.69,222.12,217.84,214.86,224.19,105.24
Cash Growth,-16.68%,-16.93%,-38.10%,62.09%,434.16%,-42.51%,1.97%,1.38%,-4.16%,113.04%,-45.02%
Accounts Receivable,220.74,50.02,46.23,42.02,32.4,31.76,27.21,74.34,22.88,3.57,4.47
Other Receivables,4.81,33.65,3.93,3.62,2.56,6.29,5.25,14.44,3,4.53,14.77
Receivables,225.55,83.67,50.16,45.64,34.96,38.05,32.46,88.78,25.88,8.1,25.65
Inventory,0.84,2.08,1.99,0.7,0.54,1.53,1.23,7.01,7.41,7.26,8.65
Prepaid Expenses,4.93,2.94,2.29,2.76,2.69,2.39,4.03,4.29,3.05,2.98,3.58
Restricted Cash,38.62,75.58,18.12,21.69,34.03,100.36,111.55,332.03,222.27,183.69,228.2
Other Current Assets,38.71,7.05,58.63,82.17,171.32,267.77,-,-,-,-,267.03
Total Current Assets,921.19,739.87,815.56,"1,259",925.6,537.79,371.39,649.94,473.46,426.22,638.35
"Property, Plant & Equipment","2,007","3,348","2,648","2,295","2,153","3,656","3,605","3,291","3,255","2,886","2,851"
Long-Term Investments,59.63,76.66,90.67,159.08,52.22,44.39,508.81,585.43,720.74,661.15,554.24
Other Intangible Assets,2,2.35,-,-,-,-,-,-,-,-,-
Long-Term Accounts Receivable,"1,611",6.01,-,3.47,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,0,0.26
Long-Term Deferred Charges,37.25,8.78,189.02,27.1,-,-,-,-,-,-,-
Other Long-Term Assets,30.62,186.3,340.84,536.67,"1,818",76.09,147.3,279.85,315.54,283.72,225.62
Total Assets,"4,675","4,368","4,084","4,280","4,948","4,314","4,632","4,807","4,764","4,257","4,269"
Accounts Payable,47.79,198.91,7.45,8.98,4.93,10.58,13.93,9.7,70.43,24.56,53.28
Accrued Expenses,118.92,66.06,144.3,32.35,31.81,89.01,80.32,132.77,104.8,77.52,53.33
Short-Term Debt,-,218.3,-,-,-,434.15,503.52,609.22,461.34,334.6,354.59
Current Portion of Long-Term Debt,498.87,302.98,342.57,344.78,720.47,593.01,743.39,121.04,923.59,118.33,141.41
Current Portion of Leases,2.01,1.59,1.46,1.33,3.01,5.01,3.58,-,-,-,-
Current Income Taxes Payable,0.21,0.01,0.51,0.49,1.06,0.35,0.72,0.46,1.1,0.94,-
Current Unearned Revenue,15.04,18.14,17,23.04,43.83,10.55,10.15,14.25,7.46,1.04,1.33
Other Current Liabilities,16.73,35.54,32.49,3.45,502.12,37.56,88.34,112.7,63.55,212.15,350.49
Total Current Liabilities,699.58,841.52,545.78,414.41,"1,307","1,180","1,444","1,000","1,632",769.13,954.43
Long-Term Debt,"1,418",930.97,874.16,844.55,920.13,"1,368","1,295","1,835","1,026","1,526","1,345"
Long-Term Leases,5.17,5.12,5.88,3.59,7.14,10.63,6.48,-,-,-,-
Long-Term Unearned Revenue,-,8.75,25.46,85.74,48.74,62.57,76.74,90.91,72.14,-,-
Pension & Post-Retirement Benefits,20.22,21.21,23.47,24.27,31.36,37.26,34.72,32.97,37.54,37.87,36.28
Other Long-Term Liabilities,220.83,190.69,6.79,6.83,455.8,24.98,24.71,21.68,200.12,14.34,17.8
Total Liabilities,"2,364","1,998","1,482","1,379","2,770","2,684","2,881","2,981","2,968","2,347","2,353"
Common Stock,102.39,104.54,104.58,107.23,108.22,109.94,101.3,101.3,101.12,101.08,93.55
Additional Paid-In Capital,"1,916","1,905","1,891","2,137","2,173","2,170","2,076","2,057","1,738","1,689","1,518"
Retained Earnings,-118.83,10.27,77.04,262.06,-539.6,-930.95,-605.15,-364.38,-95.74,103.65,308.87
Treasury Stock,-,-,-,-,-,-,-39.1,-20.48,-20.48,-20.48,-12.27
Comprehensive Income & Other,-2.17,-5.74,-5.07,-5.81,-10.83,-56.07,-34.87,-28.51,-7.77,-9.54,-12.59
Total Common Equity,"1,897","2,014","2,068","2,500","1,731","1,293","1,498","1,745","1,715","1,863","1,895"
Minority Interest,414.29,355.25,534.77,399.95,447.27,338.12,252.57,80.67,80.99,46.56,20.81
Shareholders' Equity,"2,311","2,369","2,602","2,900","2,178","1,631","1,751","1,826","1,796","1,910","1,916"
Total Liabilities & Equity,"4,675","4,368","4,084","4,280","4,948","4,314","4,632","4,807","4,764","4,257","4,269"
Total Debt,"1,925","1,459","1,224","1,194","1,651","2,411","2,552","2,565","2,411","1,979","1,841"
Net Cash (Debt),"-1,312",-890.42,-539.69,-88.69,-968.67,"-2,283","-2,330","-2,348","-2,196","-1,754","-1,735"
Net Cash Per Share,-12.19,-8.46,-5.06,-0.82,-8.83,-23.40,-23.14,-23.32,-21.83,-18.68,-18.57
Filing Date Shares Outstanding,102.39,104.62,104.57,107.23,107.99,109.94,97.8,98.3,98.12,98.08,90.35
Total Common Shares Outstanding,102.39,104.53,104.58,107.23,108.22,109.94,99.3,98.3,98.12,98.08,90.35
Working Capital,221.62,-101.66,269.78,844.09,-381.62,-642.41,"-1,073",-350.2,"-1,159",-342.91,-316.08
Book Value Per Share,18.53,19.27,19.77,23.32,15.99,11.76,15.09,17.75,17.48,19.00,20.98
Tangible Book Value,"1,895","2,012","2,068","2,500","1,731","1,293","1,498","1,745","1,715","1,863","1,895"
Tangible Book Value Per Share,18.51,19.25,19.77,23.32,15.99,11.76,15.09,17.75,17.48,19.00,20.98
Buildings,-,-,-,-,-,-,-,-,-,-,13.56
Machinery,-,"1,184","1,187","1,232","1,232","1,204","1,468","3,638","2,431","2,439","2,573"
Construction In Progress,-,"2,261","1,563","1,152",877.84,658.25,434.25,20,"1,177",731.99,501.02
