Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,51.59,54.28,41.96,28.74,28.53,24.91,14.34,18.64,4.95,3.78
Cash & Short-Term Investments,51.59,54.28,41.96,28.74,28.53,24.91,14.34,18.64,4.95,3.78
Cash Growth,8.50%,29.37%,45.97%,0.76%,14.50%,73.77%,-23.06%,276.62%,30.96%,-
Accounts Receivable,24.29,42.45,22.62,19.37,15.04,20.7,9.49,2.72,1.83,1.59
Receivables,24.29,42.45,22.62,19.37,15.04,20.7,9.49,2.72,1.83,1.71
Prepaid Expenses,14.28,8.14,7.89,4.33,4.79,3.71,1.99,1.11,0.52,0.31
Restricted Cash,2.93,3.69,2.09,1.64,1.95,1.32,0.92,0.38,0.42,0.3
Total Current Assets,93.08,108.56,74.56,54.09,50.31,50.65,26.73,22.84,7.72,6.1
"Property, Plant & Equipment",54.39,61.52,68.72,79.43,57.59,39.16,9.54,7.58,6.85,1.44
Other Intangible Assets,34.37,25.08,17.27,4.49,2.8,0.55,0.45,0.25,0.22,0.05
Long-Term Accounts Receivable,3.08,3.47,9.27,23.84,29.18,18.18,11.01,2.05,1.36,1
Long-Term Deferred Tax Assets,212.63,193.48,181.21,155.32,125.68,73.36,15.54,1.96,-,-
Long-Term Deferred Charges,1.87,1.97,2.31,3.26,1.97,1.41,-,-,0.17,-
Other Long-Term Assets,4.17,3.58,1.56,0.94,2.77,2.53,1.36,0.13,0.4,0.09
Total Assets,403.6,397.65,354.89,321.35,270.29,185.84,64.63,34.8,16.71,8.69
Accounts Payable,25.05,22.89,16.4,15.96,13,7.57,5.02,3.97,2.76,1.43
Accrued Expenses,2.93,3.69,2.09,1.64,1.95,1.32,0.92,0.38,0.42,0.3
Current Portion of Long-Term Debt,2.99,10.06,9.38,6.88,4.38,3.5,4,2.5,0.5,0.3
Current Portion of Leases,6.66,6.54,8.9,6.63,4.89,3.2,-,-,-,-
Current Unearned Revenue,3.4,3.28,4.13,6.03,6.05,4.23,2.77,0.53,1.06,0.76
Other Current Liabilities,7.12,-,-,-,-,0.53,0.69,0.44,1.03,0.69
Total Current Liabilities,48.15,46.46,40.89,37.14,30.27,20.36,13.41,7.81,5.77,3.48
Long-Term Debt,290,82.25,67.56,86.71,118.36,79.41,42.16,45.95,48.16,29.07
Long-Term Leases,50.99,54.54,57.38,64.95,47.34,32.93,-,-,-,-
Long-Term Unearned Revenue,14.08,15.19,22.97,40.52,42.55,29.97,20.02,-,-,-
Other Long-Term Liabilities,171.09,160.14,149.3,125.66,100.96,61.57,20.04,6.24,3.92,0.39
Total Liabilities,574.32,358.58,338.11,354.98,339.48,224.24,95.64,60,57.84,32.93
Common Stock,0.37,0.37,0.38,0.37,0.37,0.37,0.36,0.36,-41.13,-24.24
Additional Paid-In Capital,40.44,58.92,73.41,70.87,46.28,29.37,14.44,11.9,-,-
Retained Earnings,-145.79,-15.4,-45.83,-60.57,-60.67,-34.61,-23.81,-20.76,-,-
Total Common Equity,-104.98,43.89,27.97,10.67,-14.02,-4.88,-9.01,-8.5,-41.13,-24.24
Minority Interest,-65.74,-4.81,-11.18,-44.29,-55.17,-33.53,-22,-16.7,-,-
Shareholders' Equity,-170.72,39.08,16.79,-33.62,-69.19,-38.4,-31.01,-25.2,-41.13,-24.24
Total Liabilities & Equity,403.6,397.65,354.89,321.35,270.29,185.84,64.63,34.8,16.71,8.69
Total Debt,350.65,153.39,143.22,165.16,174.96,119.04,46.16,48.45,48.66,29.37
Net Cash (Debt),-299.06,-99.11,-101.26,-136.42,-146.44,-94.13,-31.82,-29.81,-43.71,-25.59
Net Cash Per Share,-7.79,-2.59,-2.64,-6.27,-7.04,-5.12,-1.98,-2.20,-418.56,-245.10
Filing Date Shares Outstanding,24.91,24.71,25.09,23.24,20.22,18.37,15.76,14.42,0.1,0.1
Total Common Shares Outstanding,24.97,24.67,24.97,23.03,20.2,18.3,15.24,13.8,0.1,0.1
Working Capital,44.94,62.11,33.67,16.96,20.04,30.29,13.32,15.03,1.95,2.62
Book Value Per Share,-4.20,1.78,1.12,0.46,-0.69,-0.27,-0.59,-0.62,-393.90,-232.13
Tangible Book Value,-139.35,18.81,10.7,6.18,-16.82,-5.43,-9.45,-8.75,-41.35,-24.29
Tangible Book Value Per Share,-5.58,0.76,0.43,0.27,-0.83,-0.30,-0.62,-0.63,-395.97,-232.58
Machinery,18.37,16.52,16.55,14.56,12.1,8.15,5.65,4.33,3.59,2.01
Leasehold Improvements,36.76,35.29,36.28,36.01,25.12,16.53,9.07,6.69,5.79,1.16
